,OBJECTID,StopID,StopDescri,Lat,Lon,Intersecti,Weekday,Saturday,Sunday,Weekday_1_,Saturday_1,Sunday_1_7,WkdSvc,WkdBdPerSv,DotSize,geometry
0,10799,5,Dayton fs Orchard,43.071061,-89.407019,200,322.93,79.33,82.51,0,0,0,0,0,1614630.66,POINT (-89.40701296564816 43.07105305839906)
1,10800,10,Langdon ns Park,43.075897,-89.400235,76,971.9,562.56,425.49,0,0,0,0,0,4859498.97,POINT (-89.40022896695245 43.07588905701752)
2,10801,25,EB Langdon fs Lake,43.075849,-89.396996,759,24.06,9.68,9.0,0,0,0,0,0,120276.59,POINT (-89.39698996777406 43.07584105689991)
3,10802,39,Lake ns Johnson,43.071827,-89.397315,735,664.91,80.67,72.07,0,0,0,0,0,3324569.38,POINT (-89.39730896811234 43.07181905788557)
4,10803,45,EB Langdon ns Wisconsin,43.078397,-89.390083,77,0.78,6.67,0.0,0,0,0,0,0,3897.85,POINT (-89.39007696898551 43.07838905593098)
5,10804,47,NB Babcock ns Linden,43.074639,-89.412718,751,6.22,0.0,0.0,0,0,0,0,0,31115.27,POINT (-89.41271196358659 43.07463105837788)
6,10805,49,Lake ns Langdon,43.075631,-89.397316,759,723.73,138.14,94.1,0,0,0,0,0,3618639.87,POINT (-89.39730996771283 43.0756230574144)
7,10806,50,WB Spring ns Brooks,43.069393,-89.402488,723,0.0,0.0,0.0,0,0,0,0,0,0.0,POINT (-89.4024819670196 43.06938505864724)
8,10807,52,WB Observatory ns Charter,43.07607,-89.405625,426,269.4,30.02,6.22,0,0,0,0,0,1346990.88,POINT (-89.40561896551391 43.07606205729214)
9,10808,53,EB Observatory at North Hall,43.075854,-89.403802,39,0.0,1.0,0.33,0,0,0,0,0,0.0,POINT (-89.40379596520279 43.07584605711215)
10,10809,54,WB Spring ns Mills,43.069396,-89.403849,407,0.0,0.0,0.0,0,0,0,0,0,0.0,POINT (-89.4038429665611 43.0693880585365)
11,10810,56,WB Observatory at Liz Waters,43.076628,-89.407048,978,2.9,3.34,0.33,0,0,0,0,0,14477.74,POINT (-89.40704196499546 43.07662005719862)
12,10811,60,WB Observatory at Bascom,43.075914,-89.403619,39,167.84,36.33,1.39,0,0,0,0,0,839214.57,POINT (-89.40361296550596 43.07590605712405)
13,10812,61,Dayton fs Mills,43.070977,-89.403744,731,102.48,15.33,7.66,0,0,0,0,0,512420.98,POINT (-89.40373796648522 43.07096905843948)
14,10813,68,SB Lake ns Johnson,43.072215,-89.397524,735,5.45,0.68,4.67,0,0,0,0,0,27234.49,POINT (-89.39751796754121 43.07220705744043)
15,10814,70,SB Park ns Lathrop,43.074317,-89.400684,977,5.11,0.0,0.33,0,0,0,0,0,25567.07,POINT (-89.40067796650125 43.07430905766654)
16,10815,75,Dayton fs Park,43.070914,-89.399689,730,421.49,78.67,52.92,0,0,0,0,0,2107429.39,POINT (-89.39968296774644 43.07090605802932)
17,10816,87,NB Broom ns Gorham,43.074073,-89.392419,742,109.15,39.67,3.67,0,0,0,0,0,545727.85,POINT (-89.3924129688467 43.07406505692287)
18,10817,89,EB Langdon fs Henry,43.076927,-89.392177,764,2.23,6.67,0.67,0,0,0,0,0,11136.72,POINT (-89.39217096868681 43.07691905710394)
19,10818,96,SB Wisconsin ns Gorham,43.077604,-89.388164,760,3.79,19.36,0.0,0,0,0,0,0,18932.43,POINT (-89.38815797049072 43.07759605651413)
20,10819,99,Langdon fs Park,43.075825,-89.400112,76,156.68,128.54,118.0,0,0,0,0,0,783381.33,POINT (-89.40010596671391 43.07581705753719)
21,10820,100,WB University fs Park,43.073353,-89.401358,194,1177.57,236.65,170.68,0,0,0,0,0,5887857.48,POINT (-89.40135196641265 43.0733450574635)
22,10821,104,SB Mills ns Dayton,43.071201,-89.404197,731,125.3,18.09,18.33,0,0,0,0,0,626490.9,POINT (-89.40419096667287 43.07119305833955)
23,10822,107,NB Park fs Olin,43.054418,-89.396633,366,30.38,13.35,8.07,0,0,0,0,0,151924.58,POINT (-89.39662697031835 43.05441006042693)
24,10823,110,Gilson ns Beld,43.049853,-89.392523,348,0.0,0.0,0.0,0,0,0,0,0,0.0,POINT (-89.39251697216341 43.0498450607193)
25,10824,113,EB Washington at Brittingham,43.064991,-89.397725,60,17.16,9.0,11.33,0,0,0,0,0,85805.04,POINT (-89.39771896912154 43.06498305860703)
26,10825,115,NB Park fs Regent,43.068078,-89.400812,710,50.74,23.0,12.41,0,0,0,0,0,253707.16,POINT (-89.40080596733107 43.06807005904037)
27,10826,121,EB Badger fs Fiedler,43.038541,-89.401184,317,6.37,5.36,3.34,0,0,0,0,0,31857.08,POINT (-89.40117797053378 43.03853306371139)
28,10827,124,SB Park fs Wingra,43.048984,-89.394221,653,2.02,1.67,0.67,0,0,0,0,0,10078.27,POINT (-89.39421497109402 43.04897606181523)
29,10828,133,EB University fs Breese,43.073337,-89.413257,420,123.65,42.2,26.4,0,0,0,0,0,618264.38,POINT (-89.41325096268501 43.07332905855433)
30,10829,146,SB Fish Hatchery fs Midland,43.054058,-89.39913,668,1.34,0.33,0.67,0,0,0,0,0,6693.74,POINT (-89.39912396954942 43.05405006076041)
31,10830,147,EB Olin fs Hickory,43.053954,-89.391915,667,4.95,3.68,3.04,0,0,0,0,0,24742.37,POINT (-89.39190897107684 43.05394606072942)
32,10831,150,Rusk ns Nygard,43.041265,-89.384258,103,17.79,7.69,4.72,0,0,0,0,0,88925.88,POINT (-89.38425197527847 43.04125706207288)
33,10832,153,EB Olin fs Expo,43.052103,-89.38062,101,5.74,2.34,2.36,0,0,0,0,0,28703.92,POINT (-89.38061397503316 43.05209506026888)
34,10833,158,SB Mills fs Vilas,43.062942,-89.404119,700,4.01,1.0,0.67,0,0,0,0,0,20067.69,POINT (-89.40411296710558 43.06293405939824)
35,10834,160,WB University fs Randall,43.073506,-89.409433,191,805.06,105.93,80.51,0,0,0,0,0,4025294.73,POINT (-89.40942696418283 43.07349805822999)
36,10835,161,NB Broom fs Doty,43.07015,-89.38709,975,297.76,5.76,3.67,0,0,0,0,0,1488780.33,POINT (-89.38708397164594 43.07014205747878)
37,10836,162,SB Park at Meriter,43.065181,-89.400965,61,4.03,1.34,3.37,0,0,0,0,0,20167.13,POINT (-89.40095896732949 43.06517305869065)
38,10837,166,SB Rimrock fs John Nolen,43.045806,-89.375611,649,4.62,5.01,3.04,0,0,0,0,0,23075.7,POINT (-89.3756049767601 43.04579806073977)
39,10838,167,NB Mills ns Mound,43.065159,-89.403999,706,85.42,14.07,14.33,0,0,0,0,0,427108.39,POINT (-89.40399296693033 43.06515105893072)
40,10839,168,WB Washington ns Henry,43.072731,-89.387032,737,25.45,5.33,4.33,0,0,0,0,0,127254.69,POINT (-89.38702597149488 43.07272305718424)
41,10840,170,SB Fish Hatchery ns Catalpa,43.041663,-89.404071,327,3.68,0.0,1.33,0,0,0,0,0,18401.02,POINT (-89.40406496860891 43.04165506297216)
42,10841,171,NB Fisher ns Dane,43.042876,-89.391838,330,5.4,5.35,1.35,0,0,0,0,0,27015.46,POINT (-89.39183197213721 43.04286806226561)
43,10842,173,EB Badger ns Cypress,43.038506,-89.398039,316,4.92,2.0,3.02,0,0,0,0,0,24603.1,POINT (-89.39803297108529 43.03849806312597)
44,10843,174,SB Park fs Fish Hatchery,43.056492,-89.3987,676,3.94,1.67,1.68,0,0,0,0,0,19688.72,POINT (-89.39869396936274 43.05648406006038)
45,10844,178,WB University fs Orchard,43.073505,-89.407051,192,1101.21,114.61,86.56,0,0,0,0,0,5506064.76,POINT (-89.40704496541412 43.07349705785434)
46,10845,180,SB Park ns Dayton,43.071132,-89.400951,730,72.9,57.21,28.84,0,0,0,0,0,364496.97,POINT (-89.40094496667595 43.07112405794694)
47,10846,181,NB Park fs Beld,43.052376,-89.394985,661,16.6,6.0,8.33,0,0,0,0,0,82988.13,POINT (-89.39497897042109 43.05236806078522)
48,10847,184,WB Linden ns Henry,43.075181,-89.410405,81,206.26,15.33,11.14,0,0,0,0,0,1031312.08,POINT (-89.41039896350908 43.07517305819513)
49,10848,190,SB Mills ns Regent,43.067968,-89.404154,711,51.15,9.04,10.67,0,0,0,0,0,255755.86,POINT (-89.40414796691996 43.06796005885707)
50,10849,192,WB Olin ns Hickory,43.054082,-89.391907,667,29.47,6.01,3.71,0,0,0,0,0,147339.15,POINT (-89.39190097160102 43.05407406084472)
51,10850,195,Park at Park House,43.047158,-89.393898,217,19.82,1.67,3.0,0,0,0,0,0,99099.24,POINT (-89.39389197128835 43.04715006198494)
52,10851,203,NB Rimrock fs Rusk,43.043317,-89.377058,102,21.47,5.01,5.73,0,0,0,0,0,107374.51,POINT (-89.37705197713524 43.04330906164552)
53,10852,208,WB Regent ns Orchard,43.06786,-89.407154,712,32.22,17.41,8.71,0,0,0,0,0,161106.49,POINT (-89.40714796604462 43.06785205878236)
54,10853,217,Park fs Washington,43.063742,-89.40063,701,13.71,8.35,8.43,0,0,0,0,0,68562.56,POINT (-89.400623967805 43.06373405897103)
55,10854,222,SB Fisher fs Bram,43.045534,-89.391846,218,6.53,3.68,2.02,0,0,0,0,0,32643.68,POINT (-89.39183997176049 43.0455260621101)
56,10855,225,EB Washington at Park View,43.066032,-89.396218,59,5.95,3.0,2.0,0,0,0,0,0,29729.56,POINT (-89.39621196945184 43.06602405892379)
57,10856,226,WB Regent ns Campus,43.067808,-89.397867,56,0.33,0.0,0.0,0,0,0,0,0,1666.67,POINT (-89.39786096885024 43.06780005822007)
58,10857,234,WB University ns Mills,43.073403,-89.403854,417,172.16,20.38,14.38,0,0,0,0,0,860785.89,POINT (-89.40384796592475 43.07339505766051)
59,10858,235,WB Washington ns Henry,43.072463,-89.387307,737,6.16,2.0,3.67,0,0,0,0,0,30818.31,POINT (-89.38730097063595 43.07245505749497)
60,10859,241,Monroe at Breese,43.067143,-89.413711,1001,0.0,12.33,16.12,0,0,0,0,0,0.0,POINT (-89.41370496375737 43.06713505956844)
61,10860,243,NB John Nolen fs Rimrock,43.047247,-89.374696,649,34.01,6.01,1.01,0,0,0,0,0,170053.58,POINT (-89.3746899769634 43.04723906058184)
62,10861,245,Randall ns Engineering,43.071983,-89.408983,193,0.0,25.33,23.51,0,0,0,0,0,0.0,POINT (-89.4089769640679 43.07197505838041)
63,10862,248,WB Wilson ns Carroll,43.071842,-89.3824,79,30.94,0.0,0.0,0,0,0,0,0,154717.58,POINT (-89.38239397250294 43.07183405727817)
64,10863,251,Park fs Erin,43.060126,-89.40062,683,37.98,17.01,17.76,0,0,0,0,0,189915.36,POINT (-89.40061396853569 43.06011806018802)
65,10864,252,WB State ns Gorham,43.074849,-89.3914,749,318.55,172.02,139.86,0,0,0,0,0,1592732.64,POINT (-89.39139396991234 43.07484105700361)
66,10865,256,SB Mills fs University,43.073078,-89.404181,417,28.68,3.01,5.39,0,0,0,0,0,143404.39,POINT (-89.40417496597999 43.07307005831029)
67,10866,265,EB State fs Lake,43.074837,-89.396803,196,283.72,83.86,63.12,0,0,0,0,0,1418592.06,POINT (-89.39679696792112 43.07482905699742)
68,10867,266,Fish Hatchery fs Park,43.0563,-89.399077,676,1.56,2.01,2.0,0,0,0,0,0,7804.85,POINT (-89.39907096854476 43.0562920607867)
69,10868,271,EB Regent fs Park,43.067595,-89.400343,710,2.56,0.0,0.0,0,0,0,0,0,12777.78,POINT (-89.40033696777857 43.06758705845498)
70,10869,273,EB Regent fs Campus,43.067578,-89.398077,56,0.89,0.0,0.0,0,0,0,0,0,4444.44,POINT (-89.39807096804333 43.06757005875987)
71,10870,274,WB Washington fs Broom,43.07124,-89.38925,733,58.4,13.67,10.0,0,0,0,0,0,291987.93,POINT (-89.38924397084318 43.0712320573227)
72,10871,288,SB Park fs Erin,43.059582,-89.400841,683,54.03,19.05,13.37,0,0,0,0,0,270159.55,POINT (-89.40083496777996 43.05957406036924)
73,10872,289,EB Olin fs Gilson,43.053968,-89.389946,365,2.81,1.0,1.69,0,0,0,0,0,14070.55,POINT (-89.38993997234137 43.05396006060876)
74,10873,294,Rusk ns Rusk,43.039519,-89.384281,104,3.49,0.33,0.67,0,0,0,0,0,17447.48,POINT (-89.38427497493822 43.03951106214475)
75,10874,298,SB Babcock ns Linden,43.075453,-89.412714,751,199.84,6.67,1.74,0,0,0,0,0,999206.81,POINT (-89.4127079626835 43.07544505843311)
76,10875,300,WB Erin ns Mills,43.059929,-89.403805,682,52.72,8.04,7.0,0,0,0,0,0,263581.02,POINT (-89.40379896713588 43.05992106053979)
77,10876,313,EB Wilson fs Bassett,43.068441,-89.38701,976,20.36,3.39,0.0,0,0,0,0,0,101779.86,POINT (-89.38700397164044 43.06843305793069)
78,10877,320,SB Fisher ns Dane,43.043029,-89.391946,330,6.3,3.34,3.04,0,0,0,0,0,31518.03,POINT (-89.39193997245835 43.0430210623611)
79,10878,327,EB Regent fs Mills,43.06767,-89.4038,711,53.93,32.0,25.44,0,0,0,0,0,269673.36,POINT (-89.40379396630263 43.0676620591253)
80,10879,336,Randall fs Engineering,43.072029,-89.409137,193,427.32,84.67,92.08,0,0,0,0,0,2136582.45,POINT (-89.40913096502784 43.07202105875524)
81,10880,341,NB Park ns University,43.073035,-89.400517,194,7.89,9.49,9.67,0,0,0,0,0,39462.22,POINT (-89.40051096648908 43.07302705764658)
82,10881,346,WB Olin fs Lake,43.053984,-89.387278,364,14.52,1.0,2.02,0,0,0,0,0,72604.04,POINT (-89.38727197290747 43.05397606007138)
83,10882,349,NB Breese fs Regent,43.068021,-89.413801,62,71.24,13.56,9.33,0,0,0,0,0,356207.97,POINT (-89.41379496410491 43.06801305964994)
84,10883,353,EB Badger fs Fish Hatchery,43.03858,-89.40307,638,9.06,1.34,2.0,0,0,0,0,0,45276.84,POINT (-89.40306396989911 43.03857206379284)
85,10884,357,Gilson ns Olin,43.053791,-89.390205,365,4.78,0.0,0.0,0,0,0,0,0,23888.89,POINT (-89.39019897201838 43.0537830600904)
86,10885,360,SB Park ns Olin,43.054636,-89.397156,366,2.24,1.0,0.0,0,0,0,0,0,11222.92,POINT (-89.39714996965772 43.05462806030123)
87,10886,367,EB Olin fs Lake,43.053792,-89.387208,364,2.03,1.0,1.01,0,0,0,0,0,10130.8,POINT (-89.38720197280172 43.05378406050839)
88,10887,375,NB Mills fs Vilas,43.063319,-89.404039,700,78.3,17.75,14.0,0,0,0,0,0,391494.17,POINT (-89.40403296693826 43.06331105988635)
89,10888,379,John Nolen fs Olin,43.05175,-89.377979,660,0.11,0.0,0.0,0,0,0,0,0,556.34,POINT (-89.37797297524702 43.0517420603004)
90,10889,388,SB Park ns Spring,43.069443,-89.401047,405,16.48,11.36,6.71,0,0,0,0,0,82388.47,POINT (-89.40104096756721 43.06943505827903)
91,10890,391,NB Fish Hatchery ns Carver,43.044443,-89.403831,335,28.11,11.39,5.33,0,0,0,0,0,140527.97,POINT (-89.40382496909722 43.04443506290235)
92,10891,392,SB Mills ns Spring,43.069713,-89.404121,407,16.37,7.7,4.0,0,0,0,0,0,81829.12,POINT (-89.40411496629189 43.06970505886081)
93,10892,398,WB Regent fs Randall,43.067875,-89.40928,207,28.04,40.29,17.06,0,0,0,0,0,140214.81,POINT (-89.40927396432991 43.06786705917618)
94,10893,405,NB Fish Hatchery fs Catalpa,43.041796,-89.403858,327,19.85,4.02,6.67,0,0,0,0,0,99267.95,POINT (-89.40385196889416 43.04178806306023)
95,10894,406,WB Regent fs Breese,43.0679,-89.414323,62,18.93,10.67,6.37,0,0,0,0,0,94630.45,POINT (-89.41431696315827 43.06789205908162)
96,10895,410,SB Rimrock ns Rusk,43.042922,-89.377438,102,2.25,1.0,1.01,0,0,0,0,0,11251.25,POINT (-89.37743197640091 43.04291406119405)
97,10896,418,WB Washington ns Bedford,43.06902,-89.392346,720,37.7,9.33,10.0,0,0,0,0,0,188502.88,POINT (-89.39233997010501 43.06901205773163)
98,10897,424,WB Olin ns Colby,43.053132,-89.383808,663,2.7,2.0,0.0,0,0,0,0,0,13507.73,POINT (-89.38380197370806 43.05312406029444)
99,10898,433,NB Beld ns Gilson,43.049652,-89.392632,348,3.78,0.0,0.0,0,0,0,0,0,18888.89,POINT (-89.39262597164458 43.04964406101163)
100,10899,435,EB Johnson fs Lake,43.072017,-89.397174,735,200.3,55.09,50.57,0,0,0,0,0,1001501.95,POINT (-89.39716796829285 43.07200905773178)
101,10900,438,EB Linden ns Charter,43.075047,-89.406479,190,666.26,15.67,8.01,0,0,0,0,0,3331291.37,POINT (-89.4064729646492 43.07503905780002)
102,10901,441,NB Mills ns Johnson,43.071895,-89.404041,417,30.34,11.39,10.67,0,0,0,0,0,151718.05,POINT (-89.40403496630873 43.0718870580361)
103,10902,445,NB Mills fs Spring,43.069877,-89.404025,407,25.82,11.39,14.0,0,0,0,0,0,129103.24,POINT (-89.40401896661143 43.06986905864152)
104,10903,454,SB Breese ns Hoyt,43.070449,-89.414017,409,5.8,0.0,0.0,0,0,0,0,0,28988.02,POINT (-89.41401096304587 43.07044105900289)
105,10904,455,EB Johnson fs Park,43.072027,-89.400138,194,667.03,130.22,97.4,0,0,0,0,0,3335145.83,POINT (-89.400131967395 43.07201905809875)
106,10905,456,SB Fish Hatchery fs Carver,43.044399,-89.404104,335,7.14,3.68,1.33,0,0,0,0,0,35686.42,POINT (-89.40409796863186 43.04439106243851)
107,10906,459,EB Erin fs Mills,43.059844,-89.403674,682,1.34,1.34,0.33,0,0,0,0,0,6686.97,POINT (-89.40366796688708 43.05983606047982)
108,10907,465,EB Olin ns Colby,43.053143,-89.384484,663,0.11,0.0,0.0,0,0,0,0,0,562.82,POINT (-89.38447797312074 43.05313506047408)
109,10908,469,EB Washington at Southwest,43.067564,-89.39415,57,16.0,5.0,5.0,0,0,0,0,0,80013.09,POINT (-89.39414396911265 43.06755605800205)
110,10909,470,SB Bassett ns Dayton,43.071687,-89.392872,738,8.8,0.0,0.0,0,0,0,0,0,43993.99,POINT (-89.39286596970433 43.07167905736356)
111,10910,473,EB Washington fs Bassett,43.07025,-89.390357,727,6.49,2.67,6.0,0,0,0,0,0,32448.84,POINT (-89.39035096971995 43.07024205770394)
112,10911,475,NB Park ns Buick,43.041511,-89.393876,329,67.66,20.35,14.04,0,0,0,0,0,338275.79,POINT (-89.39386997249252 43.04150306303986)
113,10912,480,WB Gorham fs Henry,43.075371,-89.391056,749,103.92,5.01,3.33,0,0,0,0,0,519624.45,POINT (-89.39104996935386 43.07536305653892)
114,10913,483,NB Park ns Spring,43.069149,-89.400771,405,22.4,18.01,10.39,0,0,0,0,0,112004.18,POINT (-89.40076496715432 43.06914105832214)
115,10914,488,WB Linden fs Charter,43.075145,-89.407499,190,560.97,24.67,21.93,0,0,0,0,0,2804867.45,POINT (-89.40749296452934 43.07513705814544)
116,10915,490,Charter ns Johnson,43.072305,-89.405822,192,123.9,0.0,0.0,0,0,0,0,0,619514.61,POINT (-89.40581596590921 43.07229705853192)
117,10916,492,John Nolen fs Lakeside,43.055744,-89.381871,672,0.0,0.0,0.0,0,0,0,0,0,0.0,POINT (-89.38186497364816 43.05573605915415)
118,10917,496,Koster ns Ardmore,43.044108,-89.385597,332,1.46,0.67,0.67,0,0,0,0,0,7316.69,POINT (-89.3855909743487 43.0441000615205)
119,10918,499,NB Fish Hatchery fs Badger,43.038853,-89.403803,638,30.88,6.7,9.67,0,0,0,0,0,154415.34,POINT (-89.4037969699653 43.0388450636604)
120,10919,505,EB State ns Gilman,43.07481,-89.393712,892,41.17,23.37,13.69,0,0,0,0,0,205835.38,POINT (-89.39370596858704 43.07480205730026)
121,10920,506,WB State fs Frances,43.074888,-89.395895,196,128.11,106.08,60.08,0,0,0,0,0,640533.99,POINT (-89.39588896856449 43.0748800576114)
122,10921,512,WB Washington fs Bassett,43.070038,-89.390899,727,26.66,9.67,6.0,0,0,0,0,0,133320.83,POINT (-89.39089297059729 43.07003005753614)
123,10922,516,Washington fs Regent,43.066758,-89.395762,59,4.83,5.33,1.67,0,0,0,0,0,24129.28,POINT (-89.39575596858518 43.06675005819415)
124,10923,519,Park fs Fish Hatchery,43.057308,-89.39899,676,53.41,18.37,12.69,0,0,0,0,0,267051.21,POINT (-89.39898396904317 43.05730006024302)
125,10924,520,SB Bassett ns Doty,43.068608,-89.388929,58,7.56,4.07,1.33,0,0,0,0,0,37822.94,POINT (-89.38892297023186 43.06860005794213)
126,10925,522,WB Olin fs Expo,43.052513,-89.381287,101,4.39,0.33,0.0,0,0,0,0,0,21950.06,POINT (-89.38128097419444 43.05250505977247)
127,10926,530,SB Fish Hatchery ns Appleton,43.051775,-89.399231,357,2.23,1.0,1.0,0,0,0,0,0,11151.72,POINT (-89.39922496941031 43.05176706157958)
128,10927,532,WB Linden ns Babcock,43.075201,-89.412309,751,207.54,12.67,16.36,0,0,0,0,0,1037691.38,POINT (-89.41230296314313 43.07519305840213)
129,10928,533,EB Regent fs Breese,43.067784,-89.413501,62,78.62,71.0,54.99,0,0,0,0,0,393080.32,POINT (-89.41349496374626 43.06777605971203)
130,10929,536,SB Fish Hatchery ns Wingra,43.050533,-89.399882,658,1.11,0.0,0.0,0,0,0,0,0,5571.35,POINT (-89.39987596970522 43.05052506121841)
131,10930,538,SB Park fs University,43.07278,-89.400736,194,206.34,59.17,55.28,0,0,0,0,0,1031686.08,POINT (-89.40072996725148 43.07277205757009)
132,10931,542,SB Breese fs University,43.07317,-89.413972,420,36.78,0.0,0.0,0,0,0,0,0,183902.47,POINT (-89.41396596357409 43.07316205871384)
133,10932,544,Broom ns Wilson,43.069246,-89.386223,975,0.0,0.0,0.0,0,0,0,0,0,0.0,POINT (-89.38621697114679 43.06923805726711)
134,10933,546,Park fs Regent,43.06736,-89.401102,710,24.44,8.02,7.08,0,0,0,0,0,122222.88,POINT (-89.40109596753918 43.06735205892614)
135,10934,548,WB Regent fs Mills,43.067818,-89.404379,711,78.92,23.79,15.4,0,0,0,0,0,394615.34,POINT (-89.40437296637693 43.06781005861525)
136,10935,549,EB State ns Gorham,43.074784,-89.392088,749,45.53,22.04,15.36,0,0,0,0,0,227658.25,POINT (-89.39208196982054 43.07477605663368)
