route_id,fare_id
9027,c
9028,c
9029,c
9030,c
9031,c
9194,c
9033,c
9034,c
9035,c
9036,c
9037,c
9038,c
9039,c
9040,c
9041,c
9042,c
9195,c
9044,c
9045,c
9046,c
9047,c
9048,c
9049,c
9050,c
9051,c
9052,c
9053,c
9054,c
9055,c
9056,c
9057,c
9058,c
9059,c
9060,c
9061,c
9062,c
9063,c
9196,c
9065,c
9066,c
9067,c
9068,c
9069,c
9070,c
9071,c
9072,c
9073,c
9074,c
9075,c
9076,c
9077,c
9078,c
9079,c
9080,c
9081,c
9082,c
9083,c
9084,c
9085,c
9108,f
9109,f
9110,f
9112,f
9278,c
9279,c
9280,c
9281,c
9282,c
9283,c
9284,c
9285,c
9286,c
9287,c
9288,c
9289,c
9290,c
9291,c
9292,c
9293,c
9294,c
9295,c
9296,c
9297,c
9298,c
9299,c
9300,c
9301,c
9302,c
9303,c
9304,c
9305,c
9306,c
9307,c
9308,c
9309,c
9310,c
9311,c
9312,c
9313,c
9314,c
9315,c
9316,c
9317,c
9318,c
9319,c
9320,c
9321,c
9322,c
9323,c
9324,c
9325,c
9326,c
9327,c
9328,c
9329,c
9330,c
9331,c
9332,c
9333,c
9334,c
9335,c
9336,c
9337,f
9338,f
9339,f
9340,f
