rank,cross_1,cross_2,impact_index,generated_time,agent_range,agent_interval
1,W Terrace,5117,0.7459207100023351,2020-10-11 20:36:29.231301,0.6,0.05
2,N Thompson,Jana,0.5444022971796412,2020-10-11 20:36:29.231301,0.6,0.05
3,W Terrace,Eastpark,0.4243693053604414,2020-10-11 20:36:29.231301,0.6,0.05
4,N Thompson,Westwynn,0.2575006259516862,2020-10-11 20:36:29.231301,0.6,0.05
5,S Whitney,Gilbert,0.24239593998105038,2020-10-11 20:36:29.231301,0.6,0.05
6,Hathaway,Greenwich,0.2296217600622409,2020-10-11 20:36:29.231301,0.6,0.05
7,Commercial,North Lawn,0.18275663749820342,2020-10-11 20:36:29.231301,0.6,0.05
8,Oak,E Washington,0.13274851872528948,2020-10-11 20:36:29.231301,0.6,0.05
9,S Gammon,Gammon,0.11907178529050554,2020-10-11 20:36:29.231301,0.6,0.05
10,Fish Hatchery,W Badger,0.10377553876993434,2020-10-11 20:36:29.231301,0.6,0.05
11,Caddis,Cahill,0.10299433291047744,2020-10-11 20:36:29.231301,0.6,0.05
12,Anniversary,Forest Run,0.0959710687784492,2020-10-11 20:36:29.231301,0.6,0.05
13,E Washington N,4810,0.09564296777299766,2020-10-11 20:36:29.231301,0.6,0.05
14,North Transfer Point,Huxley,0.07313221543922463,2020-10-11 20:36:29.231301,0.6,0.05
15,N Sherman,Thackeray,0.06013380391812184,2020-10-11 20:36:29.231301,0.6,0.05
16,International,Elder Care,0.03737639181117844,2020-10-11 20:36:29.231301,0.6,0.05
17,E Doty,S Pinckney,0.03251589561620394,2020-10-11 20:36:29.231301,0.6,0.05
18,Winnebago,Lafollette,0.030751038248959806,2020-10-11 20:36:29.231301,0.6,0.05
19,Allied,Jenewein,0.02105701076028766,2020-10-11 20:36:29.231301,0.6,0.05
20,S Whitney,Medical,0.016033130396305134,2020-10-11 20:36:29.231301,0.6,0.05
21,Packers,Scott,0.014713999404795952,2020-10-11 20:36:29.231301,0.6,0.05
