rank,cross_1,cross_2,impact_index,generated_time,agent_range,agent_interval
1,W Terrace,Eastpark,0.9183554363849709,2020-10-11 20:44:49.553485,0.6,0.05
2,Waldorf,Mansion Hill,0.6722820543095629,2020-10-11 20:44:49.553485,0.6,0.05
3,N Thompson,Jana,0.6414136001673613,2020-10-11 20:44:49.553485,0.6,0.05
4,N Fair Oaks,Lexington,0.5005646109452515,2020-10-11 20:44:49.553485,0.6,0.05
5,N Thompson,Westwynn,0.426843454938893,2020-10-11 20:44:49.553485,0.6,0.05
6,Eastpark,Broadview,0.2680472146239763,2020-10-11 20:44:49.553485,0.6,0.05
7,S Whitney,Gilbert,0.23955035195442087,2020-10-11 20:44:49.553485,0.6,0.05
8,North Transfer Point,Huxley,0.1730026899730942,2020-10-11 20:44:49.553485,0.6,0.05
9,Rayovac,Exact,0.16166003644343674,2020-10-11 20:44:49.553485,0.6,0.05
10,S Whitney,Kroncke,0.1452987399138506,2020-10-11 20:44:49.553485,0.6,0.05
11,Anniversary,Forest Run,0.0959710687784492,2020-10-11 20:44:49.553485,0.6,0.05
12,Hathaway,Schroeder,0.09482082850620048,2020-10-11 20:44:49.553485,0.6,0.05
13,Fish Hatchery,W Badger,0.08799110391176851,2020-10-11 20:44:49.553485,0.6,0.05
14,W Terrace,5117,0.08187520002300952,2020-10-11 20:44:49.553485,0.6,0.05
15,Oak,E Washington,0.06461588826804701,2020-10-11 20:44:49.553485,0.6,0.05
16,N Sherman,Farragut,0.051126996934193925,2020-10-11 20:44:49.553485,0.6,0.05
17,Winnebago,Lafollette,0.049446464542086066,2020-10-11 20:44:49.553485,0.6,0.05
18,N Sherman,Thackeray,0.044624351483694535,2020-10-11 20:44:49.553485,0.6,0.05
19,Allied,Jenewein,0.04323797345611776,2020-10-11 20:44:49.553485,0.6,0.05
20,S Mills,Regent,0.040978536596251613,2020-10-11 20:44:49.553485,0.6,0.05
21,Hathaway,Greenwich,0.028180632093607244,2020-10-11 20:44:49.553485,0.6,0.05
22,S Whitney,Medical,0.0275653348387081,2020-10-11 20:44:49.553485,0.6,0.05
23,Gilbert,Gilbert,0.01842088705961001,2020-10-11 20:44:49.553485,0.6,0.05
24,Carling,Allied,0.016383247737276452,2020-10-11 20:44:49.553485,0.6,0.05
25,S Allen,Regent,0.015609005076075523,2020-10-11 20:44:49.553485,0.6,0.05
26,Commercial,North Lawn,0.014177798077597933,2020-10-11 20:44:49.553485,0.6,0.05
27,Division,Eastwood,0.010875734149310527,2020-10-11 20:44:49.553485,0.6,0.05
28,Regent,N Orchard,0.008234657385053717,2020-10-11 20:44:49.553485,0.6,0.05
29,Regent,N Randall,0.008161094199506586,2020-10-11 20:44:49.553485,0.6,0.05
30,School,Fulton,0.006937508833276457,2020-10-11 20:44:49.553485,0.6,0.05
31,Dempsey,Maher,0.006053373126874914,2020-10-11 20:44:49.553485,0.6,0.05
32,Packers,Scott,0.005282462017331735,2020-10-11 20:44:49.553485,0.6,0.05
33,Mendota,University,0.005037703805568228,2020-10-11 20:44:49.553485,0.6,0.05
34,Regent,N Mills,0.004862116083208787,2020-10-11 20:44:49.553485,0.6,0.05
35,Eagle Heights,Lot F,0.004812960508601083,2020-10-11 20:44:49.553485,0.6,0.05
36,University,Branch,0.0037717891264690134,2020-10-11 20:44:49.553485,0.6,0.05
37,Park,Elmwood,0.003739710028797333,2020-10-11 20:44:49.553485,0.6,0.05
38,Research Park,E Cheryl,0.0,2020-10-11 20:44:49.553485,0.6,0.05
39,S Fish Hatchery,Cheryl,0.0,2020-10-11 20:44:49.553485,0.6,0.05
40,E Cheryl,S Fish Hatchery,0.0,2020-10-11 20:44:49.553485,0.6,0.05
41,Mickelson,S Fish Hatchery,0.0,2020-10-11 20:44:49.553485,0.6,0.05
42,Manchester,Westin,0.0,2020-10-11 20:44:49.553485,0.6,0.05
43,Mickelson,Walkway,0.0,2020-10-11 20:44:49.553485,0.6,0.05
44,Westin,Maple Grove,0.0,2020-10-11 20:44:49.553485,0.6,0.05
45,Manchester,Thornebury,0.0,2020-10-11 20:44:49.553485,0.6,0.05
46,S Fish Hatchery,Brendan,0.0,2020-10-11 20:44:49.553485,0.6,0.05
47,Mickelson,Brendan,0.0,2020-10-11 20:44:49.553485,0.6,0.05
48,Brendan,Chapel Valley,0.0,2020-10-11 20:44:49.553485,0.6,0.05
49,S Whitney,Raymond,0.0,2020-10-11 20:44:49.553485,0.6,0.05
50,D'onofrio,Mineral Point,0.0,2020-10-11 20:44:49.553485,0.6,0.05
51,Toepfer,Mineral Point,0.0,2020-10-11 20:44:49.553485,0.6,0.05
52,Pflaum,Alder,0.0,2020-10-11 20:44:49.553485,0.6,0.05
53,N Bassett,W Dayton,0.0,2020-10-11 20:44:49.553485,0.6,0.05
54,Nakoosa,Walmart,0.0,2020-10-11 20:44:49.553485,0.6,0.05
55,International,American,0.0,2020-10-11 20:44:49.553485,0.6,0.05
56,Zeier,E Springs,0.0,2020-10-11 20:44:49.553485,0.6,0.05
57,Packers,Elka,0.0,2020-10-11 20:44:49.553485,0.6,0.05
58,N Sherman,Trailsway,0.0,2020-10-11 20:44:49.553485,0.6,0.05
59,Zeier,Shopko,0.0,2020-10-11 20:44:49.553485,0.6,0.05
60,East Towne,E Springs,0.0,2020-10-11 20:44:49.553485,0.6,0.05
61,E Washington,E Springs,0.0,2020-10-11 20:44:49.553485,0.6,0.05
62,E Washington N,4822,0.0,2020-10-11 20:44:49.553485,0.6,0.05
63,Wheeler,Ilene,0.0,2020-10-11 20:44:49.553485,0.6,0.05
64,Mohawk,Nakoma,-0.00025951965428283597,2020-10-11 20:44:49.553485,0.6,0.05
65,Lake Mendota,Eagle Heights,-0.00026056491306571117,2020-10-11 20:44:49.553485,0.6,0.05
66,Junction,Elderberry,-0.00028919822431155984,2020-10-11 20:44:49.553485,0.6,0.05
67,Hardrock,Mckee,-0.00033379439857658677,2020-10-11 20:44:49.553485,0.6,0.05
68,M L K Junior,City-county,-0.0004174408414840472,2020-10-11 20:44:49.553485,0.6,0.05
69,Heartland,Deming,-0.0004417854187052095,2020-10-11 20:44:49.553485,0.6,0.05
70,Langley,Dell,-0.0007349495163146841,2020-10-11 20:44:49.553485,0.6,0.05
71,Eagle Heights,Lot E,-0.0011694054678342558,2020-10-11 20:44:49.553485,0.6,0.05
72,E Washington,S First,-0.0015553942178277505,2020-10-11 20:44:49.553485,0.6,0.05
73,Regent,S Randall,-0.0020026655375508864,2020-10-11 20:44:49.553485,0.6,0.05
74,Regent,N Allen,-0.002681094896898162,2020-10-11 20:44:49.553485,0.6,0.05
75,W Washington,N Fairchild,-0.002913462148936355,2020-10-11 20:44:49.553485,0.6,0.05
