,OBJECTID,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,agency_id,location_t,parent_sta,wheelchair,Route,Route_Dir,Shelter,Bench,Schedule,Light,Reaitime,PK_MD_WE,jurisdicti,relative_p,cardinal_d,primary_st,address_ra,cross_loca,geometry
0,12792,1110,1110,E Dayton & Wisconsin (WB),This EVENT/DETOUR ONLY stop (#1110) is westbound on the 2 block of Dayton St (E) nearside of Wisconsin Ave,43.076428,-89.38592,MMT,0,,1,None,,0,0,0,0,0,000,CMAD,3,270.0,E Dayton,2,Wisconsin,POINT (-89.38591919586982 43.07643036088118)
1,12793,1111,1111,W Doty & M L K Junior (EB),This EVENT/DETOUR ONLY stop (#1111) is eastbound on the 1 block of Doty St (W) nearside of Martin Luther King Jr Blvd,43.072938,-89.382354,MMT,0,,1,None,,0,0,0,0,0,000,CMAD,3,90.0,W Doty,1,M L K Junior,POINT (-89.38235320566406 43.07294036311185)
2,12794,1124,1124,S Fairchild & W Main (SB),This EVENT/DETOUR ONLY stop (#1124) is southbound on the 98 block of Fairchild St (S) nearside of Main St (W),43.072467,-89.385273,MMT,0,,1,None,,0,0,0,0,0,000,CMAD,3,180.0,S Fairchild,98,W Main,POINT (-89.38527220696201 43.07246935942042)
3,12795,1135,1135,N Webster & E Mifflin (NB),This EVENT/DETOUR ONLY stop (#1135) is northbound on the 101 block of Webster St (N) farside of Mifflin St (E),43.077272,-89.383413,MMT,0,,1,None,,0,0,0,0,0,000,CMAD,1,0.0,N Webster,101,E Mifflin,POINT (-89.38341219351082 43.07727436415694)
4,12796,1140,1140,E Washington & N Webster (WB),This EVENT/DETOUR ONLY stop (#1140) is westbound on the 200 block of E Washington Ave nearside of Webster St (N),43.07639,-89.38193,MMT,0,,1,None,,0,0,0,0,0,000,CMAD,3,270.0,E Washington,200,N Webster,POINT (-89.38192919600975 43.07639236517169)
5,12797,1146,1146,N Fairchild & W Washington (SB),This EVENT/DETOUR ONLY stop (#1146) is southbound on the 50 block of Fairchild St (N) nearside of W Washington Ave,43.073504,-89.386724,MMT,0,,1,None,,0,0,0,0,0,000,CMAD,3,180.0,N Fairchild,50,W Washington,POINT (-89.3867232034403 43.07350635814669)
6,12798,1155,1155,S Webster & E Main (NB),This EVENT/DETOUR ONLY stop (#1155) is northbound on the 99 block of Webster St (S) farside of Main St (E),43.075579,-89.381192,MMT,0,,1,None,,0,0,0,0,0,000,CMAD,1,0.0,S Webster,99,E Main,POINT (-89.38119119820634 43.07558136581429)
7,12799,1174,1174,W Dayton & State (WB),This EVENT/DETOUR ONLY stop (#1174) is westbound on the 198 block of Dayton St (W) nearside of State St,43.07512,-89.387855,MMT,0,,1,None,,0,0,0,0,0,000,CMAD,3,270.0,W Dayton,198,State,POINT (-89.38785419941328 43.07512235775083)
8,12800,1189,1189,E Doty & S Pinckney (EB),This EVENT/DETOUR ONLY stop (#1189) is eastbound on the 101 block of Doty St (E) nearside of Pinckney St (S),43.074111,-89.380724,MMT,0,,1,None,,0,0,0,0,0,000,CMAD,3,90.0,E Doty,101,S Pinckney,POINT (-89.38072320319483 43.07411336559159)
9,12801,4000,SoTP,South Transfer Point,The South Transfer Point station is located at 2430 Park St (S) - just north of Badger Rd (W),43.038957,-89.394651,MMT,1,,1,None,,0,0,0,0,0,000,MTSM,5,,South Transfer Point,2430,S Park,POINT (-89.39465029749431 43.03895933393778)
10,12802,4100,4100,South Transfer Point,This stop (#4100) is on the pedestrian island at the South Transfer Point station,43.038895,-89.394824,MMT,0,4000.0,1,"4, 5, 13, 16, 18, 40, 44, 48, 49",,1,0,1,1,1,111,MTSM,5,,South Transfer Point,2430,S Park,POINT (-89.39482329790644 43.03889733390121)
11,12803,5000,NoTP,North Transfer Point,The North Transfer Point station is located at 1213 Huxley St - just south of Aberg Av,43.112918,-89.358526,MMT,1,,1,None,,0,0,0,0,0,000,MTSM,5,,North Transfer Point,1213,Huxley,POINT (-89.35852510576649 43.1129204146747)
12,12804,5100,5100,North Transfer Point,This stop (#5100) is on the pedestrian island at the North Transfer Point station,43.113253,-89.35854,MMT,0,5000.0,1,"2, 4, 17, 20, 21, 22, 27",,1,0,1,1,1,111,MTSM,5,,North Transfer Point,1213,Huxley,POINT (-89.35853910475025 43.11325541503273)
13,12805,6000,WeTP,West Transfer Point,The West Transfer Point station is located at 5700 Tokay Blvd - just west of Whitney Way,43.053863,-89.475454,MMT,1,,1,None,,0,0,0,0,0,000,MTSM,5,,West Transfer Point,5700,Tokay,POINT (-89.47545325559702 43.05386525563367)
14,12806,6100,6100,West Transfer Point,This stop (#6100) is on the pedestrian island at the West Transfer Point station,43.053883,-89.475098,MMT,0,6000.0,1,"2, 6, 7, 11, 12, 18, 50, 51, 52, 55, 59, 63, 67, 68, 73, 78",,1,0,1,1,1,111,MTSM,5,,West Transfer Point,5700,Tokay,POINT (-89.47509725588517 43.05388525607819)
15,12807,7000,EaTP,East Transfer Point,The East Transfer Point station is located at 102 Corporate Dr (W) - just north of Milwaukee St,43.098624,-89.322251,MMT,1,,1,None,,0,0,0,0,0,000,MTSM,5,,East Transfer Point,102,W Corporate,POINT (-89.32225015073995 43.09862645166303)
