Station,Direction,Year,Month,Day,Time_Period,Volume,OBJECTID
130032 Washington,Inbound,2016,January,Monday,12-1 AM,126,0
130032 Washington,Inbound,2016,January,Monday,1-2 AM,97,1
130032 Washington,Inbound,2016,January,Monday,2-3 AM,76,2
130032 Washington,Inbound,2016,January,Monday,3-4 AM,71,3
130032 Washington,Inbound,2016,January,Monday,4-5 AM,147,4
130032 Washington,Inbound,2016,January,Monday,5-6 AM,405,5
130032 Washington,Inbound,2016,January,Monday,6-7 AM,1036,6
130032 Washington,Inbound,2016,January,Monday,7-8 AM,942,7
130032 Washington,Inbound,2016,January,Monday,8-9 AM,942,8
130032 Washington,Inbound,2016,January,Monday,9-10 AM,894,9
130032 Washington,Inbound,2016,January,Monday,10-11 AM,778,10
130032 Washington,Inbound,2016,January,Monday,11-12 AM,1185,11
130032 Washington,Inbound,2016,January,Monday,12-1 PM,1312,12
130032 Washington,Inbound,2016,January,Monday,1-2 PM,1273,13
130032 Washington,Inbound,2016,January,Monday,2-3 PM,1250,14
130032 Washington,Inbound,2016,January,Monday,3-4 PM,1242,15
130032 Washington,Inbound,2016,January,Monday,4-5 PM,1342,16
130032 Washington,Inbound,2016,January,Monday,5-6 PM,991,17
130032 Washington,Inbound,2016,January,Monday,6-7 PM,975,18
130032 Washington,Inbound,2016,January,Monday,7-8 PM,693,19
130032 Washington,Inbound,2016,January,Monday,8-9 PM,546,20
130032 Washington,Inbound,2016,January,Monday,9-10 PM,506,21
130032 Washington,Inbound,2016,January,Monday,10-11 PM,398,22
130032 Washington,Inbound,2016,January,Monday,11-12 PM,239,23
130032 Washington,Inbound,2016,January,Tuesday,12-1 AM,130,24
130032 Washington,Inbound,2016,January,Tuesday,1-2 AM,93,25
130032 Washington,Inbound,2016,January,Tuesday,2-3 AM,66,26
130032 Washington,Inbound,2016,January,Tuesday,3-4 AM,75,27
130032 Washington,Inbound,2016,January,Tuesday,4-5 AM,163,28
130032 Washington,Inbound,2016,January,Tuesday,5-6 AM,625,29
130032 Washington,Inbound,2016,January,Tuesday,6-7 AM,1667,30
130032 Washington,Inbound,2016,January,Tuesday,7-8 AM,2879,31
130032 Washington,Inbound,2016,January,Tuesday,8-9 AM,2532,32
130032 Washington,Inbound,2016,January,Tuesday,9-10 AM,1438,33
130032 Washington,Inbound,2016,January,Tuesday,10-11 AM,1173,34
130032 Washington,Inbound,2016,January,Tuesday,11-12 AM,1277,35
130032 Washington,Inbound,2016,January,Tuesday,12-1 PM,1370,36
130032 Washington,Inbound,2016,January,Tuesday,1-2 PM,1253,37
130032 Washington,Inbound,2016,January,Tuesday,2-3 PM,1317,38
130032 Washington,Inbound,2016,January,Tuesday,3-4 PM,1335,39
130032 Washington,Inbound,2016,January,Tuesday,4-5 PM,1435,40
130032 Washington,Inbound,2016,January,Tuesday,5-6 PM,1474,41
130032 Washington,Inbound,2016,January,Tuesday,6-7 PM,1187,42
130032 Washington,Inbound,2016,January,Tuesday,7-8 PM,819,43
130032 Washington,Inbound,2016,January,Tuesday,8-9 PM,622,44
130032 Washington,Inbound,2016,January,Tuesday,9-10 PM,556,45
130032 Washington,Inbound,2016,January,Tuesday,10-11 PM,434,46
130032 Washington,Inbound,2016,January,Tuesday,11-12 PM,238,47
130032 Washington,Inbound,2016,January,Wednesday,12-1 AM,132,48
130032 Washington,Inbound,2016,January,Wednesday,1-2 AM,86,49
130032 Washington,Inbound,2016,January,Wednesday,2-3 AM,60,50
130032 Washington,Inbound,2016,January,Wednesday,3-4 AM,70,51
130032 Washington,Inbound,2016,January,Wednesday,4-5 AM,171,52
130032 Washington,Inbound,2016,January,Wednesday,5-6 AM,626,53
130032 Washington,Inbound,2016,January,Wednesday,6-7 AM,1662,54
130032 Washington,Inbound,2016,January,Wednesday,7-8 AM,2903,55
130032 Washington,Inbound,2016,January,Wednesday,8-9 AM,2586,56
130032 Washington,Inbound,2016,January,Wednesday,9-10 AM,1495,57
130032 Washington,Inbound,2016,January,Wednesday,10-11 AM,1219,58
130032 Washington,Inbound,2016,January,Wednesday,11-12 AM,1248,59
130032 Washington,Inbound,2016,January,Wednesday,12-1 PM,1356,60
