date,exception_type,service_id
20201125,2,93_WKD:L#6
20201126,2,93_WKD
20201126,2,93_WKD:L#6
20201126,2,93_WKD:S
20201126,2,93_WKD:S#6
20201126,1,93_HOL
20201127,2,93_WKD
20201127,2,93_WKD:L=6
20201127,2,93_WKD:S
20201127,2,93_WKD:S=6
20201127,1,93_MWK
20201127,1,93_MWK:R
20201128,2,93_SAT:L
20201128,2,93_SAT:S
20201128,1,93_SAT:R
20201224,2,94_WKD
20201224,2,94_WKD:R
20201224,1,94_D24
20201225,2,94_WKD
20201225,2,94_WKD:R
20201225,1,94_HOL
20201231,2,94_WKD:R
20210101,2,94_WKD
20210101,2,94_WKD:R
20210101,1,94_HOL
20210118,2,94_WKD
20210118,2,94_WKD:R
20210118,1,94_MWK
20210118,1,94_MWK:R
