stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,6:30:00,6:30:00,SOUTH TRANSFER: VIA MIDVALE,0.0097
2,2939,6:30:33,6:30:33,SOUTH TRANSFER: VIA MIDVALE,0.2648
3,2323,6:31:02,6:31:02,SOUTH TRANSFER: VIA MIDVALE,0.4904
4,2417,6:31:17,6:31:17,SOUTH TRANSFER: VIA MIDVALE,0.6047
5,2161,6:31:50,6:31:50,SOUTH TRANSFER: VIA MIDVALE,0.8551
6,2615,6:32:14,6:32:14,SOUTH TRANSFER: VIA MIDVALE,1.0422
7,2476,6:32:42,6:32:42,SOUTH TRANSFER: VIA MIDVALE,1.2542
8,2634,6:33:13,6:33:13,SOUTH TRANSFER: VIA MIDVALE,1.4909
9,4176,6:33:51,6:33:51,SOUTH TRANSFER: VIA MIDVALE,1.7805
10,4342,6:34:22,6:34:22,SOUTH TRANSFER: VIA MIDVALE,2.0197
11,4354,6:35:00,6:35:00,SOUTH TRANSFER: VIA MIDVALE,2.2748
12,4368,6:35:55,6:35:55,SOUTH TRANSFER: VIA MIDVALE,2.5169
13,4326,6:36:48,6:36:48,SOUTH TRANSFER: VIA MIDVALE,2.7504
14,4714,6:37:30,6:37:30,SOUTH TRANSFER: VIA MIDVALE,2.9339999999999997
15,4500,6:38:03,6:38:03,SOUTH TRANSFER: VIA MIDVALE,3.0803
16,4202,6:38:38,6:38:38,SOUTH TRANSFER: VIA MIDVALE,3.2328
17,4580,6:39:11,6:39:11,SOUTH TRANSFER: VIA MIDVALE,3.3804
18,4856,6:39:31,6:39:31,SOUTH TRANSFER: VIA MIDVALE,3.4717
19,4990,6:40:18,6:40:18,SOUTH TRANSFER: VIA MIDVALE,3.6778
20,4791,6:41:01,6:41:01,SOUTH TRANSFER: VIA MIDVALE,3.8689
21,4849,6:41:35,6:41:35,SOUTH TRANSFER: VIA MIDVALE,4.0197
22,4663,6:42:06,6:42:06,SOUTH TRANSFER: VIA MIDVALE,4.1549
23,4437,6:42:29,6:42:29,SOUTH TRANSFER: VIA MIDVALE,4.2578
24,4179,6:42:58,6:42:58,SOUTH TRANSFER: VIA MIDVALE,4.3864
25,4263,6:43:41,6:43:41,SOUTH TRANSFER: VIA MIDVALE,4.5767
26,4719,6:44:04,6:44:04,SOUTH TRANSFER: VIA MIDVALE,4.6788
27,4761,6:45:00,6:45:00,SOUTH TRANSFER: VIA MIDVALE,4.8847
28,4685,6:45:38,6:45:38,SOUTH TRANSFER: VIA MIDVALE,5.0872
29,4539,6:45:52,6:45:52,SOUTH TRANSFER: VIA MIDVALE,5.1612
30,4100,6:55:00,6:55:00,DROP OFFS ONLY,8.0202
