stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,4560,6:09:19,6:09:19,WEST TRANSFER: VIA HAMMERSLEY,0.0197
2,4430,6:10:00,6:10:00,WEST TRANSFER: VIA HAMMERSLEY,0.2402
3,4688,6:10:40,6:10:40,WEST TRANSFER: VIA HAMMERSLEY,0.4556
4,4456,6:11:08,6:11:08,WEST TRANSFER: VIA HAMMERSLEY,0.6084
5,4798,6:11:31,6:11:31,WEST TRANSFER: VIA HAMMERSLEY,0.7325
6,4714,6:12:06,6:12:06,WEST TRANSFER: VIA HAMMERSLEY,0.9209
7,4158,6:12:30,6:12:30,WEST TRANSFER: VIA HAMMERSLEY,1.0528
8,4446,6:12:56,6:12:56,WEST TRANSFER: VIA HAMMERSLEY,1.1929
9,4806,6:13:29,6:13:29,WEST TRANSFER: VIA HAMMERSLEY,1.3675
10,4847,6:13:55,6:13:55,WEST TRANSFER: VIA HAMMERSLEY,1.5084
11,4769,6:14:31,6:14:31,WEST TRANSFER: VIA HAMMERSLEY,1.7009999999999998
12,4333,6:14:49,6:14:49,WEST TRANSFER: VIA HAMMERSLEY,1.7976
13,4191,6:15:22,6:15:22,WEST TRANSFER: VIA HAMMERSLEY,1.9739
14,4861,6:15:57,6:15:57,WEST TRANSFER: VIA HAMMERSLEY,2.1586
15,4295,6:16:13,6:16:13,WEST TRANSFER: VIA HAMMERSLEY,2.2438
16,4481,6:16:38,6:16:38,WEST TRANSFER: VIA HAMMERSLEY,2.381
17,4751,6:17:27,6:17:27,WEST TRANSFER: VIA HAMMERSLEY,2.6399
18,8154,6:19:00,6:19:00,WEST TRANSFER: VIA HAMMERSLEY,3.0882
19,8770,6:19:31,6:19:31,WEST TRANSFER: VIA HAMMERSLEY,3.2647
20,8594,6:19:54,6:19:54,WEST TRANSFER: VIA HAMMERSLEY,3.3964
21,8604,6:20:49,6:20:49,WEST TRANSFER: VIA HAMMERSLEY,3.7103
22,8173,6:21:30,6:21:30,WEST TRANSFER: VIA HAMMERSLEY,3.9452
23,8633,6:22:01,6:22:01,WEST TRANSFER: VIA HAMMERSLEY,4.1237
24,8605,6:22:41,6:22:41,WEST TRANSFER: VIA HAMMERSLEY,4.349
25,2383,6:23:38,6:23:38,WEST TRANSFER: VIA HAMMERSLEY,4.6739999999999995
26,2665,6:24:00,6:24:00,WEST TRANSFER: VIA HAMMERSLEY,4.7977
27,6100,6:25:00,6:25:00,DROP OFFS ONLY,5.1112
