stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,7:00:00,7:00:00,NORTH TRANSFER: VIA FORDEM,0.0097
2,2925,7:01:02,7:01:02,NORTH TRANSFER: VIA FORDEM,0.3175
3,2401,7:02:12,7:02:12,NORTH TRANSFER: VIA FORDEM,0.6611
4,2249,7:02:55,7:02:55,NORTH TRANSFER: VIA FORDEM,0.8757
5,2669,7:03:32,7:03:32,NORTH TRANSFER: VIA FORDEM,1.0579
6,2201,7:04:04,7:04:04,NORTH TRANSFER: VIA FORDEM,1.2175
7,2121,7:04:59,7:04:59,NORTH TRANSFER: VIA FORDEM,1.4903
8,2175,7:06:00,7:06:00,NORTH TRANSFER: VIA FORDEM,1.7755
9,2101,7:06:56,7:06:56,NORTH TRANSFER: VIA FORDEM,1.9756
10,2395,7:07:32,7:07:32,NORTH TRANSFER: VIA FORDEM,2.1058
11,2752,7:08:05,7:08:05,NORTH TRANSFER: VIA FORDEM,2.2248
12,2501,7:08:55,7:08:55,NORTH TRANSFER: VIA FORDEM,2.404
13,2741,7:09:23,7:09:23,NORTH TRANSFER: VIA FORDEM,2.5073
14,2191,7:10:40,7:10:40,NORTH TRANSFER: VIA FORDEM,2.7851
15,2755,7:11:31,7:11:31,NORTH TRANSFER: VIA FORDEM,2.9684
16,2595,7:12:11,7:12:11,NORTH TRANSFER: VIA FORDEM,3.1119
17,2945,7:13:30,7:13:30,NORTH TRANSFER: VIA FORDEM,3.3975
18,2131,7:15:00,7:15:00,NORTH TRANSFER: VIA FORDEM,3.7033
19,2473,7:16:20,7:16:20,NORTH TRANSFER: VIA FORDEM,3.99
20,2349,7:17:08,7:17:08,NORTH TRANSFER: VIA FORDEM,4.1611
21,2916,7:17:45,7:17:45,NORTH TRANSFER: VIA FORDEM,4.2947
22,2822,7:18:30,7:18:30,NORTH TRANSFER: VIA FORDEM,4.4562
23,2561,7:19:22,7:19:22,NORTH TRANSFER: VIA FORDEM,4.6444
24,2605,7:20:11,7:20:11,NORTH TRANSFER: VIA FORDEM,4.8213
25,2717,7:21:01,7:21:01,NORTH TRANSFER: VIA FORDEM,5.001
26,2921,7:21:54,7:21:54,NORTH TRANSFER: VIA FORDEM,5.1927
27,133,7:23:00,7:23:00,NORTH TRANSFER: VIA FORDEM,5.4109
28,809,7:23:51,7:23:51,NORTH TRANSFER: VIA FORDEM,5.5267
29,581,7:25:48,7:25:48,NORTH TRANSFER: VIA FORDEM,5.7906
30,743,7:26:36,7:26:36,NORTH TRANSFER: VIA FORDEM,5.9006
31,455,7:27:57,7:27:57,NORTH TRANSFER: VIA FORDEM,6.0834
32,435,7:29:04,7:29:04,NORTH TRANSFER: VIA FORDEM,6.235
33,941,7:29:39,7:29:39,NORTH TRANSFER: VIA FORDEM,6.3158
34,839,7:31:29,7:31:29,NORTH TRANSFER: VIA FORDEM,6.5644
35,883,7:32:55,7:32:55,NORTH TRANSFER: VIA FORDEM,6.7583
36,1324,7:33:46,7:33:46,NORTH TRANSFER: VIA FORDEM,6.8739
37,1101,7:35:00,7:35:00,NORTH TRANSFER: VIA FORDEM,7.0288
38,1787,7:35:50,7:35:50,NORTH TRANSFER: VIA FORDEM,7.1827
39,1495,7:36:25,7:36:25,NORTH TRANSFER: VIA FORDEM,7.2926
40,1227,7:37:36,7:37:36,NORTH TRANSFER: VIA FORDEM,7.5128
41,1831,7:38:32,7:38:32,NORTH TRANSFER: VIA FORDEM,7.6868
42,1397,7:39:13,7:39:13,NORTH TRANSFER: VIA FORDEM,7.8124
43,1121,7:39:41,7:39:41,NORTH TRANSFER: VIA FORDEM,7.8999
44,1151,7:40:33,7:40:33,NORTH TRANSFER: VIA FORDEM,8.0621
45,1209,7:42:00,7:42:00,NORTH TRANSFER: VIA FORDEM,8.3143
46,1325,7:42:51,7:42:51,NORTH TRANSFER: VIA FORDEM,8.5636
47,1267,7:43:17,7:43:17,NORTH TRANSFER: VIA FORDEM,8.6898
48,1707,7:44:10,7:44:10,NORTH TRANSFER: VIA FORDEM,8.9512
49,1177,7:44:57,7:44:57,NORTH TRANSFER: VIA FORDEM,9.1814
50,1379,7:46:00,7:46:00,NORTH TRANSFER: VIA FORDEM,9.4787
51,1717,7:46:41,7:46:41,NORTH TRANSFER,9.6521
52,1923,7:47:32,7:47:32,NORTH TRANSFER,9.863999999999999
53,1715,7:48:19,7:48:19,NORTH TRANSFER,10.0604
54,1561,7:48:58,7:48:58,NORTH TRANSFER,10.2226
55,1877,7:49:43,7:49:43,NORTH TRANSFER,10.4115
56,1759,7:50:10,7:50:10,NORTH TRANSFER,10.5258
57,5100,7:51:00,7:51:00,DROP OFFS ONLY,10.718
