stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,7100,7:15:00,7:15:00,E TOWNE: VIA NAKOOSA,0.0092
2,7169,7:15:44,7:15:44,E TOWNE: VIA NAKOOSA,0.263
3,9629,7:19:36,7:19:36,E TOWNE: VIA NAKOOSA,1.5965
4,9753,7:20:00,7:20:00,E TOWNE: VIA NAKOOSA,1.7287
5,9388,7:20:25,7:20:25,E TOWNE: VIA NAKOOSA,1.8701
6,9778,7:21:03,7:21:03,E TOWNE: VIA NAKOOSA,2.0847
7,9591,7:21:49,7:21:49,E TOWNE: VIA NAKOOSA,2.3438
8,9243,7:22:43,7:22:43,E TOWNE,2.6456
9,9439,7:23:13,7:23:13,E TOWNE,2.8166
10,9137,7:23:34,7:23:34,E TOWNE,2.9392
11,9745,7:24:06,7:24:06,E TOWNE,3.1217
12,9951,7:24:31,7:24:31,E TOWNE,3.2616
13,9645,7:24:56,7:24:56,E TOWNE,3.4012
14,9291,7:25:35,7:25:35,E TOWNE,3.6204
15,9432,7:26:25,7:26:25,E TOWNE,3.9026
16,9719,7:27:29,7:27:29,E TOWNE,4.2645
17,9677,7:28:25,7:28:25,E TOWNE,4.5805
18,9800,7:29:00,7:29:00,DROP OFFS ONLY,4.738
