stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,7100,7:15:00,7:15:00,MARSH: VIA DUTCH MILL,0.0092
2,1270,7:16:06,7:16:06,MARSH: VIA DUTCH MILL,0.3488
3,1786,7:16:33,7:16:33,MARSH: VIA DUTCH MILL,0.4881
4,1478,7:17:09,7:17:09,MARSH: VIA DUTCH MILL,0.6764
5,1890,7:17:36,7:17:36,MARSH: VIA DUTCH MILL,0.8185
6,7888,7:18:10,7:18:10,MARSH: VIA DUTCH MILL,0.9938
7,7296,7:18:39,7:18:39,MARSH: VIA DUTCH MILL,1.1451
8,7182,7:19:00,7:19:00,MARSH: VIA DUTCH MILL,1.2531
9,7834,7:19:40,7:19:40,MARSH: VIA DUTCH MILL,1.4613
10,7114,7:20:33,7:20:33,MARSH: VIA DUTCH MILL,1.7336
11,7605,7:25:00,7:25:00,MARSH: VIA DUTCH MILL,3.0895
12,7739,7:25:23,7:25:23,MARSH: VIA DUTCH MILL,3.2649
13,7119,7:25:54,7:25:54,MARSH: VIA DUTCH MILL,3.4998
14,7351,7:26:22,7:26:22,MARSH: VIA DUTCH MILL,3.71
15,7499,7:26:46,7:26:46,MARSH: VIA DUTCH MILL,3.8896
16,7391,7:27:19,7:27:19,MARSH: VIA DUTCH MILL,4.1389
17,7617,7:27:51,7:27:51,MARSH: VIA DUTCH MILL,4.3812
18,7412,7:28:24,7:28:24,MARSH: VIA DUTCH MILL,4.6254
19,7458,7:28:44,7:28:44,MARSH: VIA DUTCH MILL,4.7793
20,7920,7:29:19,7:29:19,MARSH: VIA DUTCH MILL,5.0387
21,7226,7:30:03,7:30:03,MARSH: VIA DUTCH MILL,5.3675
22,3854,7:30:48,7:30:48,MARSH: VIA DUTCH MILL,5.6988
23,3546,7:31:13,7:31:13,MARSH: VIA DUTCH MILL,5.8869
24,3195,7:32:00,7:32:00,MARSH: VIA DUTCH MILL,6.1787
25,3721,7:32:36,7:32:36,MARSH: VIA DUTCH MILL,6.4349
26,3299,7:33:11,7:33:11,MARSH: VIA DUTCH MILL,6.6841
27,3224,7:33:58,7:33:58,MARSH,7.021
28,3462,7:34:58,7:34:58,MARSH,7.4465
29,3758,7:35:39,7:35:39,MARSH,7.7396
30,3620,7:36:07,7:36:07,MARSH,7.9396
31,3740,7:37:00,7:37:00,DROP OFFS ONLY,8.2901
