stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,4100,6:04:00,6:04:00,EAST TRANSFER,0.0074
2,475,6:05:30,6:05:30,EAST TRANSFER,0.3919
3,709,6:06:15,6:06:15,EAST TRANSFER,0.5858
4,195,6:06:58,6:06:58,EAST TRANSFER,0.7685
5,749,6:07:31,6:07:31,EAST TRANSFER,0.9083
6,181,6:08:24,6:08:24,EAST TRANSFER,1.1333
7,107,6:09:04,6:09:04,EAST TRANSFER,1.3044
8,519,6:10:00,6:10:00,EAST TRANSFER,1.5314
9,251,6:11:26,6:11:26,EAST TRANSFER,1.7632
10,633,6:12:56,6:12:56,EAST TRANSFER,2.0055
11,113,6:13:58,6:13:58,EAST TRANSFER,2.1734
12,225,6:14:36,6:14:36,EAST TRANSFER,2.2775
13,469,6:15:29,6:15:29,EAST TRANSFER,2.4214
14,967,6:16:21,6:16:21,EAST TRANSFER,2.5629
15,473,6:17:08,6:17:08,EAST TRANSFER,2.6894
16,989,6:17:54,6:17:54,EAST TRANSFER,2.8147
17,235,6:18:29,6:18:29,EAST TRANSFER,2.9109
18,1163,6:19:13,6:19:13,EAST TRANSFER,3.0309
19,1101,6:20:00,6:20:00,EAST TRANSFER,3.1441
20,1787,6:20:57,6:20:57,EAST TRANSFER,3.298
21,1495,6:21:38,6:21:38,EAST TRANSFER,3.4079
22,1227,6:23:00,6:23:00,EAST TRANSFER,3.628
23,1831,6:24:04,6:24:04,EAST TRANSFER,3.8021
24,1397,6:24:50,6:24:50,EAST TRANSFER,3.9277
25,1121,6:25:22,6:25:22,EAST TRANSFER,4.0152
26,1151,6:26:22,6:26:22,EAST TRANSFER,4.1773
27,1209,6:28:00,6:28:00,EAST TRANSFER,4.4296
28,1325,6:28:52,6:28:52,EAST TRANSFER,4.6788
29,1267,6:29:18,6:29:18,EAST TRANSFER,4.805
30,1333,6:30:06,6:30:06,EAST TRANSFER,5.0335
31,1843,6:30:32,6:30:32,EAST TRANSFER,5.1581
32,1131,6:31:25,6:31:25,EAST TRANSFER,5.4125
33,1675,6:31:51,6:31:51,EAST TRANSFER,5.5369
34,1949,6:32:31,6:32:31,EAST TRANSFER,5.728
35,1319,6:32:54,6:32:54,EAST TRANSFER,5.8405
36,1518,6:33:33,6:33:33,EAST TRANSFER,6.0267
37,1598,6:34:00,6:34:00,EAST TRANSFER,6.1328
38,1293,6:34:26,6:34:26,EAST TRANSFER,6.2469
39,1137,6:35:07,6:35:07,EAST TRANSFER,6.4279
40,1975,6:35:40,6:35:40,EAST TRANSFER,6.5734
41,1919,6:36:15,6:36:15,EAST TRANSFER,6.7257
42,1855,6:36:53,6:36:53,EAST TRANSFER,6.8911
43,1751,6:37:36,6:37:36,EAST TRANSFER,7.0806
44,1309,6:38:11,6:38:11,EAST TRANSFER,7.2343
45,1105,6:38:45,6:38:45,EAST TRANSFER,7.3848
46,7100,6:40:00,6:40:00,DROP OFFS ONLY,7.6852
