stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,7100,6:12:00,6:12:00,WEST TRANSFER: VIA MONROE,0.0092
2,1886,6:13:21,6:13:21,WEST TRANSFER: VIA MONROE,0.3451
3,1206,6:13:54,6:13:54,WEST TRANSFER: VIA MONROE,0.4819
4,1984,6:14:38,6:14:38,WEST TRANSFER: VIA MONROE,0.6673
5,1640,6:16:02,6:16:02,WEST TRANSFER: VIA MONROE,1.0144
6,1718,6:16:59,6:16:59,WEST TRANSFER: VIA MONROE,1.2503
7,1894,6:17:31,6:17:31,WEST TRANSFER: VIA MONROE,1.3826
8,1682,6:18:07,6:18:07,WEST TRANSFER: VIA MONROE,1.5345
9,1398,6:18:31,6:18:31,WEST TRANSFER: VIA MONROE,1.6375
10,1384,6:19:06,6:19:06,WEST TRANSFER: VIA MONROE,1.7822
11,1188,6:20:00,6:20:00,WEST TRANSFER: VIA MONROE,1.9916
12,1830,6:20:35,6:20:35,WEST TRANSFER: VIA MONROE,2.1007
13,1472,6:21:17,6:21:17,WEST TRANSFER: VIA MONROE,2.2321
14,1208,6:21:55,6:21:55,WEST TRANSFER: VIA MONROE,2.3524
15,1526,6:22:45,6:22:45,WEST TRANSFER: VIA MONROE,2.5077
16,1530,6:23:47,6:23:47,WEST TRANSFER: VIA MONROE,2.7005
17,1750,6:24:16,6:24:16,WEST TRANSFER: VIA MONROE,2.7933
18,1878,6:25:00,6:25:00,WEST TRANSFER: VIA MONROE,2.9198
19,1190,6:25:43,6:25:43,WEST TRANSFER: VIA MONROE,3.0442
20,1536,6:26:26,6:26:26,WEST TRANSFER: VIA MONROE,3.1689999999999996
21,1194,6:27:08,6:27:08,WEST TRANSFER: VIA MONROE,3.2922
22,1720,6:27:43,6:27:43,WEST TRANSFER: VIA MONROE,3.3931
23,1480,6:28:09,6:28:09,WEST TRANSFER: VIA MONROE,3.4703
24,1150,6:29:08,6:29:08,WEST TRANSFER: VIA MONROE,3.6416
25,1468,6:29:58,6:29:58,WEST TRANSFER: VIA MONROE,3.7856
26,1787,6:31:04,6:31:04,WEST TRANSFER: VIA MONROE,3.9755
27,1100,6:32:00,6:32:00,WEST TRANSFER: VIA MONROE,4.1276
28,1310,6:32:55,6:32:55,WEST TRANSFER: VIA MONROE,4.2344
29,1558,6:33:44,6:33:44,WEST TRANSFER: VIA MONROE,4.3293
30,898,6:34:29,6:34:29,WEST TRANSFER: VIA MONROE,4.417
31,252,6:35:14,6:35:14,WEST TRANSFER: VIA MONROE,4.504
32,568,6:37:44,6:37:44,WEST TRANSFER: VIA MONROE,4.7949
33,670,6:38:30,6:38:30,WEST TRANSFER: VIA MONROE,4.8856
34,100,6:40:00,6:40:00,WEST TRANSFER: VIA MONROE,5.0553
35,234,6:40:31,6:40:31,WEST TRANSFER: VIA MONROE,5.1821
36,178,6:41:10,6:41:10,WEST TRANSFER: VIA MONROE,5.3412
37,336,6:41:58,6:41:58,WEST TRANSFER: VIA MONROE,5.5345
38,2940,6:43:56,6:43:56,WEST TRANSFER: VIA MONROE,6.0126
39,2608,6:44:37,6:44:37,WEST TRANSFER: VIA MONROE,6.1802
40,2566,6:45:20,6:45:20,WEST TRANSFER: VIA MONROE,6.3535
41,2524,6:46:36,6:46:36,WEST TRANSFER: VIA MONROE,6.6592
42,2856,6:47:39,6:47:39,WEST TRANSFER: VIA MONROE,6.9166
43,2388,6:48:08,6:48:08,WEST TRANSFER: VIA MONROE,7.034
44,2836,6:49:01,6:49:01,WEST TRANSFER: VIA MONROE,7.2487
45,2112,6:50:00,6:50:00,WEST TRANSFER: VIA MONROE,7.4686
46,2918,6:50:51,6:50:51,WEST TRANSFER: VIA MONROE,7.7172
47,2212,6:51:35,6:51:35,WEST TRANSFER: VIA MONROE,7.9283
48,2114,6:52:02,6:52:02,WEST TRANSFER: VIA MONROE,8.0622
49,2872,6:52:53,6:52:53,WEST TRANSFER: VIA MONROE,8.3095
50,2786,6:53:32,6:53:32,WEST TRANSFER: VIA MONROE,8.4966
51,2224,6:54:00,6:54:00,WEST TRANSFER: VIA MONROE,8.6335
52,2732,6:54:57,6:54:57,WEST TRANSFER: VIA MONROE,8.9096
53,2302,6:55:35,6:55:35,WEST TRANSFER: VIA MONROE,9.0917
54,2946,6:56:12,6:56:12,WEST TRANSFER: VIA MONROE,9.2701
55,2665,6:56:49,6:56:49,WEST TRANSFER: VIA MONROE,9.4509
56,6100,6:58:00,6:58:00,DROP OFFS ONLY,9.7644
