stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,2082,6:12:00,6:12:00,MEMORIAL UNION,0.0232
2,2054,6:12:33,6:12:33,MEMORIAL UNION,0.2
3,2039,6:13:33,6:13:33,MEMORIAL UNION,0.5136
4,2061,6:13:46,6:13:46,MEMORIAL UNION,0.5820000000000001
5,2071,6:14:03,6:14:03,MEMORIAL UNION,0.6717
6,2014,6:14:38,6:14:38,MEMORIAL UNION,0.8562
7,2034,6:15:15,6:15:15,MEMORIAL UNION,1.0501
8,2048,6:15:42,6:15:42,MEMORIAL UNION,1.193
9,2881,6:16:35,6:16:35,MEMORIAL UNION,1.4711
10,2050,6:17:21,6:17:21,MEMORIAL UNION,1.7109999999999999
11,2076,6:18:00,6:18:00,MEMORIAL UNION,1.8968
12,2349,6:18:27,6:18:27,MEMORIAL UNION,1.9996
13,2091,6:19:05,6:19:05,MEMORIAL UNION,2.1418
14,2007,6:20:07,6:20:07,MEMORIAL UNION,2.3727
15,2267,6:21:06,6:21:06,MEMORIAL UNION,2.5951
16,2195,6:22:00,6:22:00,MEMORIAL UNION,2.7884
17,2145,6:23:00,6:23:00,MEMORIAL UNION,2.9506
18,298,6:23:33,6:23:33,MEMORIAL UNION,3.0388
19,573,6:24:22,6:24:22,MEMORIAL UNION,3.1699
20,438,6:25:36,6:25:36,MEMORIAL UNION,3.3676
21,706,6:26:13,6:26:13,MEMORIAL UNION,3.4683
22,336,6:28:00,6:28:00,MEMORIAL UNION,3.7459
23,5,6:29:02,6:29:02,MEMORIAL UNION,3.9137
24,61,6:30:03,6:30:03,MEMORIAL UNION,4.079
25,75,6:31:12,6:31:12,MEMORIAL UNION,4.2642
26,43,6:31:52,6:31:52,MEMORIAL UNION,4.3717
27,39,6:32:24,6:32:24,MEMORIAL UNION,4.4587
28,765,6:32:54,6:32:54,MEMORIAL UNION,4.5402
29,49,6:33:57,6:33:57,MEMORIAL UNION,4.7111
30,10,6:35:00,6:35:00,DROP OFFS ONLY,4.8728
