stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,2082,18:14:00,18:14:00,EAGLE HEIGHTS,0.0232
2,2054,18:14:30,18:14:30,EAGLE HEIGHTS,0.2
3,2039,18:15:24,18:15:24,EAGLE HEIGHTS,0.5136
4,2061,18:15:35,18:15:35,EAGLE HEIGHTS,0.5820000000000001
5,2071,18:15:50,18:15:50,EAGLE HEIGHTS,0.6717
6,2014,18:16:22,18:16:22,EAGLE HEIGHTS,0.8562
7,2034,18:17:00,18:17:00,EAGLE HEIGHTS,1.0501
8,2048,18:17:45,18:17:45,TO EAGLE HEIGHTS: LIMITED STOPS,1.193
9,2881,18:19:12,18:19:12,TO EAGLE HEIGHTS: LIMITED STOPS,1.4711
10,2349,18:22:00,18:22:00,TO EAGLE HEIGHTS: LIMITED STOPS,1.9996
11,2267,18:26:00,18:26:00,TO EAGLE HEIGHTS: LIMITED STOPS,2.5951
12,488,18:30:00,18:30:00,TO EAGLE HEIGHTS: LIMITED STOPS,3.4457
13,532,18:31:00,18:31:00,TO EAGLE HEIGHTS: LIMITED STOPS,3.7079
14,2442,18:34:00,18:34:00,TO EAGLE HEIGHTS: LIMITED STOPS,4.1162
15,2125,18:37:00,18:37:00,TO EAGLE HEIGHTS: LIMITED STOPS,4.6415
16,2938,18:38:55,18:38:55,TO EAGLE HTS,5.2558
17,2041,18:39:47,18:39:47,TO EAGLE HTS,5.5363
18,2018,18:40:25,18:40:25,TO EAGLE HTS,5.7399
19,2026,18:40:40,18:40:40,DROP OFFS ONLY,5.8239
20,2082,18:41:00,18:41:00,DROP OFFS ONLY,5.9187
