stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,3300,6:07:00,6:07:00,SOUTH TRANSFER: VIA BROADWAY,0.0203
2,3450,6:07:45,6:07:45,SOUTH TRANSFER: VIA BROADWAY,0.2689
3,3368,6:08:10,6:08:10,SOUTH TRANSFER: VIA BROADWAY,0.41
4,3622,6:08:44,6:08:44,SOUTH TRANSFER: VIA BROADWAY,0.5999
5,3772,6:09:51,6:09:51,SOUTH TRANSFER,0.9743
6,3980,6:10:26,6:10:26,SOUTH TRANSFER,1.169
7,3518,6:12:27,6:12:27,SOUTH TRANSFER,1.8382
8,3588,6:13:44,6:13:44,SOUTH TRANSFER,2.2666
9,3252,6:14:28,6:14:28,SOUTH TRANSFER,2.5137
10,3832,6:15:04,6:15:04,SOUTH TRANSFER,2.7166
11,3732,6:16:00,6:16:00,SOUTH TRANSFER,2.9941
12,3968,6:16:28,6:16:28,SOUTH TRANSFER,3.137
13,3572,6:16:59,6:16:59,SOUTH TRANSFER,3.2975
14,3448,6:17:41,6:17:41,SOUTH TRANSFER,3.5118
15,3371,6:19:06,6:19:06,SOUTH TRANSFER,3.9405
16,3821,6:19:26,6:19:26,SOUTH TRANSFER,4.0429
17,3393,6:20:07,6:20:07,SOUTH TRANSFER,4.251
18,3207,6:20:42,6:20:42,SOUTH TRANSFER,4.4307
19,3787,6:21:55,6:21:55,SOUTH TRANSFER,4.801
20,4100,6:26:00,6:26:00,DROP OFFS ONLY,6.0157
