stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,5100,7:00:00,7:00:00,EAST TRANSFER: VIA SHOPKO,0.055999999999999994
2,1895,7:00:27,7:00:27,EAST TRANSFER: VIA SHOPKO,0.2081
3,9837,7:02:28,7:02:28,EAST TRANSFER: VIA SHOPKO,0.8794
4,9274,7:03:00,7:03:00,EAST TRANSFER: VIA SHOPKO,1.0509
5,9361,7:08:02,7:08:02,EAST TRANSFER,2.1867
6,1420,7:09:29,7:09:29,EAST TRANSFER,2.5157
7,1751,7:10:17,7:10:17,EAST TRANSFER,2.6981
8,1309,7:10:57,7:10:57,EAST TRANSFER,2.8517
9,1105,7:11:37,7:11:37,EAST TRANSFER,3.0023
10,7100,7:13:00,7:13:00,DROP OFFS ONLY,3.3027
