stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,4100,7:30:00,7:30:00,WEST TRANSFER: VIA MIDVALE,0.0074
2,4560,7:34:38,7:34:38,WEST TRANSFER: VIA MIDVALE,2.8155
3,4430,7:35:00,7:35:00,WEST TRANSFER: VIA MIDVALE,3.036
4,4688,7:35:48,7:35:48,WEST TRANSFER: VIA MIDVALE,3.2514
5,4456,7:36:22,7:36:22,WEST TRANSFER: VIA MIDVALE,3.4042
6,4798,7:36:49,7:36:49,WEST TRANSFER: VIA MIDVALE,3.5283
7,4714,7:37:31,7:37:31,WEST TRANSFER: VIA MIDVALE,3.7167
8,4158,7:38:00,7:38:00,WEST TRANSFER: VIA MIDVALE,3.8486
9,4446,7:38:31,7:38:31,WEST TRANSFER: VIA MIDVALE,3.9887
10,4806,7:39:10,7:39:10,WEST TRANSFER: VIA MIDVALE,4.1633
11,4847,7:39:41,7:39:41,WEST TRANSFER: VIA MIDVALE,4.3042
12,4769,7:40:24,7:40:24,WEST TRANSFER: VIA MIDVALE,4.4968
13,4333,7:40:45,7:40:45,WEST TRANSFER: VIA MIDVALE,4.5934
14,4191,7:41:24,7:41:24,WEST TRANSFER: VIA MIDVALE,4.7697
15,4861,7:42:05,7:42:05,WEST TRANSFER: VIA MIDVALE,4.9544
16,4295,7:42:24,7:42:24,WEST TRANSFER: VIA MIDVALE,5.0396
17,4179,7:42:53,7:42:53,WEST TRANSFER: VIA MIDVALE,5.1691
18,4777,7:44:02,7:44:02,WEST TRANSFER: VIA MIDVALE,5.4796
19,4355,7:45:00,7:45:00,WEST TRANSFER: VIA MIDVALE,5.7132
20,4551,7:45:56,7:45:56,WEST TRANSFER: VIA MIDVALE,5.9226
21,4865,7:47:05,7:47:05,WEST TRANSFER: VIA MIDVALE,6.1818
22,2187,7:48:18,7:48:18,WEST TRANSFER: VIA MIDVALE,6.4552
23,2972,7:49:34,7:49:34,WEST TRANSFER: VIA MIDVALE,6.7379999999999995
24,2222,7:50:15,7:50:15,WEST TRANSFER: VIA MIDVALE,6.8903
25,2274,7:51:05,7:51:05,WEST TRANSFER: VIA MIDVALE,7.0779
26,2202,7:52:19,7:52:19,WEST TRANSFER: VIA MIDVALE,7.3551
27,2182,7:52:45,7:52:45,WEST TRANSFER: VIA MIDVALE,7.4527
28,2226,7:53:46,7:53:46,WEST TRANSFER: VIA MIDVALE,7.6813
29,6100,7:55:00,7:55:00,DROP OFFS ONLY,7.9343
