stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,4401,6:50:00,6:50:00,WEST TRANSFER: VIA MIDTOWN,0.021
2,8273,6:54:00,6:54:00,WEST TRANSFER: VIA MIDTOWN,2.8009
3,8921,6:55:27,6:55:27,WEST TRANSFER: VIA MIDTOWN,3.2029
4,8251,6:57:36,6:57:36,WEST TRANSFER: VIA MIDTOWN,3.7939999999999996
5,8597,6:58:50,6:58:50,WEST TRANSFER: VIA MIDTOWN,4.1353
6,8435,6:59:35,6:59:35,WEST TRANSFER: VIA MIDTOWN,4.3442
7,8953,7:00:20,7:00:20,WEST TRANSFER: VIA MIDTOWN,4.5535
8,8511,7:01:29,7:01:29,WEST TRANSFER: VIA MIDTOWN,4.872
9,6105,7:05:00,7:05:00,WEST TRANSFER: VIA MIDTOWN,5.8205
10,6979,7:06:13,7:06:13,WEST TRANSFER: VIA MIDTOWN,6.1749
11,6269,7:07:39,7:07:39,WEST TRANSFER: VIA MIDTOWN,6.5915
12,2665,7:14:54,7:14:54,WEST TRANSFER: VIA MIDTOWN,8.6925
13,6100,7:16:00,7:16:00,DROP OFFS ONLY,9.006
