stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,4100,22:58:00,22:58:00,CAPITOL SQUARE,0.0074
2,475,22:59:15,22:59:15,CAPITOL SQUARE,0.3919
3,709,22:59:53,22:59:53,CAPITOL SQUARE,0.5858
4,195,23:00:28,23:00:28,CAPITOL SQUARE,0.7685
5,749,23:00:55,23:00:55,CAPITOL SQUARE,0.9083
6,181,23:01:39,23:01:39,CAPITOL SQUARE,1.1333
7,107,23:02:12,23:02:12,CAPITOL SQUARE,1.3044
8,519,23:03:00,23:03:00,CAPITOL SQUARE,1.5314
9,251,23:04:17,23:04:17,CAPITOL SQUARE,1.7632
10,633,23:05:38,23:05:38,CAPITOL SQUARE,2.0055
11,113,23:06:34,23:06:34,CAPITOL SQUARE,2.1734
12,225,23:07:08,23:07:08,CAPITOL SQUARE,2.2775
13,469,23:07:56,23:07:56,CAPITOL SQUARE,2.4214
14,967,23:08:43,23:08:43,CAPITOL SQUARE,2.5629
15,473,23:09:25,23:09:25,CAPITOL SQUARE,2.6894
16,989,23:10:06,23:10:06,CAPITOL SQUARE,2.8147
17,235,23:10:38,23:10:38,CAPITOL SQUARE,2.9109
18,1163,23:11:18,23:11:18,CAPITOL SQUARE,3.0309
19,1101,23:12:00,23:12:00,DROP OFFS ONLY,3.1441
