stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6164,7:00:00,7:00:00,WEST TRANSFER: VIA OLD SAUK,0.0372
2,6457,7:00:16,7:00:16,WEST TRANSFER: VIA OLD SAUK,0.1339
3,6925,7:00:32,7:00:32,WEST TRANSFER: VIA OLD SAUK,0.2322
4,6551,7:00:52,7:00:52,WEST TRANSFER: VIA OLD SAUK,0.3516
5,6279,7:01:28,7:01:28,WEST TRANSFER: VIA OLD SAUK,0.5625
6,6365,7:01:58,7:01:58,WEST TRANSFER: VIA OLD SAUK,0.74
7,6605,7:02:20,7:02:20,WEST TRANSFER: VIA OLD SAUK,0.8736
8,6700,7:02:39,7:02:39,WEST TRANSFER: VIA OLD SAUK,0.9878
9,6342,7:03:12,7:03:12,WEST TRANSFER: VIA OLD SAUK,1.1823
10,6867,7:03:27,7:03:27,WEST TRANSFER: VIA OLD SAUK,1.2757
11,6137,7:04:00,7:04:00,WEST TRANSFER: VIA OLD SAUK,1.4401
12,6843,7:04:55,7:04:55,WEST TRANSFER: VIA OLD SAUK,1.6677
13,6149,7:06:08,7:06:08,WEST TRANSFER: VIA OLD SAUK,1.9695
14,6796,7:06:36,7:06:36,WEST TRANSFER: VIA OLD SAUK,2.0878
15,6490,7:07:15,7:07:15,WEST TRANSFER: VIA OLD SAUK,2.248
16,6173,7:07:41,7:07:41,WEST TRANSFER: VIA OLD SAUK,2.3571
17,6189,7:09:00,7:09:00,WEST TRANSFER: VIA OLD SAUK,2.6711
18,6873,7:09:48,7:09:48,WEST TRANSFER: VIA OLD SAUK,2.9360000000000004
19,6245,7:10:21,7:10:21,WEST TRANSFER: VIA OLD SAUK,3.1168
20,6937,7:10:41,7:10:41,WEST TRANSFER: VIA OLD SAUK,3.2312
21,6921,7:11:33,7:11:33,WEST TRANSFER: VIA OLD SAUK,3.5213
22,6115,7:12:15,7:12:15,WEST TRANSFER: VIA OLD SAUK,3.7554
23,6857,7:12:54,7:12:54,WEST TRANSFER: VIA OLD SAUK,3.9692
24,6233,7:13:39,7:13:39,WEST TRANSFER: VIA OLD SAUK,4.2183
25,6161,7:14:44,7:14:44,WEST TRANSFER: VIA OLD SAUK,4.5776
26,2824,7:15:23,7:15:23,WEST TRANSFER: VIA OLD SAUK,4.7924
27,2944,7:16:10,7:16:10,WEST TRANSFER: VIA OLD SAUK,5.0515
28,2109,7:17:00,7:17:00,WEST TRANSFER: VIA OLD SAUK,5.3002
29,2639,7:17:28,7:17:28,WEST TRANSFER: VIA OLD SAUK,5.4319
30,2183,7:17:47,7:17:47,WEST TRANSFER: VIA OLD SAUK,5.5201
31,2153,7:18:12,7:18:12,WEST TRANSFER: VIA OLD SAUK,5.6371
32,2798,7:18:46,7:18:46,WEST TRANSFER: VIA OLD SAUK,5.7968
33,2898,7:19:25,7:19:25,WEST TRANSFER: VIA OLD SAUK,5.9784
34,2684,7:19:59,7:19:59,WEST TRANSFER: VIA OLD SAUK,6.1343
35,2670,7:20:48,7:20:48,WEST TRANSFER: VIA OLD SAUK,6.3633
36,2984,7:22:00,7:22:00,WEST TRANSFER: VIA OLD SAUK,6.6942
37,6100,7:23:00,7:23:00,DROP OFFS ONLY,6.9513
