stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,1650,5:54:00,5:54:00,WEST TRANSFER: VIA TOKAY,0.0247
2,1660,5:55:42,5:55:42,WEST TRANSFER: VIA TOKAY,0.2721
3,1392,5:56:22,5:56:22,WEST TRANSFER: VIA TOKAY,0.3692
4,1214,5:58:05,5:58:05,WEST TRANSFER: VIA TOKAY,0.6192
5,1618,5:59:56,5:59:56,WEST TRANSFER: VIA TOKAY,0.8871
6,1100,6:01:00,6:01:00,WEST TRANSFER: VIA TOKAY,1.0378
7,1310,6:01:51,6:01:51,WEST TRANSFER: VIA TOKAY,1.1447
8,1558,6:02:36,6:02:36,WEST TRANSFER: VIA TOKAY,1.2395
9,898,6:03:18,6:03:18,WEST TRANSFER: VIA TOKAY,1.3272
10,252,6:03:59,6:03:59,WEST TRANSFER: VIA TOKAY,1.4142
11,688,6:04:39,6:04:39,WEST TRANSFER: VIA TOKAY,1.4981
12,506,6:05:40,6:05:40,WEST TRANSFER: VIA TOKAY,1.6255
13,926,6:07:03,6:07:03,WEST TRANSFER: VIA TOKAY,1.7990000000000002
14,538,6:09:00,6:09:00,WEST TRANSFER: VIA TOKAY,2.0381
15,180,6:09:23,6:09:23,WEST TRANSFER: VIA TOKAY,2.1503
16,388,6:09:47,6:09:47,WEST TRANSFER: VIA TOKAY,2.2648
17,962,6:10:18,6:10:18,WEST TRANSFER: VIA TOKAY,2.4121
18,548,6:10:49,6:10:49,WEST TRANSFER: VIA TOKAY,2.56
19,208,6:11:17,6:11:17,WEST TRANSFER: VIA TOKAY,2.6961
20,398,6:11:40,6:11:40,WEST TRANSFER: VIA TOKAY,2.8080000000000003
21,406,6:12:32,6:12:32,WEST TRANSFER: VIA TOKAY,3.0554
22,2850,6:13:03,6:13:03,WEST TRANSFER: VIA TOKAY,3.2027
23,2700,6:13:44,6:13:44,WEST TRANSFER: VIA TOKAY,3.3959
24,2164,6:14:17,6:14:17,WEST TRANSFER: VIA TOKAY,3.5514
25,2702,6:14:41,6:14:41,WEST TRANSFER: VIA TOKAY,3.6669
26,2672,6:15:16,6:15:16,WEST TRANSFER: VIA TOKAY,3.8317
27,2496,6:16:21,6:16:21,WEST TRANSFER: VIA TOKAY,4.1402
28,2374,6:16:54,6:16:54,WEST TRANSFER: VIA TOKAY,4.2997
29,2470,6:17:31,6:17:31,WEST TRANSFER: VIA TOKAY,4.4773
30,2874,6:18:13,6:18:13,WEST TRANSFER: VIA TOKAY,4.6767
31,2248,6:18:48,6:18:48,WEST TRANSFER: VIA TOKAY,4.8444
32,2174,6:19:18,6:19:18,WEST TRANSFER: VIA TOKAY,4.9873
33,2316,6:20:00,6:20:00,WEST TRANSFER: VIA TOKAY,5.1446
34,2390,6:20:29,6:20:29,WEST TRANSFER: VIA TOKAY,5.2653
35,2336,6:21:12,6:21:12,WEST TRANSFER: VIA TOKAY,5.4424
36,2972,6:22:02,6:22:02,WEST TRANSFER: VIA TOKAY,5.6452
37,2222,6:22:39,6:22:39,WEST TRANSFER: VIA TOKAY,5.7975
38,2274,6:23:25,6:23:25,WEST TRANSFER: VIA TOKAY,5.9851
39,2202,6:24:33,6:24:33,WEST TRANSFER: VIA TOKAY,6.2623
40,2182,6:24:57,6:24:57,WEST TRANSFER: VIA TOKAY,6.3599
41,2226,6:25:53,6:25:53,WEST TRANSFER: VIA TOKAY,6.5886
42,6100,6:27:00,6:27:00,DROP OFFS ONLY,6.8415
