stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,4100,6:30:00,6:30:00,U.W. CAMPUS,0.0074
2,475,6:31:27,6:31:27,U.W. CAMPUS,0.3919
3,171,6:32:10,6:32:10,U.W. CAMPUS,0.5822
4,643,6:32:52,6:32:52,U.W. CAMPUS,0.7687
5,871,6:33:34,6:33:34,U.W. CAMPUS,0.9564
6,819,6:34:15,6:34:15,U.W. CAMPUS,1.1412
7,150,6:35:05,6:35:05,U.W. CAMPUS,1.3663
8,294,6:35:34,6:35:34,U.W. CAMPUS,1.4974
9,619,6:37:22,6:37:22,U.W. CAMPUS,1.975
10,203,6:37:41,6:37:41,U.W. CAMPUS,2.0608
11,243,6:39:00,6:39:00,U.W. CAMPUS,2.3921
12,674,6:40:23,6:40:23,U.W. CAMPUS,2.8216
13,522,6:40:43,6:40:43,U.W. CAMPUS,2.93
14,424,6:41:06,6:41:06,U.W. CAMPUS,3.0493
15,346,6:41:43,6:41:43,U.W. CAMPUS,3.2424
16,602,6:42:09,6:42:09,U.W. CAMPUS,3.3799
17,192,6:42:26,6:42:26,U.W. CAMPUS,3.47
18,107,6:43:13,6:43:13,U.W. CAMPUS,3.7174
19,519,6:44:00,6:44:00,U.W. CAMPUS,3.9444
20,251,6:45:15,6:45:15,U.W. CAMPUS,4.1762
21,217,6:46:33,6:46:33,U.W. CAMPUS,4.4191
22,715,6:47:11,6:47:11,U.W. CAMPUS,4.5373
23,115,6:48:09,6:48:09,U.W. CAMPUS,4.7185
24,483,6:48:37,6:48:37,U.W. CAMPUS,4.8074
25,561,6:49:12,6:49:12,U.W. CAMPUS,4.9162
26,455,6:49:49,6:49:49,U.W. CAMPUS,5.0327
27,969,6:51:04,6:51:04,U.W. CAMPUS,5.2651
28,568,6:51:30,6:51:30,U.W. CAMPUS,5.3478
29,670,6:51:59,6:51:59,U.W. CAMPUS,5.4386
30,100,6:53:00,6:53:00,DROP OFFS ONLY,5.6083
