stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,5100,7:00:00,7:00:00,WEST TRANSFER: VIA SHERMAN,0.0088
2,1504,7:01:10,7:01:10,WEST TRANSFER: VIA SHERMAN,0.3425
3,1922,7:01:35,7:01:35,WEST TRANSFER: VIA SHERMAN,0.4612
4,1254,7:01:59,7:01:59,WEST TRANSFER: VIA SHERMAN,0.5774
5,1122,7:02:30,7:02:30,WEST TRANSFER: VIA SHERMAN,0.7259
6,1156,7:03:16,7:03:16,WEST TRANSFER: VIA SHERMAN,0.9471
7,1968,7:04:11,7:04:11,WEST TRANSFER: VIA SHERMAN,1.2075
8,1296,7:04:38,7:04:38,WEST TRANSFER: VIA SHERMAN,1.3385
9,1838,7:06:00,7:06:00,WEST TRANSFER: VIA SHERMAN,1.7034
10,1354,7:06:53,7:06:53,WEST TRANSFER: VIA SHERMAN,1.9116
11,1936,7:07:52,7:07:52,WEST TRANSFER: VIA SHERMAN,2.1417
12,1250,7:08:58,7:08:58,WEST TRANSFER,2.3974
13,1636,7:10:00,7:10:00,WEST TRANSFER,2.6310000000000002
14,1834,7:11:41,7:11:41,WEST TRANSFER,2.8846
15,1996,7:12:29,7:12:29,WEST TRANSFER,3.0067
16,1662,7:13:30,7:13:30,WEST TRANSFER,3.1605
17,1138,7:14:08,7:14:08,WEST TRANSFER,3.2572
18,1404,7:15:04,7:15:04,WEST TRANSFER,3.3986
19,1966,7:15:39,7:15:39,WEST TRANSFER,3.4869
20,1100,7:17:00,7:17:00,WEST TRANSFER,3.6843
21,1310,7:17:55,7:17:55,WEST TRANSFER,3.7910000000000004
22,1558,7:18:44,7:18:44,WEST TRANSFER,3.886
23,898,7:19:29,7:19:29,WEST TRANSFER,3.9736
24,252,7:20:14,7:20:14,WEST TRANSFER,4.0606
25,568,7:22:44,7:22:44,WEST TRANSFER,4.3515
26,670,7:23:30,7:23:30,WEST TRANSFER,4.4423
27,100,7:25:00,7:25:00,WEST TRANSFER,4.6119
28,234,7:25:37,7:25:37,WEST TRANSFER,4.7387
29,178,7:26:24,7:26:24,WEST TRANSFER,4.8978
30,160,7:26:59,7:26:59,WEST TRANSFER,5.0172
31,692,7:28:12,7:28:12,WEST TRANSFER,5.2644
32,2806,7:29:10,7:29:10,WEST TRANSFER,5.4621
33,2146,7:30:07,7:30:07,WEST TRANSFER,5.6538
34,2192,7:31:00,7:31:00,WEST TRANSFER,5.8343
35,2643,7:32:00,7:32:00,WEST TRANSFER,6.0218
36,2393,7:32:26,7:32:26,WEST TRANSFER,6.1189
37,2125,7:33:32,7:33:32,WEST TRANSFER,6.3603
38,2620,7:34:10,7:34:10,WEST TRANSFER,6.4994
39,2770,7:34:50,7:34:50,WEST TRANSFER,6.6462
40,2576,7:36:00,7:36:00,WEST TRANSFER,6.9042
41,2698,7:36:33,7:36:33,WEST TRANSFER,7.0256
42,2270,7:37:30,7:37:30,WEST TRANSFER,7.2354
43,2712,7:38:47,7:38:47,WEST TRANSFER,7.5197
44,2266,7:39:27,7:39:27,WEST TRANSFER,7.667000000000001
45,2812,7:40:35,7:40:35,WEST TRANSFER,7.9181
46,2362,7:41:20,7:41:20,WEST TRANSFER,8.084
47,2500,7:42:06,7:42:06,WEST TRANSFER,8.252
48,2199,7:42:35,7:42:35,WEST TRANSFER,8.3588
49,2184,7:43:23,7:43:23,WEST TRANSFER,8.5351
50,2100,7:43:59,7:43:59,WEST TRANSFER,8.669
51,2376,7:45:00,7:45:00,WEST TRANSFER,8.8668
52,2138,7:46:05,7:46:05,WEST TRANSFER,9.1869
53,2798,7:47:02,7:47:02,WEST TRANSFER,9.4686
54,2898,7:47:39,7:47:39,WEST TRANSFER,9.6502
55,2684,7:48:10,7:48:10,WEST TRANSFER,9.8061
56,2670,7:48:56,7:48:56,WEST TRANSFER,10.0351
57,2984,7:50:03,7:50:03,WEST TRANSFER,10.366
58,6100,7:51:00,7:51:00,DROP OFFS ONLY,10.6231
