stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,7100,6:45:00,6:45:00,E TOWNE: VIA SWANTON,0.0092
2,7169,6:45:48,6:45:48,E TOWNE: VIA SWANTON,0.263
3,7167,6:46:30,6:46:30,E TOWNE: VIA SWANTON,0.4821
4,7209,6:47:29,6:47:29,E TOWNE: VIA SWANTON,0.7896
5,7633,6:47:52,6:47:52,E TOWNE: VIA SWANTON,0.9103
6,9167,6:48:28,6:48:28,E TOWNE: VIA SWANTON,1.0973
7,9811,6:49:00,6:49:00,E TOWNE: VIA SWANTON,1.2533
8,9277,6:49:53,6:49:53,E TOWNE: VIA SWANTON,1.505
9,9243,6:50:36,6:50:36,E TOWNE,1.7109
10,9439,6:51:12,6:51:12,E TOWNE,1.8819
11,9137,6:51:37,6:51:37,E TOWNE,2.0045
12,9745,6:52:15,6:52:15,E TOWNE,2.187
13,9951,6:52:44,6:52:44,E TOWNE,2.327
14,9645,6:53:13,6:53:13,E TOWNE,2.4665
15,9291,6:53:59,6:53:59,E TOWNE,2.6858
16,9432,6:54:58,6:54:58,E TOWNE,2.968
17,9719,6:56:14,6:56:14,E TOWNE,3.3297
18,9677,6:57:20,6:57:20,E TOWNE,3.6458
19,9800,6:58:00,6:58:00,DROP OFFS ONLY,3.8034
