stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,9800,5:56:00,5:56:00,EAST TRANSFER: VIA SWANTON,0.0771
2,9996,5:56:55,5:56:55,EAST TRANSFER: VIA SWANTON,0.3434
3,9531,5:58:00,5:58:00,EAST TRANSFER: VIA SWANTON,0.6563
4,9204,5:59:31,5:59:31,EAST TRANSFER: VIA SWANTON,1.0912
5,9276,6:00:07,6:00:07,EAST TRANSFER: VIA SWANTON,1.2639
6,9636,6:00:46,6:00:46,EAST TRANSFER: VIA SWANTON,1.4499
7,9370,6:01:21,6:01:21,EAST TRANSFER: VIA SWANTON,1.6171
8,9420,6:01:45,6:01:45,EAST TRANSFER: VIA SWANTON,1.734
9,9892,6:02:17,6:02:17,EAST TRANSFER: VIA SWANTON,1.8909
10,9770,6:02:46,6:02:46,EAST TRANSFER: VIA SWANTON,2.0325
11,9844,6:03:17,6:03:17,EAST TRANSFER: VIA SWANTON,2.1803
12,9652,6:04:10,6:04:10,EAST TRANSFER: VIA SWANTON,2.4363
13,9880,6:05:00,6:05:00,EAST TRANSFER: VIA SWANTON,2.6519999999999997
14,9174,6:05:38,6:05:38,EAST TRANSFER: VIA SWANTON,2.8124
15,7198,6:06:22,6:06:22,EAST TRANSFER: VIA SWANTON,2.9945
16,7842,6:06:58,6:06:58,EAST TRANSFER: VIA SWANTON,3.1438
17,7734,6:08:05,6:08:05,EAST TRANSFER: VIA SWANTON,3.4233
18,7398,6:08:58,6:08:58,EAST TRANSFER,3.6423
19,7100,6:10:00,6:10:00,DROP OFFS ONLY,3.89
