stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,22:30:00,22:30:00,TO ORCHARD POINT,0.0097
2,2522,22:31:04,22:31:04,TO ORCHARD POINT,0.3808
3,8428,22:35:00,22:35:00,TO ORCHARD POINT,1.7325
4,4654,22:36:05,22:36:05,TO ORCHARD POINT,1.9945
5,4972,22:37:07,22:37:07,TO ORCHARD POINT,2.2454
6,4258,22:38:03,22:38:03,TO ORCHARD POINT,2.4721
7,4151,22:39:04,22:39:04,TO ORCHARD POINT,2.7186
8,4836,22:40:06,22:40:06,TO ORCHARD POINT,2.9692
9,4984,22:40:34,22:40:34,TO ORCHARD POINT,3.0817
10,4510,22:42:26,22:42:26,TO ORCHARD POINT,3.5342
11,4200,22:43:00,22:43:00,DROP OFFS ONLY,3.6573
12,4641,22:43:43,22:43:43,DROP OFFS ONLY,3.8334
13,4711,22:44:31,22:44:31,DROP OFFS ONLY,4.0280000000000005
