stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,2892,7:55:00,7:55:00,CAPITOL SQUARE,0.0251
2,2404,7:55:42,7:55:42,CAPITOL SQUARE,0.2612
3,2230,7:56:17,7:56:17,CAPITOL SQUARE,0.4575
4,2398,7:56:45,7:56:45,CAPITOL SQUARE,0.6186
5,2397,7:57:25,7:57:25,CAPITOL SQUARE,0.8440000000000001
6,2175,7:58:00,7:58:00,CAPITOL SQUARE,1.0294
7,2101,7:58:37,7:58:37,CAPITOL SQUARE,1.2296
8,2395,7:59:01,7:59:01,CAPITOL SQUARE,1.3597
9,2752,7:59:23,7:59:23,CAPITOL SQUARE,1.4788
10,2637,8:00:09,8:00:09,CAPITOL SQUARE,1.7232
11,2641,8:00:22,8:00:22,CAPITOL SQUARE,1.7936
12,2487,8:00:47,8:00:47,CAPITOL SQUARE,1.9292
13,2693,8:01:10,8:01:10,CAPITOL SQUARE,2.0511
14,2775,8:01:43,8:01:43,CAPITOL SQUARE,2.2298
15,2663,8:01:58,8:01:58,CAPITOL SQUARE,2.31
16,2725,8:02:27,8:02:27,CAPITOL SQUARE,2.4663
17,2177,8:03:00,8:03:00,CAPITOL SQUARE,2.6414
18,2965,8:03:19,8:03:19,CAPITOL SQUARE,2.7457
19,2171,8:04:00,8:04:00,CAPITOL SQUARE,2.9265
20,2465,8:04:30,8:04:30,CAPITOL SQUARE,3.0615
21,809,8:08:59,8:08:59,CAPITOL SQUARE,4.2465
22,581,8:10:00,8:10:00,CAPITOL SQUARE,4.5104
23,743,8:10:53,8:10:53,CAPITOL SQUARE,4.6205
24,455,8:12:21,8:12:21,CAPITOL SQUARE,4.8032
25,435,8:13:34,8:13:34,CAPITOL SQUARE,4.9548
26,941,8:14:13,8:14:13,CAPITOL SQUARE,5.0357
27,839,8:16:13,8:16:13,CAPITOL SQUARE,5.2842
28,883,8:17:46,8:17:46,CAPITOL SQUARE,5.4781
29,1324,8:18:41,8:18:41,CAPITOL SQUARE,5.5937
30,1101,8:20:00,8:20:00,DROP OFFS ONLY,5.7487
