stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,1101,7:25:00,7:25:00,SPRING HARBOR,0.0227
2,1787,7:25:59,7:25:59,SPRING HARBOR,0.1766
3,1100,7:26:58,7:26:58,SPRING HARBOR,0.3287
4,1310,7:27:39,7:27:39,SPRING HARBOR,0.4355
5,1558,7:28:15,7:28:15,SPRING HARBOR,0.5304
6,898,7:28:49,7:28:49,SPRING HARBOR,0.618
7,252,7:29:22,7:29:22,SPRING HARBOR,0.705
8,568,7:31:15,7:31:15,SPRING HARBOR,0.9959
9,670,7:31:50,7:31:50,SPRING HARBOR,1.0867
10,100,7:33:00,7:33:00,SPRING HARBOR,1.2564
11,234,7:33:25,7:33:25,SPRING HARBOR,1.3831
12,178,7:33:56,7:33:56,SPRING HARBOR,1.5423
13,160,7:34:19,7:34:19,SPRING HARBOR,1.6616
14,2494,7:39:00,7:39:00,SPRING HARBOR,3.0595
15,2998,7:39:35,7:39:35,SPRING HARBOR,3.2459
16,2742,7:40:00,7:40:00,SPRING HARBOR,3.3795
17,2264,7:40:30,7:40:30,SPRING HARBOR,3.5410000000000004
18,2206,7:40:52,7:40:52,SPRING HARBOR,3.6573
19,2204,7:41:11,7:41:11,SPRING HARBOR,3.7611
20,2762,7:41:39,7:41:39,SPRING HARBOR,3.9112
21,2532,7:42:08,7:42:08,SPRING HARBOR,4.0680000000000005
22,2562,7:42:31,7:42:31,SPRING HARBOR,4.1941
23,2219,7:42:50,7:42:50,SPRING HARBOR,4.2953
24,2199,7:43:19,7:43:19,SPRING HARBOR,4.4533
25,2184,7:43:52,7:43:52,SPRING HARBOR,4.6297
26,2100,7:44:17,7:44:17,SPRING HARBOR,4.7636
27,2376,7:45:00,7:45:00,SPRING HARBOR,4.9613
28,2282,7:45:36,7:45:36,SPRING HARBOR,5.1468
29,2220,7:45:56,7:45:56,SPRING HARBOR,5.2518
30,2236,7:46:54,7:46:54,SPRING HARBOR,5.5507
31,2718,7:47:34,7:47:34,SPRING HARBOR,5.7578
32,2747,7:47:55,7:47:55,SPRING HARBOR,5.8702
33,2235,7:48:15,7:48:15,SPRING HARBOR,5.9769
34,2345,7:48:41,7:48:41,SPRING HARBOR,6.1106
35,2391,7:49:08,7:49:08,SPRING HARBOR,6.252000000000001
36,2355,7:49:30,7:49:30,SPRING HARBOR,6.3672
37,2259,7:49:51,7:49:51,SPRING HARBOR,6.4776
38,2165,7:50:12,7:50:12,SPRING HARBOR,6.5853
39,2892,7:51:00,7:51:00,DROP OFFS ONLY,6.8077
