stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,7100,6:45:00,6:45:00,NORTH TRANSFER: VIA SHOPKO,0.0092
2,1886,6:46:01,6:46:01,NORTH TRANSFER: VIA SHOPKO,0.3451
3,1206,6:46:26,6:46:26,NORTH TRANSFER: VIA SHOPKO,0.4819
4,1555,6:46:59,6:46:59,NORTH TRANSFER: VIA SHOPKO,0.6669
5,1873,6:47:19,6:47:19,NORTH TRANSFER: VIA SHOPKO,0.7798
6,9740,6:48:34,6:48:34,NORTH TRANSFER: VIA SHOPKO,1.1912
7,9837,6:51:25,6:51:25,NORTH TRANSFER: VIA SHOPKO,2.1231
8,9274,6:52:00,6:52:00,NORTH TRANSFER: VIA SHOPKO,2.2946
9,1380,6:54:57,6:54:57,NORTH TRANSFER,3.1019
10,5100,6:56:00,6:56:00,DROP OFFS ONLY,3.3873
