stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,9800,7:00:00,7:00:00,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,0.0116
2,9163,7:00:20,7:00:20,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,0.1522
3,9321,7:00:44,7:00:44,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,0.3248
4,9475,7:01:11,7:01:11,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,0.5191
5,9333,7:05:52,7:05:52,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,2.4878
6,9744,7:06:20,7:06:20,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,2.6865
7,9829,7:06:45,7:06:45,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,2.8678
8,9717,7:07:34,7:07:34,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,3.2108
9,9300,7:08:00,7:08:00,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,3.3661
10,9651,7:08:47,7:08:47,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,3.7651
11,9486,7:09:07,7:09:07,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,3.9349
12,9932,7:09:57,7:09:57,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,4.3538
13,9527,7:10:22,7:10:22,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,4.5648
14,9113,7:10:43,7:10:43,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,4.7449
15,9581,7:11:03,7:11:03,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,4.9155
16,9901,7:11:15,7:11:15,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,5.0181
17,9747,7:11:26,7:11:26,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,5.1117
18,9472,7:11:48,7:11:48,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,5.2988
19,9822,7:13:00,7:13:00,E TOWNE: VIA CITY VIEW,5.8704
20,9131,7:14:11,7:14:11,E TOWNE: VIA CITY VIEW,6.2612
21,9826,7:14:51,7:14:51,E TOWNE: VIA CITY VIEW,6.4839
22,9498,7:15:26,7:15:26,E TOWNE: VIA CITY VIEW,6.6778
23,9539,7:16:19,7:16:19,E TOWNE: VIA CITY VIEW,6.9746
24,9615,7:17:01,7:17:01,E TOWNE: VIA CITY VIEW,7.2096
25,9349,7:17:27,7:17:27,E TOWNE: VIA CITY VIEW,7.3548
26,9264,7:18:02,7:18:02,E TOWNE: VIA CITY VIEW,7.5511
27,9173,7:19:28,7:19:28,E TOWNE: VIA CITY VIEW,8.0275
28,9348,7:20:07,7:20:07,E TOWNE: VIA CITY VIEW,8.2452
29,9928,7:20:42,7:20:42,E TOWNE: VIA CITY VIEW,8.4414
30,9422,7:21:09,7:21:09,E TOWNE: VIA CITY VIEW,8.5913
31,9800,7:22:00,7:22:00,DROP OFFS ONLY,8.8408
