stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,4100,6:11:00,6:11:00,NORTH TRANSFER,0.0074
2,590,6:11:54,6:11:54,NORTH TRANSFER,0.2577
3,782,6:12:40,6:12:40,NORTH TRANSFER,0.4678
4,499,6:13:07,6:13:07,NORTH TRANSFER,0.5915
5,405,6:13:51,6:13:51,NORTH TRANSFER,0.7956
6,391,6:14:30,6:14:30,NORTH TRANSFER,0.9764
7,845,6:15:53,6:15:53,NORTH TRANSFER,1.358
8,843,6:16:32,6:16:32,NORTH TRANSFER,1.5377
9,915,6:17:15,6:17:15,NORTH TRANSFER,1.7343
10,519,6:18:00,6:18:00,NORTH TRANSFER,1.9246
11,904,6:19:19,6:19:19,NORTH TRANSFER,2.1632
12,300,6:20:03,6:20:03,NORTH TRANSFER,2.2955
13,375,6:21:28,6:21:28,NORTH TRANSFER,2.5516
14,167,6:22:08,6:22:08,NORTH TRANSFER,2.674
15,731,6:23:13,6:23:13,NORTH TRANSFER,2.8685
16,445,6:23:57,6:23:57,NORTH TRANSFER,3.0015
17,837,6:24:19,6:24:19,NORTH TRANSFER,3.0686
18,743,6:24:54,6:24:54,NORTH TRANSFER,3.1755
19,455,6:26:00,6:26:00,NORTH TRANSFER,3.3583
20,765,6:27:32,6:27:32,NORTH TRANSFER,3.5628
21,265,6:28:39,6:28:39,NORTH TRANSFER,3.7132
22,505,6:29:51,6:29:51,NORTH TRANSFER,3.8736
23,549,6:30:28,6:30:28,NORTH TRANSFER,3.9575
24,803,6:31:07,6:31:07,NORTH TRANSFER,4.0445
25,883,6:31:54,6:31:54,NORTH TRANSFER,4.1508
26,1324,6:32:46,6:32:46,NORTH TRANSFER,4.2663
27,1101,6:34:00,6:34:00,NORTH TRANSFER,4.4214
28,1823,6:34:35,6:34:35,NORTH TRANSFER,4.5347
29,1737,6:35:13,6:35:13,NORTH TRANSFER,4.6581
30,1839,6:36:11,6:36:11,NORTH TRANSFER,4.8424
31,1509,6:37:24,6:37:24,NORTH TRANSFER,5.0759
32,1167,6:38:13,6:38:13,NORTH TRANSFER,5.2328
33,1615,6:38:37,6:38:37,NORTH TRANSFER,5.3115
34,1959,6:39:25,6:39:25,NORTH TRANSFER,5.4648
35,1505,6:40:00,6:40:00,NORTH TRANSFER,5.5607
36,1559,6:40:36,6:40:36,NORTH TRANSFER,5.6867
37,1689,6:41:12,6:41:12,NORTH TRANSFER,5.8116
38,1213,6:42:15,6:42:15,NORTH TRANSFER,6.0291
39,1645,6:42:51,6:42:51,NORTH TRANSFER,6.1559
40,1935,6:43:22,6:43:22,NORTH TRANSFER,6.2632
41,1901,6:44:15,6:44:15,NORTH TRANSFER,6.4463
42,1499,6:45:00,6:45:00,NORTH TRANSFER,6.5888
43,1575,6:45:41,6:45:41,NORTH TRANSFER,6.7441
44,1343,6:46:06,6:46:06,NORTH TRANSFER,6.837000000000001
45,1659,6:46:34,6:46:34,NORTH TRANSFER,6.9423
46,1233,6:47:25,6:47:25,NORTH TRANSFER,7.1339999999999995
47,1311,6:48:14,6:48:14,NORTH TRANSFER,7.3187
48,1777,6:50:00,6:50:00,NORTH TRANSFER,7.699
49,1973,6:50:39,6:50:39,NORTH TRANSFER,7.8758
50,1326,6:51:06,6:51:06,NORTH TRANSFER,7.9983
51,1852,6:51:29,6:51:29,NORTH TRANSFER,8.1052
52,1394,6:52:18,6:52:18,NORTH TRANSFER,8.324
53,1427,6:52:56,6:52:56,NORTH TRANSFER,8.4966
54,1380,6:55:14,6:55:14,NORTH TRANSFER,9.1135
55,5100,6:56:00,6:56:00,DROP OFFS ONLY,9.3039
