stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,5100,6:12:00,6:12:00,SOUTH TRANSFER,0.0088
2,1895,6:12:47,6:12:47,SOUTH TRANSFER,0.2741
3,1585,6:14:43,6:14:43,SOUTH TRANSFER,0.9279999999999999
4,1435,6:15:08,6:15:08,SOUTH TRANSFER,1.0703
5,1117,6:15:41,6:15:41,SOUTH TRANSFER,1.2604
6,1605,6:15:59,6:15:59,SOUTH TRANSFER,1.3674
7,1115,6:16:20,6:16:20,SOUTH TRANSFER,1.4861
8,1774,6:17:00,6:17:00,SOUTH TRANSFER,1.6989
9,1280,6:17:30,6:17:30,SOUTH TRANSFER,1.8428
10,1112,6:18:25,6:18:25,SOUTH TRANSFER,2.1036
11,1762,6:19:06,6:19:06,SOUTH TRANSFER,2.2973
12,1202,6:19:28,6:19:28,SOUTH TRANSFER,2.4042
13,1538,6:19:56,6:19:56,SOUTH TRANSFER,2.5376
14,1262,6:20:16,6:20:16,SOUTH TRANSFER,2.6333
15,1188,6:21:00,6:21:00,SOUTH TRANSFER,2.8193
16,1830,6:21:35,6:21:35,SOUTH TRANSFER,2.9284
17,1472,6:22:17,6:22:17,SOUTH TRANSFER,3.0597
18,1208,6:22:55,6:22:55,SOUTH TRANSFER,3.18
19,1526,6:23:45,6:23:45,SOUTH TRANSFER,3.3352
20,1530,6:24:47,6:24:47,SOUTH TRANSFER,3.5282
21,1750,6:25:16,6:25:16,SOUTH TRANSFER,3.6209
22,1878,6:26:00,6:26:00,SOUTH TRANSFER,3.7475
23,1190,6:26:41,6:26:41,SOUTH TRANSFER,3.8719
24,1536,6:27:22,6:27:22,SOUTH TRANSFER,3.9966
25,1194,6:28:03,6:28:03,SOUTH TRANSFER,4.1198
26,1720,6:28:36,6:28:36,SOUTH TRANSFER,4.2208
27,1480,6:29:01,6:29:01,SOUTH TRANSFER,4.2979
28,1150,6:29:58,6:29:58,SOUTH TRANSFER,4.4693
29,1230,6:30:45,6:30:45,SOUTH TRANSFER,4.6096
30,1486,6:31:44,6:31:44,SOUTH TRANSFER,4.788
31,1787,6:33:04,6:33:04,SOUTH TRANSFER,5.0280000000000005
32,1100,6:34:00,6:34:00,SOUTH TRANSFER,5.1801
33,1310,6:34:57,6:34:57,SOUTH TRANSFER,5.2869
34,1558,6:35:48,6:35:48,SOUTH TRANSFER,5.3817
35,898,6:36:35,6:36:35,SOUTH TRANSFER,5.4694
36,252,6:37:22,6:37:22,SOUTH TRANSFER,5.5564
37,688,6:38:07,6:38:07,SOUTH TRANSFER,5.6403
38,506,6:39:16,6:39:16,SOUTH TRANSFER,5.7677
39,926,6:40:49,6:40:49,SOUTH TRANSFER,5.9412
40,670,6:41:24,6:41:24,SOUTH TRANSFER,6.0071
41,100,6:43:00,6:43:00,SOUTH TRANSFER,6.1768
42,256,6:43:44,6:43:44,SOUTH TRANSFER,6.3322
43,104,6:44:21,6:44:21,SOUTH TRANSFER,6.4639
44,392,6:44:49,6:44:49,SOUTH TRANSFER,6.564
45,196,6:45:34,6:45:34,SOUTH TRANSFER,6.7212
46,624,6:46:13,6:46:13,SOUTH TRANSFER,6.8585
47,158,6:47:04,6:47:04,SOUTH TRANSFER,7.0387
48,459,6:48:09,6:48:09,SOUTH TRANSFER,7.2655
49,288,6:49:00,6:49:00,SOUTH TRANSFER,7.4252
50,266,6:49:50,6:49:50,SOUTH TRANSFER,7.672000000000001
51,146,6:50:26,6:50:26,SOUTH TRANSFER,7.8467
52,530,6:50:55,6:50:55,SOUTH TRANSFER,7.9911
53,536,6:51:17,6:51:17,SOUTH TRANSFER,8.0993
54,456,6:52:55,6:52:55,SOUTH TRANSFER,8.5766
55,170,6:53:33,6:53:33,SOUTH TRANSFER,8.7612
56,353,6:54:23,6:54:23,SOUTH TRANSFER,9.0069
57,121,6:54:46,6:54:46,SOUTH TRANSFER,9.12
58,173,6:55:18,6:55:18,SOUTH TRANSFER,9.2797
59,4100,6:56:00,6:56:00,DROP OFFS ONLY,9.4594
