stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,8512,6:07:00,6:07:00,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,0.0343
2,8712,6:07:24,6:07:24,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,0.166
3,8352,6:07:50,6:07:50,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,0.3077
4,8100,6:08:49,6:08:49,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,0.6222
5,8872,6:09:34,6:09:34,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,0.8633
6,8281,6:10:06,6:10:06,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,1.0342
7,8569,6:10:50,6:10:50,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,1.2718
8,8166,6:11:41,6:11:41,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,1.5461
9,8188,6:12:05,6:12:05,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,1.6762
10,8301,6:12:52,6:12:52,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,1.9304
11,8769,6:13:25,6:13:25,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,2.1069
12,8131,6:13:56,6:13:56,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,2.275
13,8733,6:14:37,6:14:37,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,2.4939
14,8409,6:15:09,6:15:09,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,2.6654
15,8650,6:16:00,6:16:00,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,2.9096
16,8693,6:17:18,6:17:18,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,3.1783
17,8537,6:17:57,6:17:57,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,3.3138
18,8213,6:18:34,6:18:34,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,3.4418
19,8237,6:19:10,6:19:10,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,3.5667
20,8427,6:20:09,6:20:09,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,3.7712
21,8235,6:21:24,6:21:24,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,4.029
22,8241,6:22:18,6:22:18,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,4.2173
23,2383,6:23:49,6:23:49,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,4.5332
24,2665,6:24:25,6:24:25,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,4.6569
25,6100,6:26:00,6:26:00,DROP OFFS ONLY,4.9703
