stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,6:30:00,6:30:00,WEST TRANSFER: VIA MUIR FIELD,0.0097
2,2324,6:30:40,6:30:40,WEST TRANSFER: VIA MUIR FIELD,0.2342
3,2522,6:31:06,6:31:06,WEST TRANSFER: VIA MUIR FIELD,0.3808
4,8418,6:31:55,6:31:55,WEST TRANSFER: VIA MUIR FIELD,0.653
5,8274,6:32:15,6:32:15,WEST TRANSFER: VIA MUIR FIELD,0.767
6,8138,6:32:59,6:32:59,WEST TRANSFER: VIA MUIR FIELD,1.011
7,8452,6:33:30,6:33:30,WEST TRANSFER: VIA MUIR FIELD,1.1837
8,8614,6:34:48,6:34:48,WEST TRANSFER: VIA MUIR FIELD,1.6169
9,8664,6:35:13,6:35:13,WEST TRANSFER: VIA MUIR FIELD,1.7561
10,8956,6:35:38,6:35:38,WEST TRANSFER: VIA MUIR FIELD,1.8954
11,8944,6:36:04,6:36:04,WEST TRANSFER: VIA MUIR FIELD,2.0439
12,8100,6:36:42,6:36:42,WEST TRANSFER: VIA MUIR FIELD,2.2548
13,8872,6:37:25,6:37:25,WEST TRANSFER: VIA MUIR FIELD,2.4959
14,8634,6:38:00,6:38:00,WEST TRANSFER: VIA MUIR FIELD,2.6643
15,8958,6:38:43,6:38:43,WEST TRANSFER: VIA MUIR FIELD,2.9046
16,8714,6:39:47,6:39:47,WEST TRANSFER: VIA MUIR FIELD,3.258
17,8224,6:40:32,6:40:32,WEST TRANSFER: VIA MUIR FIELD,3.5091
18,8572,6:41:07,6:41:07,WEST TRANSFER: VIA MUIR FIELD,3.7017
19,8486,6:41:34,6:41:34,WEST TRANSFER: VIA MUIR FIELD,3.8508
20,8351,6:42:15,6:42:15,WEST TRANSFER,4.0791
21,8739,6:42:44,6:42:44,WEST TRANSFER,4.2423
22,8855,6:43:16,6:43:16,WEST TRANSFER,4.4191
23,8441,6:43:55,6:43:55,WEST TRANSFER,4.6332
24,8985,6:44:34,6:44:34,WEST TRANSFER,4.8521
25,8551,6:44:55,6:44:55,WEST TRANSFER,4.9695
26,8149,6:45:22,6:45:22,WEST TRANSFER,5.121
27,8829,6:46:00,6:46:00,WEST TRANSFER,5.2963
28,8157,6:46:44,6:46:44,WEST TRANSFER,5.5169
29,8101,6:47:19,6:47:19,WEST TRANSFER,5.6928
30,8401,6:48:09,6:48:09,WEST TRANSFER,5.9419
31,8363,6:48:44,6:48:44,WEST TRANSFER,6.119
32,8297,6:49:21,6:49:21,WEST TRANSFER,6.3074
33,8341,6:49:47,6:49:47,WEST TRANSFER,6.4393
34,8685,6:50:22,6:50:22,WEST TRANSFER,6.6136
35,8173,6:51:01,6:51:01,WEST TRANSFER,6.8112
36,8633,6:51:36,6:51:36,WEST TRANSFER,6.9897
37,8605,6:52:21,6:52:21,WEST TRANSFER,7.2151
38,2383,6:53:26,6:53:26,WEST TRANSFER,7.5401
39,2665,6:53:50,6:53:50,WEST TRANSFER,7.6638
40,6100,6:55:00,6:55:00,DROP OFFS ONLY,7.9772
