stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,9285,5:56:41,5:56:41,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,0.0263
2,9857,5:57:00,5:57:00,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,0.1482
3,9211,5:57:20,5:57:20,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,0.2745
4,9977,5:57:53,5:57:53,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,0.4856
5,9186,5:58:32,5:58:32,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,0.736
6,9396,5:58:58,5:58:58,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,0.9038
7,9834,5:59:29,5:59:29,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,1.1008
8,9132,5:59:59,5:59:59,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,1.2928
9,9154,6:00:36,6:00:36,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,1.5262
10,9494,6:01:19,6:01:19,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,1.8027
11,9282,6:01:34,6:01:34,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,1.9021
12,9313,6:02:14,6:02:14,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,2.1557
13,9463,6:02:34,6:02:34,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,2.2842
14,9545,6:03:00,6:03:00,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,2.4119
15,9566,6:03:32,6:03:32,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,2.5497
16,9588,6:03:53,6:03:53,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,2.642
17,9810,6:04:29,6:04:29,WEST TRANSFER: VIA MINERAL POINT,2.7949
18,9152,6:05:44,6:05:44,WEST TRANSFER: VIA MINERAL POINT,3.1148
19,9984,6:06:31,6:06:31,WEST TRANSFER: VIA MINERAL POINT,3.3134
20,9554,6:07:29,6:07:29,WEST TRANSFER: VIA MINERAL POINT,3.5601
21,9874,6:07:58,6:07:58,WEST TRANSFER: VIA MINERAL POINT,3.6847
22,9750,6:08:55,6:08:55,WEST TRANSFER: VIA MINERAL POINT,3.9286
23,9344,6:09:20,6:09:20,WEST TRANSFER: VIA MINERAL POINT,4.0378
24,9322,6:09:52,6:09:52,WEST TRANSFER: VIA MINERAL POINT,4.1764
25,9172,6:10:44,6:10:44,WEST TRANSFER: VIA MINERAL POINT,4.3979
26,9552,6:11:13,6:11:13,WEST TRANSFER: VIA MINERAL POINT,4.5236
27,1164,6:12:20,6:12:20,WEST TRANSFER: VIA MINERAL POINT,4.8102
28,1938,6:13:00,6:13:00,WEST TRANSFER: VIA MINERAL POINT,4.9831
29,1280,6:14:00,6:14:00,WEST TRANSFER: VIA MINERAL POINT,5.1956
30,1112,6:15:01,6:15:01,WEST TRANSFER: VIA MINERAL POINT,5.4564
31,1846,6:15:44,6:15:44,WEST TRANSFER: VIA MINERAL POINT,5.6403
32,1488,6:16:26,6:16:26,WEST TRANSFER: VIA MINERAL POINT,5.821000000000001
33,1382,6:17:24,6:17:24,WEST TRANSFER: VIA MINERAL POINT,6.0693
34,1350,6:18:07,6:18:07,WEST TRANSFER: VIA MINERAL POINT,6.2534
35,1412,6:18:50,6:18:50,WEST TRANSFER: VIA MINERAL POINT,6.4359
36,1730,6:19:57,6:19:57,WEST TRANSFER: VIA MINERAL POINT,6.7206
37,1650,6:21:00,6:21:00,WEST TRANSFER: VIA MINERAL POINT,6.9742
38,1660,6:22:42,6:22:42,WEST TRANSFER: VIA MINERAL POINT,7.2216
39,1392,6:23:22,6:23:22,WEST TRANSFER: VIA MINERAL POINT,7.3187
40,1214,6:25:05,6:25:05,WEST TRANSFER: VIA MINERAL POINT,7.5688
41,1618,6:26:56,6:26:56,WEST TRANSFER: VIA MINERAL POINT,7.8366
42,1100,6:28:00,6:28:00,WEST TRANSFER: VIA MINERAL POINT,7.9873
43,1310,6:28:51,6:28:51,WEST TRANSFER: VIA MINERAL POINT,8.0941
44,1558,6:29:36,6:29:36,WEST TRANSFER: VIA MINERAL POINT,8.189
45,898,6:30:18,6:30:18,WEST TRANSFER: VIA MINERAL POINT,8.2767
46,252,6:30:59,6:30:59,WEST TRANSFER: VIA MINERAL POINT,8.3637
47,688,6:31:39,6:31:39,WEST TRANSFER: VIA MINERAL POINT,8.4476
48,506,6:32:40,6:32:40,WEST TRANSFER: VIA MINERAL POINT,8.575
