stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,9800,6:25:00,6:25:00,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,0.0116
2,9759,6:26:09,6:26:09,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,0.2727
3,9810,6:26:42,6:26:42,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,0.3969
4,9152,6:28:07,6:28:07,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,0.7168
5,9984,6:29:00,6:29:00,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,0.9154
6,9554,6:30:05,6:30:05,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,1.1621
7,9874,6:30:38,6:30:38,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,1.2867
8,9237,6:32:17,6:32:17,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,1.6592
9,9175,6:32:48,6:32:48,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,1.7756
10,9373,6:33:52,6:33:52,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,2.0153
11,9918,6:34:32,6:34:32,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,2.1681
12,9364,6:35:37,6:35:37,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,2.4143
13,9100,6:37:00,6:37:00,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,2.7039999999999997
14,9642,6:38:13,6:38:13,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,2.9869
15,9378,6:39:15,6:39:15,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,3.2255
16,9322,6:39:33,6:39:33,WEST TRANSFER: VIA TOKAY,3.2974
17,9172,6:40:30,6:40:30,WEST TRANSFER: VIA TOKAY,3.5189
18,9552,6:41:02,6:41:02,WEST TRANSFER: VIA TOKAY,3.6445
19,1164,6:42:16,6:42:16,WEST TRANSFER: VIA TOKAY,3.9311
20,1938,6:43:01,6:43:01,WEST TRANSFER: VIA TOKAY,4.1041
21,1280,6:44:00,6:44:00,WEST TRANSFER: VIA TOKAY,4.3166
22,1112,6:45:01,6:45:01,WEST TRANSFER: VIA TOKAY,4.5774
23,1846,6:45:44,6:45:44,WEST TRANSFER: VIA TOKAY,4.7613
24,1488,6:46:26,6:46:26,WEST TRANSFER: VIA TOKAY,4.9419
25,1382,6:47:24,6:47:24,WEST TRANSFER: VIA TOKAY,5.1902
26,1350,6:48:07,6:48:07,WEST TRANSFER: VIA TOKAY,5.3744
27,1412,6:48:50,6:48:50,WEST TRANSFER: VIA TOKAY,5.5568
28,1730,6:49:57,6:49:57,WEST TRANSFER: VIA TOKAY,5.8416
29,1650,6:51:00,6:51:00,WEST TRANSFER: VIA TOKAY,6.0951
