stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,7:00:00,7:00:00,MIDDLETON: VIA SOUTH RIDGE,0.0097
2,2509,7:03:12,7:03:12,MIDDLETON: VIA SOUTH RIDGE,1.2243
3,2225,7:04:04,7:04:04,MIDDLETON: VIA SOUTH RIDGE,1.5554
4,2790,7:04:45,7:04:45,MIDDLETON: VIA SOUTH RIDGE,1.8187
5,2867,7:05:12,7:05:12,MIDDLETON: VIA SOUTH RIDGE,1.9916
6,2193,7:05:41,7:05:41,MIDDLETON: VIA SOUTH RIDGE,2.1779
7,2197,7:06:11,7:06:11,MIDDLETON: VIA SOUTH RIDGE,2.3697
8,6243,7:06:42,7:06:42,MIDDLETON: VIA SOUTH RIDGE,2.5717
9,6569,7:07:40,7:07:40,MIDDLETON: VIA SOUTH RIDGE,2.9394
10,6439,7:08:14,7:08:14,MIDDLETON: VIA SOUTH RIDGE,3.1554
11,6171,7:09:00,7:09:00,MIDDLETON: VIA SOUTH RIDGE,3.4214
12,6301,7:09:30,7:09:30,MIDDLETON: VIA SOUTH RIDGE,3.5983
13,6691,7:10:15,7:10:15,MIDDLETON: VIA SOUTH RIDGE,3.8636
14,6205,7:10:51,7:10:51,MIDDLETON: VIA SOUTH RIDGE,4.0783
15,6651,7:11:29,7:11:29,MIDDLETON: VIA SOUTH RIDGE,4.3069
16,6653,7:12:14,7:12:14,MIDDLETON: VIA SOUTH RIDGE,4.5760000000000005
17,6901,7:13:08,7:13:08,MIDDLETON: VIA SOUTH RIDGE,4.8952
18,6878,7:14:00,7:14:00,MIDDLETON: VIA SOUTH RIDGE,5.1831
19,6110,7:14:27,7:14:27,MIDDLETON: VIA SOUTH RIDGE,5.3577
20,6560,7:14:50,7:14:50,MIDDLETON: VIA SOUTH RIDGE,5.5086
21,6582,7:15:43,7:15:43,MIDDLETON: VIA SOUTH RIDGE,5.8476
22,6120,7:16:21,7:16:21,MIDDLETON: VIA SOUTH RIDGE,6.0896
23,6676,7:16:51,7:16:51,MIDDLETON: VIA SOUTH RIDGE,6.2787
24,6628,7:17:37,7:17:37,MIDDLETON: VIA SOUTH RIDGE,6.5716
25,6288,7:18:27,7:18:27,MIDDLETON: VIA SOUTH RIDGE,6.8902
26,6388,7:19:02,7:19:02,MIDDLETON: VIA SOUTH RIDGE,7.1117
27,6758,7:20:00,7:20:00,MIDDLETON: VIA SOUTH RIDGE,7.45
28,6372,7:21:15,7:21:15,MIDDLETON: VIA SOUTH RIDGE,7.8031
29,6256,7:21:57,7:21:57,MIDDLETON: VIA SOUTH RIDGE,7.9997
30,6798,7:23:00,7:23:00,MIDDLETON: VIA SOUTH RIDGE,8.2939
31,6924,7:24:05,7:24:05,MIDDLETON: VIA SOUTH RIDGE,8.5984
32,6470,7:24:40,7:24:40,MIDDLETON: VIA SOUTH RIDGE,8.7621
33,6656,7:25:24,7:25:24,MIDDLETON: VIA SOUTH RIDGE,8.9708
34,6304,7:26:01,7:26:01,MIDDLETON: VIA SOUTH RIDGE,9.1473
35,6958,7:26:31,7:26:31,MIDDLETON: VIA SOUTH RIDGE,9.2903
36,6476,7:27:28,7:27:28,MIDDLETON: VIA SOUTH RIDGE,9.5581
37,6965,7:27:44,7:27:44,MIDDLETON: VIA SOUTH RIDGE,9.6371
38,6825,7:28:41,7:28:41,MIDDLETON: VIA SOUTH RIDGE,9.9062
39,6313,7:29:50,7:29:50,MIDDLETON: VIA SOUTH RIDGE,10.2314
40,6441,7:31:00,7:31:00,DROP OFFS ONLY,10.5204
