stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,10,23:15:00,23:15:00,TO U.W. HOSPITAL: VIA EAGLE HTS,0.0081
2,60,23:16:13,23:16:13,TO U.W. HOSPITAL: VIA EAGLE HTS,0.2635
3,52,23:16:43,23:16:43,TO U.W. HOSPITAL: VIA EAGLE HTS,0.3702
4,488,23:17:22,23:17:22,TO U.W. HOSPITAL: VIA EAGLE HTS,0.5053
5,184,23:18:06,23:18:06,TO U.W. HOSPITAL: VIA EAGLE HTS,0.6601
6,532,23:18:37,23:18:37,TO U.W. HOSPITAL: VIA EAGLE HTS,0.7676
7,2996,23:19:10,23:19:10,TO U.W. HOSPITAL: VIA EAGLE HTS,0.8845
8,2978,23:20:00,23:20:00,TO U.W. HOSPITAL: VIA EAGLE HTS,1.0467
9,2442,23:20:35,23:20:35,TO U.W. HOSPITAL: VIA EAGLE HTS,1.1983
10,2088,23:21:54,23:21:54,TO U.W. HOSPITAL: VIA EAGLE HTS,1.5375
11,2125,23:22:37,23:22:37,TO U.W. HOSPITAL: VIA EAGLE HTS,1.7236
12,2023,23:23:17,23:23:17,TO U.W. HOSPITAL: VIA EAGLE HTS,1.8941
13,2027,23:24:00,23:24:00,TO U.W. HOSPITAL: VIA EAGLE HTS,2.0662
14,2938,23:25:09,23:25:09,TO U.W. HOSPITAL: VIA EAGLE HTS,2.3378
15,2041,23:26:21,23:26:21,TO U.W. HOSPITAL: VIA EAGLE HTS,2.6184
16,2018,23:27:13,23:27:13,TO U.W. HOSPITAL: VIA EAGLE HTS,2.8219
17,2026,23:27:34,23:27:34,TO U.W. HOSPITAL: VIA EAGLE HTS,2.906
18,2082,23:28:00,23:28:00,TO U.W. HOSPITAL: VIA EAGLE HTS,3.0008
19,2054,23:28:28,23:28:28,TO U.W. HOSPITAL: VIA EAGLE HTS,3.1775
20,2039,23:29:18,23:29:18,TO U.W. HOSPITAL: VIA EAGLE HTS,3.4911
21,2061,23:29:28,23:29:28,TO U.W. HOSPITAL: VIA EAGLE HTS,3.5595
22,2071,23:29:42,23:29:42,TO U.W. HOSPITAL: VIA EAGLE HTS,3.6493
23,2014,23:30:11,23:30:11,TO U.W. HOSPITAL: VIA EAGLE HTS,3.8338
24,2034,23:30:42,23:30:42,TO U.W. HOSPITAL,4.0277
25,2048,23:31:04,23:31:04,TO U.W. HOSPITAL,4.1706
26,2881,23:31:48,23:31:48,TO U.W. HOSPITAL,4.4487
27,2050,23:32:26,23:32:26,DROP OFFS ONLY,4.6886
28,2076,23:33:00,23:33:00,DROP OFFS ONLY,4.8744
