stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,2398,6:31:00,6:31:00,UNION CORNERS: VIA U.W. HOSPITAL: VIA JENIFER,0.0263
2,2397,6:32:05,6:32:05,UNION CORNERS: VIA U.W. HOSPITAL: VIA JENIFER,0.2517
3,2175,6:33:00,6:33:00,UNION CORNERS: VIA U.W. HOSPITAL: VIA JENIFER,0.4371
4,2101,6:33:53,6:33:53,UNION CORNERS: VIA U.W. HOSPITAL: VIA JENIFER,0.6373
5,2395,6:34:27,6:34:27,UNION CORNERS: VIA U.W. HOSPITAL: VIA JENIFER,0.7675
6,2923,6:35:20,6:35:20,UNION CORNERS: VIA U.W. HOSPITAL: VIA JENIFER,0.9695
7,2191,6:36:37,6:36:37,UNION CORNERS: VIA U.W. HOSPITAL: VIA JENIFER,1.2591
8,2755,6:37:25,6:37:25,UNION CORNERS: VIA U.W. HOSPITAL: VIA JENIFER,1.4425
9,2595,6:38:03,6:38:03,UNION CORNERS: VIA U.W. HOSPITAL: VIA JENIFER,1.5859999999999999
10,2945,6:39:19,6:39:19,UNION CORNERS: VIA U.W. HOSPITAL: VIA JENIFER,1.8716
11,2131,6:40:40,6:40:40,UNION CORNERS: VIA U.W. HOSPITAL: VIA JENIFER,2.1774
12,2473,6:42:00,6:42:00,UNION CORNERS: VIA U.W. HOSPITAL: VIA JENIFER,2.4641
13,2349,6:43:00,6:43:00,UNION CORNERS: VIA U.W. HOSPITAL: VIA JENIFER,2.6352
14,2916,6:43:46,6:43:46,UNION CORNERS: VIA U.W. HOSPITAL: VIA JENIFER,2.7688
15,2822,6:44:42,6:44:42,UNION CORNERS: VIA U.W. HOSPITAL: VIA JENIFER,2.9303
16,2561,6:45:48,6:45:48,UNION CORNERS: VIA U.W. HOSPITAL: VIA JENIFER,3.1186
17,2605,6:46:50,6:46:50,UNION CORNERS: VIA U.W. HOSPITAL: VIA JENIFER,3.2955
18,2717,6:47:53,6:47:53,UNION CORNERS: VIA U.W. HOSPITAL: VIA JENIFER,3.4751
19,2921,6:49:00,6:49:00,UNION CORNERS: VIA U.W. HOSPITAL: VIA JENIFER,3.6668
20,133,6:50:16,6:50:16,UNION CORNERS: VIA U.W. HOSPITAL: VIA JENIFER,3.885
21,809,6:51:00,6:51:00,UNION CORNERS: VIA JENIFER,4.0008
22,581,6:52:40,6:52:40,UNION CORNERS: VIA JENIFER,4.2647
23,743,6:53:21,6:53:21,UNION CORNERS: VIA JENIFER,4.3747
24,455,6:54:30,6:54:30,UNION CORNERS: VIA JENIFER,4.5575
25,435,6:55:27,6:55:27,UNION CORNERS: VIA JENIFER,4.7091
26,941,6:56:00,6:56:00,UNION CORNERS: VIA JENIFER,4.7899
27,470,6:56:51,6:56:51,UNION CORNERS: VIA JENIFER,4.9501
28,710,6:57:45,6:57:45,UNION CORNERS: VIA JENIFER,5.1215
29,520,6:58:21,6:58:21,UNION CORNERS: VIA JENIFER,5.2371
30,313,6:59:00,6:59:00,UNION CORNERS: VIA JENIFER,5.3547
31,1509,7:03:06,7:03:06,UNION CORNERS: VIA JENIFER,6.404
32,1167,7:03:42,7:03:42,UNION CORNERS: VIA JENIFER,6.561
33,1615,7:04:00,7:04:00,UNION CORNERS: VIA JENIFER,6.6396
34,1959,7:04:35,7:04:35,UNION CORNERS: VIA JENIFER,6.792999999999999
35,1505,7:05:00,7:05:00,UNION CORNERS: VIA JENIFER,6.8887
36,1559,7:05:33,7:05:33,UNION CORNERS: VIA JENIFER,7.0149
37,1689,7:06:06,7:06:06,UNION CORNERS: VIA JENIFER,7.1397
38,1213,7:07:04,7:07:04,UNION CORNERS: VIA JENIFER,7.3572
39,1645,7:07:38,7:07:38,UNION CORNERS: VIA JENIFER,7.484
40,1935,7:08:06,7:08:06,UNION CORNERS: VIA JENIFER,7.5913
41,1901,7:08:55,7:08:55,UNION CORNERS: VIA JENIFER,7.7744
42,1499,7:09:33,7:09:33,UNION CORNERS: VIA JENIFER,7.9169
43,1575,7:10:14,7:10:14,UNION CORNERS: VIA JENIFER,8.0722
44,1343,7:10:38,7:10:38,UNION CORNERS: VIA JENIFER,8.1651
45,1659,7:11:06,7:11:06,UNION CORNERS: VIA JENIFER,8.2703
46,1233,7:11:57,7:11:57,UNION CORNERS: VIA JENIFER,8.4621
47,1301,7:13:00,7:13:00,DROP OFFS ONLY,8.6763
