stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,1301,6:17:00,6:17:00,UNIVERSITY ROW: VIA JOHNSON: VIA CAMPUS,0.0196
2,1944,6:17:52,6:17:52,UNIVERSITY ROW: VIA JOHNSON: VIA CAMPUS,0.2167
3,1986,6:18:25,6:18:25,UNIVERSITY ROW: VIA JOHNSON: VIA CAMPUS,0.3407
4,1704,6:18:54,6:18:54,UNIVERSITY ROW: VIA JOHNSON: VIA CAMPUS,0.4497
5,1160,6:20:00,6:20:00,UNIVERSITY ROW: VIA JOHNSON: VIA CAMPUS,0.6961
6,1812,6:20:25,6:20:25,UNIVERSITY ROW: VIA JOHNSON: VIA CAMPUS,0.7928
7,1780,6:21:47,6:21:47,UNIVERSITY ROW: VIA JOHNSON: VIA CAMPUS,1.0995
8,1892,6:22:22,6:22:22,UNIVERSITY ROW: VIA JOHNSON: VIA CAMPUS,1.2302
9,1798,6:23:12,6:23:12,UNIVERSITY ROW: VIA JOHNSON: VIA CAMPUS,1.4196
10,1250,6:23:54,6:23:54,UNIVERSITY ROW: VIA JOHNSON: VIA CAMPUS,1.5769
11,1636,6:25:00,6:25:00,UNIVERSITY ROW: VIA JOHNSON: VIA CAMPUS,1.8106
12,1834,6:26:18,6:26:18,UNIVERSITY ROW: VIA JOHNSON: VIA CAMPUS,2.0642
13,1996,6:26:55,6:26:55,UNIVERSITY ROW: VIA JOHNSON: VIA CAMPUS,2.1863
14,1662,6:27:42,6:27:42,UNIVERSITY ROW: VIA JOHNSON: VIA CAMPUS,2.3401
15,1138,6:28:11,6:28:11,UNIVERSITY ROW: VIA JOHNSON: VIA CAMPUS,2.4367
16,752,6:29:02,6:29:02,UNIVERSITY ROW: VIA JOHNSON: VIA CAMPUS,2.6025
17,914,6:30:17,6:30:17,UNIVERSITY ROW: VIA JOHNSON: VIA CAMPUS,2.8458
18,480,6:31:20,6:31:20,UNIVERSITY ROW: VIA JOHNSON: VIA CAMPUS,3.0516
19,568,6:33:00,6:33:00,UNIVERSITY ROW: VIA CAMPUS,3.3673
20,670,6:33:40,6:33:40,UNIVERSITY ROW: VIA CAMPUS,3.4581
21,100,6:34:56,6:34:56,UNIVERSITY ROW: VIA CAMPUS,3.6278
22,234,6:35:53,6:35:53,UNIVERSITY ROW: VIA CAMPUS,3.7545
23,178,6:37:04,6:37:04,UNIVERSITY ROW: VIA CAMPUS,3.9137
24,160,6:38:00,6:38:00,UNIVERSITY ROW: VIA CAMPUS,4.033
25,2698,6:42:22,6:42:22,UNIVERSITY ROW,5.3251
26,2270,6:43:04,6:43:04,UNIVERSITY ROW,5.535
27,2712,6:44:01,6:44:01,UNIVERSITY ROW,5.8193
28,2266,6:44:30,6:44:30,UNIVERSITY ROW,5.9666
29,2200,6:45:16,6:45:16,UNIVERSITY ROW,6.1965
30,2846,6:46:17,6:46:17,UNIVERSITY ROW,6.497999999999999
31,2184,6:46:48,6:46:48,UNIVERSITY ROW,6.6527
32,2100,6:47:15,6:47:15,UNIVERSITY ROW,6.7866
33,2376,6:48:00,6:48:00,UNIVERSITY ROW,6.9844
34,2282,6:49:06,6:49:06,UNIVERSITY ROW,7.1699
35,2601,6:51:17,6:51:17,UNIVERSITY ROW,7.5395
36,2398,6:52:00,6:52:00,DROP OFFS ONLY,7.6579999999999995
