stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,6:30:00,6:30:00,U.W. CAMPUS-DUTCH MILL,0.0097
2,2939,6:30:58,6:30:58,U.W. CAMPUS-DUTCH MILL,0.2648
3,2323,6:31:50,6:31:50,U.W. CAMPUS-DUTCH MILL,0.4904
4,2417,6:32:16,6:32:16,U.W. CAMPUS-DUTCH MILL,0.6047
5,2161,6:33:13,6:33:13,U.W. CAMPUS-DUTCH MILL,0.8551
6,2615,6:33:56,6:33:56,U.W. CAMPUS-DUTCH MILL,1.0422
7,2655,6:34:48,6:34:48,U.W. CAMPUS-DUTCH MILL,1.271
8,2709,6:35:46,6:35:46,U.W. CAMPUS-DUTCH MILL,1.5263
9,2638,6:36:45,6:36:45,U.W. CAMPUS-DUTCH MILL,1.7842
10,2472,6:37:17,6:37:17,U.W. CAMPUS-DUTCH MILL,1.9259
11,2711,6:37:55,6:37:55,U.W. CAMPUS-DUTCH MILL,2.0924
12,2491,6:38:52,6:38:52,U.W. CAMPUS-DUTCH MILL,2.3403
13,2901,6:40:06,6:40:06,U.W. CAMPUS-DUTCH MILL,2.6645
14,2637,6:40:36,6:40:36,U.W. CAMPUS-DUTCH MILL,2.7986
15,2641,6:41:00,6:41:00,U.W. CAMPUS-DUTCH MILL,2.8689
16,2337,6:41:33,6:41:33,U.W. CAMPUS-DUTCH MILL,2.9757
17,2741,6:42:40,6:42:40,U.W. CAMPUS-DUTCH MILL,3.1932
18,2191,6:44:06,6:44:06,U.W. CAMPUS-DUTCH MILL,3.4709
19,2755,6:45:03,6:45:03,U.W. CAMPUS-DUTCH MILL,3.6542
20,2595,6:45:47,6:45:47,U.W. CAMPUS-DUTCH MILL,3.7978
21,2945,6:47:16,6:47:16,U.W. CAMPUS-DUTCH MILL,4.0833
22,2465,6:48:31,6:48:31,U.W. CAMPUS-DUTCH MILL,4.3264
23,2443,6:49:23,6:49:23,U.W. CAMPUS-DUTCH MILL,4.4929
24,2643,6:50:08,6:50:08,U.W. CAMPUS-DUTCH MILL,4.637
25,2393,6:50:38,6:50:38,U.W. CAMPUS-DUTCH MILL,4.734
26,2091,6:52:00,6:52:00,U.W. CAMPUS-DUTCH MILL,4.9816
27,2007,6:53:17,6:53:17,U.W. CAMPUS-DUTCH MILL,5.2124
28,2267,6:54:31,6:54:31,U.W. CAMPUS-DUTCH MILL,5.4349
29,2195,6:55:35,6:55:35,U.W. CAMPUS-DUTCH MILL,5.6281
30,2145,6:56:29,6:56:29,U.W. CAMPUS-DUTCH MILL,5.7903
31,298,6:57:00,6:57:00,U.W. CAMPUS-DUTCH MILL,5.8786
32,573,6:57:44,6:57:44,DUTCH MILL,6.0097
33,438,6:58:50,6:58:50,DUTCH MILL,6.2074
34,706,6:59:24,6:59:24,DUTCH MILL,6.308
35,490,7:00:00,7:00:00,DUTCH MILL,6.4167
36,743,7:00:37,7:00:37,DUTCH MILL,6.5268
37,455,7:01:38,7:01:38,DUTCH MILL,6.7095
38,435,7:02:29,7:02:29,DUTCH MILL,6.8611
39,941,7:03:00,7:03:00,DUTCH MILL,6.942
40,470,7:03:34,7:03:34,DUTCH MILL,7.1022
41,710,7:04:10,7:04:10,DUTCH MILL,7.2735
42,520,7:04:34,7:04:34,DUTCH MILL,7.3891
43,313,7:04:59,7:04:59,DUTCH MILL,7.5068
44,492,7:09:00,7:09:00,DUTCH MILL,8.6332
45,862,7:10:32,7:10:32,DUTCH MILL,9.0649
46,166,7:12:00,7:12:00,DUTCH MILL,9.4626
47,410,7:12:48,7:12:48,DUTCH MILL,9.6931
48,3811,7:14:03,7:14:03,DUTCH MILL,10.0476
49,3105,7:15:32,7:15:32,DUTCH MILL,10.4692
50,3241,7:16:27,7:16:27,DUTCH MILL,10.7287
51,3351,7:18:06,7:18:06,DUTCH MILL,11.1949
52,3931,7:19:06,7:19:06,DUTCH MILL,11.4815
53,3457,7:19:40,7:19:40,DUTCH MILL,11.6429
54,3615,7:21:02,7:21:02,DUTCH MILL,12.0329
55,3841,7:21:48,7:21:48,DUTCH MILL,12.251
56,3733,7:22:21,7:22:21,DUTCH MILL,12.4101
57,3301,7:23:00,7:23:00,DUTCH MILL,12.5692
58,3195,7:28:00,7:28:00,DROP OFFS ONLY,14.422
