stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,8:30:00,8:30:00,U.W. CAMPUS-TO FRANCES,0.0097
2,2939,8:30:58,8:30:58,U.W. CAMPUS-TO FRANCES,0.2648
3,2323,8:31:50,8:31:50,U.W. CAMPUS-TO FRANCES,0.4904
4,2417,8:32:16,8:32:16,U.W. CAMPUS-TO FRANCES,0.6047
5,2161,8:33:13,8:33:13,U.W. CAMPUS-TO FRANCES,0.8551
6,2615,8:33:56,8:33:56,U.W. CAMPUS-TO FRANCES,1.0422
7,2655,8:34:48,8:34:48,U.W. CAMPUS-TO FRANCES,1.271
8,2709,8:35:46,8:35:46,U.W. CAMPUS-TO FRANCES,1.5263
9,2638,8:36:45,8:36:45,U.W. CAMPUS-TO FRANCES,1.7842
10,2472,8:37:17,8:37:17,U.W. CAMPUS-TO FRANCES,1.9259
11,2711,8:37:55,8:37:55,U.W. CAMPUS-TO FRANCES,2.0924
12,2491,8:38:52,8:38:52,U.W. CAMPUS-TO FRANCES,2.3403
13,2901,8:40:06,8:40:06,U.W. CAMPUS-TO FRANCES,2.6645
14,2637,8:40:36,8:40:36,U.W. CAMPUS-TO FRANCES,2.7986
15,2641,8:41:00,8:41:00,U.W. CAMPUS-TO FRANCES,2.8689
16,2337,8:41:30,8:41:30,U.W. CAMPUS-TO FRANCES,2.9757
17,2741,8:42:31,8:42:31,U.W. CAMPUS-TO FRANCES,3.1932
18,2191,8:43:49,8:43:49,U.W. CAMPUS-TO FRANCES,3.4709
19,2755,8:44:41,8:44:41,U.W. CAMPUS-TO FRANCES,3.6542
20,2595,8:45:21,8:45:21,U.W. CAMPUS-TO FRANCES,3.7978
21,2945,8:46:42,8:46:42,U.W. CAMPUS-TO FRANCES,4.0833
22,2465,8:47:51,8:47:51,U.W. CAMPUS-TO FRANCES,4.3264
23,2443,8:48:38,8:48:38,U.W. CAMPUS-TO FRANCES,4.4929
24,2643,8:49:18,8:49:18,U.W. CAMPUS-TO FRANCES,4.637
25,2393,8:49:45,8:49:45,U.W. CAMPUS-TO FRANCES,4.734
26,2091,8:51:00,8:51:00,U.W. CAMPUS-TO FRANCES,4.9816
27,2007,8:52:17,8:52:17,U.W. CAMPUS-TO FRANCES,5.2124
28,2267,8:53:31,8:53:31,U.W. CAMPUS-TO FRANCES,5.4349
29,2195,8:54:35,8:54:35,U.W. CAMPUS-TO FRANCES,5.6281
30,2145,8:55:29,8:55:29,U.W. CAMPUS-TO FRANCES,5.7903
31,298,8:56:00,8:56:00,U.W. CAMPUS-TO FRANCES,5.8786
32,573,8:56:44,8:56:44,TO FRANCES,6.0097
33,438,8:57:50,8:57:50,TO FRANCES,6.2074
34,706,8:58:24,8:58:24,TO FRANCES,6.308
35,490,8:59:00,8:59:00,TO FRANCES,6.4167
36,743,8:59:37,8:59:37,TO FRANCES,6.5268
37,455,9:00:38,9:00:38,TO FRANCES,6.7095
38,435,9:01:29,9:01:29,TO FRANCES,6.8611
39,941,9:02:00,9:02:00,DROP OFFS ONLY,6.942
