stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,100,6:06:00,6:06:00,SOUTH TRANSFER,0.0383
2,256,6:06:37,6:06:37,SOUTH TRANSFER,0.1936
3,743,6:06:56,6:06:56,SOUTH TRANSFER,0.2745
4,180,6:07:47,6:07:47,SOUTH TRANSFER,0.4899
5,388,6:08:14,6:08:14,SOUTH TRANSFER,0.6043
6,546,6:08:48,6:08:48,SOUTH TRANSFER,0.7467
7,162,6:09:26,6:09:26,SOUTH TRANSFER,0.9067
8,840,6:10:03,6:10:03,SOUTH TRANSFER,1.0608
9,288,6:11:00,6:11:00,SOUTH TRANSFER,1.2857
10,174,6:11:55,6:11:55,SOUTH TRANSFER,1.5326
11,877,6:12:52,6:12:52,SOUTH TRANSFER,1.7902
12,147,6:13:33,6:13:33,SOUTH TRANSFER,1.9742
13,289,6:13:54,6:13:54,SOUTH TRANSFER,2.0705
14,367,6:14:30,6:14:30,SOUTH TRANSFER,2.2317
15,465,6:14:59,6:14:59,SOUTH TRANSFER,2.365
16,153,6:15:40,6:15:40,SOUTH TRANSFER,2.5526
17,862,6:16:27,6:16:27,SOUTH TRANSFER,2.7646
18,166,6:18:00,6:18:00,SOUTH TRANSFER,3.1622
19,410,6:18:51,6:18:51,SOUTH TRANSFER,3.3928
20,828,6:19:06,6:19:06,SOUTH TRANSFER,3.4627
21,894,6:20:38,6:20:38,SOUTH TRANSFER,3.8794
22,565,6:21:18,6:21:18,SOUTH TRANSFER,4.0621
23,496,6:22:08,6:22:08,SOUTH TRANSFER,4.2884
24,956,6:22:49,6:22:49,SOUTH TRANSFER,4.4766
25,222,6:23:29,6:23:29,SOUTH TRANSFER,4.6597
26,320,6:24:05,6:24:05,SOUTH TRANSFER,4.8232
27,906,6:24:54,6:24:54,SOUTH TRANSFER,5.0452
28,4100,6:26:00,6:26:00,DROP OFFS ONLY,5.327999999999999
