stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,4100,5:40:00,5:40:00,U.W. CAMPUS,0.0074
2,475,5:41:17,5:41:17,U.W. CAMPUS,0.3919
3,171,5:41:55,5:41:55,U.W. CAMPUS,0.5822
4,643,5:42:32,5:42:32,U.W. CAMPUS,0.7687
5,871,5:43:09,5:43:09,U.W. CAMPUS,0.9564
6,819,5:43:46,5:43:46,U.W. CAMPUS,1.1412
7,150,5:44:31,5:44:31,U.W. CAMPUS,1.3663
8,294,5:44:57,5:44:57,U.W. CAMPUS,1.4974
9,619,5:46:33,5:46:33,U.W. CAMPUS,1.975
10,203,5:46:50,5:46:50,U.W. CAMPUS,2.0608
11,243,5:48:00,5:48:00,U.W. CAMPUS,2.3921
12,674,5:49:23,5:49:23,U.W. CAMPUS,2.8216
13,522,5:49:43,5:49:43,U.W. CAMPUS,2.93
14,424,5:50:06,5:50:06,U.W. CAMPUS,3.0493
15,346,5:50:43,5:50:43,U.W. CAMPUS,3.2424
16,602,5:51:09,5:51:09,U.W. CAMPUS,3.3799
17,192,5:51:26,5:51:26,U.W. CAMPUS,3.47
18,107,5:52:13,5:52:13,U.W. CAMPUS,3.7174
19,519,5:53:00,5:53:00,U.W. CAMPUS,3.9444
20,251,5:54:15,5:54:15,U.W. CAMPUS,4.1762
21,217,5:55:33,5:55:33,U.W. CAMPUS,4.4191
22,715,5:56:11,5:56:11,U.W. CAMPUS,4.5373
23,115,5:57:09,5:57:09,U.W. CAMPUS,4.7185
24,483,5:57:37,5:57:37,U.W. CAMPUS,4.8074
25,561,5:58:12,5:58:12,U.W. CAMPUS,4.9162
26,455,5:58:49,5:58:49,U.W. CAMPUS,5.0327
27,969,6:00:04,6:00:04,U.W. CAMPUS,5.2651
28,568,6:00:30,6:00:30,U.W. CAMPUS,5.3478
29,670,6:00:59,6:00:59,U.W. CAMPUS,5.4386
30,100,6:02:00,6:02:00,DROP OFFS ONLY,5.6083
