stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,7605,5:27:00,5:27:00,EAST TRANSFER,0.0249
2,7739,5:27:40,5:27:40,EAST TRANSFER,0.2003
3,7119,5:28:33,5:28:33,EAST TRANSFER,0.4352
4,7107,5:28:53,5:28:53,EAST TRANSFER,0.5255
5,7663,5:29:51,5:29:51,EAST TRANSFER,0.782
6,7729,5:30:48,5:30:48,EAST TRANSFER,1.0307
7,7115,5:31:10,5:31:10,EAST TRANSFER,1.1269
8,7328,5:31:57,5:31:57,EAST TRANSFER,1.3328
9,7838,5:32:47,5:32:47,EAST TRANSFER,1.5511
10,7152,5:33:25,5:33:25,EAST TRANSFER,1.7195
11,7388,5:34:22,5:34:22,EAST TRANSFER,1.9719
12,7215,5:35:32,5:35:32,EAST TRANSFER,2.2784
13,7379,5:36:03,5:36:03,EAST TRANSFER,2.4167
14,7745,5:36:29,5:36:29,EAST TRANSFER,2.5340000000000003
15,1225,5:37:16,5:37:16,EAST TRANSFER,2.7409
16,1785,5:37:50,5:37:50,EAST TRANSFER,2.8930000000000002
17,1809,5:38:20,5:38:20,EAST TRANSFER,3.0256
18,1153,5:38:56,5:38:56,EAST TRANSFER,3.1854
19,1105,5:39:41,5:39:41,EAST TRANSFER,3.3856
20,7100,5:41:00,5:41:00,DROP OFFS ONLY,3.6860000000000004
