stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,4100,6:00:00,6:00:00,EAST TRANSFER: VIA BROADWAY,0.0074
2,3500,6:03:33,6:03:33,EAST TRANSFER: VIA BROADWAY,1.4397
3,3946,6:04:17,6:04:17,EAST TRANSFER: VIA BROADWAY,1.7355
4,3600,6:04:42,6:04:42,EAST TRANSFER: VIA BROADWAY,1.9089
5,3962,6:05:13,6:05:13,EAST TRANSFER: VIA BROADWAY,2.1171
6,3235,6:05:29,6:05:29,EAST TRANSFER: VIA BROADWAY,2.2286
7,3155,6:06:36,6:06:36,EAST TRANSFER: VIA BROADWAY,2.6834
8,3222,6:07:06,6:07:06,EAST TRANSFER: VIA BROADWAY,2.8907
9,3231,6:07:31,6:07:31,EAST TRANSFER: VIA BROADWAY,3.0624
10,3259,6:08:00,6:08:00,EAST TRANSFER: VIA BROADWAY,3.2235
11,3513,6:08:45,6:08:45,EAST TRANSFER: VIA BROADWAY,3.4641
12,3429,6:09:23,6:09:23,EAST TRANSFER: VIA BROADWAY,3.6672
13,3913,6:10:09,6:10:09,EAST TRANSFER: VIA BROADWAY,3.9128
14,3941,6:11:30,6:11:30,EAST TRANSFER: VIA BROADWAY,4.3468
15,3163,6:13:34,6:13:34,EAST TRANSFER: VIA BROADWAY,5.0112
16,3457,6:14:04,6:14:04,EAST TRANSFER: VIA BROADWAY,5.175
17,3615,6:15:17,6:15:17,EAST TRANSFER: VIA BROADWAY,5.5651
18,3841,6:15:57,6:15:57,EAST TRANSFER: VIA BROADWAY,5.7832
19,3733,6:16:26,6:16:26,EAST TRANSFER: VIA BROADWAY,5.9423
20,3301,6:17:00,6:17:00,EAST TRANSFER: VIA BROADWAY,6.1014
21,7605,6:24:00,6:24:00,EAST TRANSFER,8.0478
22,7739,6:24:45,6:24:45,EAST TRANSFER,8.222999999999999
23,7119,6:25:46,6:25:46,EAST TRANSFER,8.458
24,7107,6:26:09,6:26:09,EAST TRANSFER,8.5483
25,7663,6:27:16,6:27:16,EAST TRANSFER,8.8049
26,7729,6:28:21,6:28:21,EAST TRANSFER,9.0534
27,7115,6:28:46,6:28:46,EAST TRANSFER,9.1498
28,7328,6:29:39,6:29:39,EAST TRANSFER,9.3557
29,7838,6:30:36,6:30:36,EAST TRANSFER,9.5739
30,7152,6:31:20,6:31:20,EAST TRANSFER,9.7423
31,7388,6:32:26,6:32:26,EAST TRANSFER,9.9948
32,7215,6:33:46,6:33:46,EAST TRANSFER,10.3012
33,7379,6:34:22,6:34:22,EAST TRANSFER,10.4395
34,7745,6:34:52,6:34:52,EAST TRANSFER,10.5568
35,1225,6:35:46,6:35:46,EAST TRANSFER,10.7636
36,1785,6:36:25,6:36:25,EAST TRANSFER,10.9158
37,1809,6:36:59,6:36:59,EAST TRANSFER,11.0484
38,1153,6:37:40,6:37:40,EAST TRANSFER,11.2082
39,1105,6:38:32,6:38:32,EAST TRANSFER,11.4084
40,7100,6:40:00,6:40:00,DROP OFFS ONLY,11.7089
