stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,3300,5:37:00,5:37:00,SOUTH TRANSFER: VIA BROADWAY,0.0203
2,3450,5:37:45,5:37:45,SOUTH TRANSFER: VIA BROADWAY,0.2689
3,3368,5:38:10,5:38:10,SOUTH TRANSFER: VIA BROADWAY,0.41
4,3622,5:38:44,5:38:44,SOUTH TRANSFER: VIA BROADWAY,0.5999
5,3772,5:39:51,5:39:51,SOUTH TRANSFER,0.9743
6,3980,5:40:26,5:40:26,SOUTH TRANSFER,1.169
7,3518,5:42:27,5:42:27,SOUTH TRANSFER,1.8382
8,3588,5:43:44,5:43:44,SOUTH TRANSFER,2.2666
9,3252,5:44:28,5:44:28,SOUTH TRANSFER,2.5137
10,3832,5:45:04,5:45:04,SOUTH TRANSFER,2.7166
11,3732,5:46:00,5:46:00,SOUTH TRANSFER,2.9941
12,3968,5:46:28,5:46:28,SOUTH TRANSFER,3.137
13,3572,5:46:59,5:46:59,SOUTH TRANSFER,3.2975
14,3448,5:47:41,5:47:41,SOUTH TRANSFER,3.5118
15,3371,5:49:06,5:49:06,SOUTH TRANSFER,3.9405
16,3821,5:49:26,5:49:26,SOUTH TRANSFER,4.0429
17,3393,5:50:07,5:50:07,SOUTH TRANSFER,4.251
18,3207,5:50:42,5:50:42,SOUTH TRANSFER,4.4307
19,3787,5:51:55,5:51:55,SOUTH TRANSFER,4.801
20,4100,5:56:00,5:56:00,DROP OFFS ONLY,6.0157
