stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,5100,6:30:00,6:30:00,EAST TRANSFER: VIA SHOPKO,0.055999999999999994
2,1895,6:30:27,6:30:27,EAST TRANSFER: VIA SHOPKO,0.2081
3,9837,6:32:28,6:32:28,EAST TRANSFER: VIA SHOPKO,0.8794
4,9274,6:33:00,6:33:00,EAST TRANSFER: VIA SHOPKO,1.0509
5,9361,6:38:02,6:38:02,EAST TRANSFER,2.1867
6,1420,6:39:29,6:39:29,EAST TRANSFER,2.5157
7,1751,6:40:17,6:40:17,EAST TRANSFER,2.6981
8,1309,6:40:57,6:40:57,EAST TRANSFER,2.8517
9,1105,6:41:37,6:41:37,EAST TRANSFER,3.0023
10,7100,6:43:00,6:43:00,DROP OFFS ONLY,3.3027
