stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,4100,7:00:00,7:00:00,WEST TRANSFER: VIA HAMMERSLEY,0.0074
2,4144,7:03:50,7:03:50,WEST TRANSFER: VIA HAMMERSLEY,1.6668
3,4876,7:04:14,7:04:14,WEST TRANSFER: VIA HAMMERSLEY,1.8459999999999999
4,4968,7:04:39,7:04:39,WEST TRANSFER: VIA HAMMERSLEY,2.0287
5,4412,7:05:10,7:05:10,WEST TRANSFER: VIA HAMMERSLEY,2.2554
6,4776,7:05:23,7:05:23,WEST TRANSFER: VIA HAMMERSLEY,2.3502
7,4560,7:06:26,7:06:26,WEST TRANSFER: VIA HAMMERSLEY,2.8069
8,4430,7:07:00,7:07:00,WEST TRANSFER: VIA HAMMERSLEY,3.0273
9,4688,7:07:45,7:07:45,WEST TRANSFER: VIA HAMMERSLEY,3.2428
10,4456,7:08:17,7:08:17,WEST TRANSFER: VIA HAMMERSLEY,3.3956
11,4798,7:08:43,7:08:43,WEST TRANSFER: VIA HAMMERSLEY,3.5196
12,4714,7:09:22,7:09:22,WEST TRANSFER: VIA HAMMERSLEY,3.7082
13,4158,7:09:49,7:09:49,WEST TRANSFER: VIA HAMMERSLEY,3.84
14,4446,7:10:18,7:10:18,WEST TRANSFER: VIA HAMMERSLEY,3.9801
15,4806,7:10:54,7:10:54,WEST TRANSFER: VIA HAMMERSLEY,4.1547
16,4847,7:11:23,7:11:23,WEST TRANSFER: VIA HAMMERSLEY,4.2956
17,4769,7:12:03,7:12:03,WEST TRANSFER: VIA HAMMERSLEY,4.4882
18,4333,7:12:23,7:12:23,WEST TRANSFER: VIA HAMMERSLEY,4.5847
19,4191,7:13:00,7:13:00,WEST TRANSFER: VIA HAMMERSLEY,4.7611
20,4861,7:13:38,7:13:38,WEST TRANSFER: VIA HAMMERSLEY,4.9458
21,4295,7:13:55,7:13:55,WEST TRANSFER: VIA HAMMERSLEY,5.031000000000001
22,4481,7:14:23,7:14:23,WEST TRANSFER: VIA HAMMERSLEY,5.1681
23,4751,7:15:17,7:15:17,WEST TRANSFER: VIA HAMMERSLEY,5.4271
24,8154,7:17:00,7:17:00,WEST TRANSFER: VIA HAMMERSLEY,5.8754
25,8770,7:17:41,7:17:41,WEST TRANSFER: VIA HAMMERSLEY,6.0519
26,8594,7:18:12,7:18:12,WEST TRANSFER: VIA HAMMERSLEY,6.1836
27,8604,7:19:26,7:19:26,WEST TRANSFER: VIA HAMMERSLEY,6.4974
28,8173,7:20:21,7:20:21,WEST TRANSFER: VIA HAMMERSLEY,6.7324
29,8633,7:21:03,7:21:03,WEST TRANSFER: VIA HAMMERSLEY,6.9108
30,8605,7:21:56,7:21:56,WEST TRANSFER: VIA HAMMERSLEY,7.1362
31,2383,7:23:13,7:23:13,WEST TRANSFER: VIA HAMMERSLEY,7.4612
32,2665,7:23:42,7:23:42,WEST TRANSFER: VIA HAMMERSLEY,7.5849
33,6100,7:25:00,7:25:00,DROP OFFS ONLY,7.8983
