stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,4100,6:30:00,6:30:00,WEST TRANSFER: VIA MIDVALE,0.0074
2,4560,6:34:38,6:34:38,WEST TRANSFER: VIA MIDVALE,2.8155
3,4430,6:35:00,6:35:00,WEST TRANSFER: VIA MIDVALE,3.036
4,4688,6:35:48,6:35:48,WEST TRANSFER: VIA MIDVALE,3.2514
5,4456,6:36:22,6:36:22,WEST TRANSFER: VIA MIDVALE,3.4042
6,4798,6:36:49,6:36:49,WEST TRANSFER: VIA MIDVALE,3.5283
7,4714,6:37:31,6:37:31,WEST TRANSFER: VIA MIDVALE,3.7167
8,4158,6:38:00,6:38:00,WEST TRANSFER: VIA MIDVALE,3.8486
9,4446,6:38:31,6:38:31,WEST TRANSFER: VIA MIDVALE,3.9887
10,4806,6:39:10,6:39:10,WEST TRANSFER: VIA MIDVALE,4.1633
11,4847,6:39:41,6:39:41,WEST TRANSFER: VIA MIDVALE,4.3042
12,4769,6:40:24,6:40:24,WEST TRANSFER: VIA MIDVALE,4.4968
13,4333,6:40:45,6:40:45,WEST TRANSFER: VIA MIDVALE,4.5934
14,4191,6:41:24,6:41:24,WEST TRANSFER: VIA MIDVALE,4.7697
15,4861,6:42:05,6:42:05,WEST TRANSFER: VIA MIDVALE,4.9544
16,4295,6:42:24,6:42:24,WEST TRANSFER: VIA MIDVALE,5.0396
17,4179,6:42:53,6:42:53,WEST TRANSFER: VIA MIDVALE,5.1691
18,4777,6:44:02,6:44:02,WEST TRANSFER: VIA MIDVALE,5.4796
19,4355,6:45:00,6:45:00,WEST TRANSFER: VIA MIDVALE,5.7132
20,4551,6:45:56,6:45:56,WEST TRANSFER: VIA MIDVALE,5.9226
21,4865,6:47:05,6:47:05,WEST TRANSFER: VIA MIDVALE,6.1818
22,2187,6:48:18,6:48:18,WEST TRANSFER: VIA MIDVALE,6.4552
23,2972,6:49:34,6:49:34,WEST TRANSFER: VIA MIDVALE,6.7379999999999995
24,2222,6:50:15,6:50:15,WEST TRANSFER: VIA MIDVALE,6.8903
25,2274,6:51:05,6:51:05,WEST TRANSFER: VIA MIDVALE,7.0779
26,2202,6:52:19,6:52:19,WEST TRANSFER: VIA MIDVALE,7.3551
27,2182,6:52:45,6:52:45,WEST TRANSFER: VIA MIDVALE,7.4527
28,2226,6:53:46,6:53:46,WEST TRANSFER: VIA MIDVALE,7.6813
29,6100,6:55:00,6:55:00,DROP OFFS ONLY,7.9343
