stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,5765,5:41:00,5:41:00,NORTH TRANSFER,0.0196
2,5127,5:41:27,5:41:27,NORTH TRANSFER,0.1912
3,5173,5:41:58,5:41:58,NORTH TRANSFER,0.3876
4,5625,5:42:22,5:42:22,NORTH TRANSFER,0.5424
5,5797,5:42:43,5:42:43,NORTH TRANSFER,0.6763
6,5105,5:43:01,5:43:01,NORTH TRANSFER,0.7959999999999999
7,5607,5:43:24,5:43:24,NORTH TRANSFER,0.9418
8,5865,5:43:38,5:43:38,NORTH TRANSFER,1.0354
9,5847,5:44:06,5:44:06,NORTH TRANSFER,1.2179
10,5411,5:44:28,5:44:28,NORTH TRANSFER,1.3572
11,5287,5:45:06,5:45:06,NORTH TRANSFER,1.5994
12,5888,5:45:46,5:45:46,NORTH TRANSFER,1.8577
13,5432,5:46:06,5:46:06,NORTH TRANSFER,1.9869999999999999
14,5335,5:46:34,5:46:34,NORTH TRANSFER,2.1661
15,5993,5:47:00,5:47:00,NORTH TRANSFER,2.2886
16,5244,5:48:04,5:48:04,NORTH TRANSFER,2.5783
17,5546,5:48:32,5:48:32,NORTH TRANSFER,2.7051
18,5356,5:49:14,5:49:14,NORTH TRANSFER,2.8961
19,5306,5:49:51,5:49:51,NORTH TRANSFER,3.0651
20,5109,5:50:15,5:50:15,NORTH TRANSFER,3.1747
21,5320,5:51:18,5:51:18,NORTH TRANSFER,3.4589
22,5228,5:51:51,5:51:51,NORTH TRANSFER,3.6097
23,5856,5:52:28,5:52:28,NORTH TRANSFER,3.7757
24,5420,5:53:12,5:53:12,NORTH TRANSFER,3.9746
25,1380,5:54:51,5:54:51,NORTH TRANSFER,4.4205
26,5100,5:56:00,5:56:00,DROP OFFS ONLY,4.7059
