stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,5142,4:55:00,4:55:00,NORTH TRANSFER,0.0932
2,5178,4:55:34,4:55:34,NORTH TRANSFER,0.3207
3,5260,4:55:55,4:55:55,NORTH TRANSFER,0.4636
4,5796,4:56:17,4:56:17,NORTH TRANSFER,0.6146
5,5342,4:56:37,4:56:37,NORTH TRANSFER,0.7513
6,5536,4:56:59,4:56:59,NORTH TRANSFER,0.9023
7,5950,4:57:27,4:57:27,NORTH TRANSFER,1.0912
8,5197,4:57:59,4:57:59,NORTH TRANSFER,1.3087
9,5203,4:58:30,4:58:30,NORTH TRANSFER,1.5206
10,5657,4:59:00,4:59:00,NORTH TRANSFER,1.6840000000000002
11,5835,4:59:35,4:59:35,NORTH TRANSFER,1.8786
12,5397,5:00:09,5:00:09,NORTH TRANSFER,2.0664
13,5715,5:00:57,5:00:57,NORTH TRANSFER,2.3335
14,5421,5:01:48,5:01:48,NORTH TRANSFER,2.6136
15,5663,5:02:13,5:02:13,NORTH TRANSFER,2.7507
16,5815,5:02:55,5:02:55,NORTH TRANSFER,2.9832
17,5149,5:03:50,5:03:50,NORTH TRANSFER,3.2849
18,5899,5:04:32,5:04:32,NORTH TRANSFER,3.5159
19,5162,5:05:16,5:05:16,NORTH TRANSFER,3.7584
20,5382,5:06:06,5:06:06,NORTH TRANSFER,4.0368
21,5358,5:06:48,5:06:48,NORTH TRANSFER,4.2705
22,5748,5:07:36,5:07:36,NORTH TRANSFER,4.5383
23,5304,5:07:56,5:07:56,NORTH TRANSFER,4.6489
24,1877,5:08:40,5:08:40,NORTH TRANSFER,4.8932
25,1759,5:09:00,5:09:00,NORTH TRANSFER,5.0076
26,5100,5:10:00,5:10:00,DROP OFFS ONLY,5.2948
