stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,9726,16:40:00,16:40:00,CAPITOL SQUARE: VIA AMERICAN CENTER,0.0791
2,9894,16:40:38,16:40:38,CAPITOL SQUARE: VIA AMERICAN CENTER,0.2969
3,9418,16:41:19,16:41:19,CAPITOL SQUARE: VIA AMERICAN CENTER,0.5342
4,9580,16:42:09,16:42:09,CAPITOL SQUARE: VIA AMERICAN CENTER,0.8249
5,9196,16:44:32,16:44:32,CAPITOL SQUARE: VIA AMERICAN CENTER,1.6436
6,9262,16:45:40,16:45:40,CAPITOL SQUARE: VIA AMERICAN CENTER,2.0377
7,9472,16:47:00,16:47:00,CAPITOL SQUARE: VIA AMERICAN CENTER,2.4828
8,9810,16:51:00,16:51:00,CAPITOL SQUARE,4.4438
9,9554,16:53:18,16:53:18,CAPITOL SQUARE,5.209
10,1112,16:59:00,16:59:00,CAPITOL SQUARE,7.1053
11,1392,17:07:05,17:07:05,CAPITOL SQUARE,8.9676
12,1618,17:09:20,17:09:20,CAPITOL SQUARE,9.4855
13,1100,17:10:00,17:10:00,DROP OFFS ONLY,9.6362
