stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,9953,6:26:00,6:26:00,CAPITOL SQUARE: VIA PARK & RIDE,0.0386
2,9535,6:27:05,6:27:05,CAPITOL SQUARE: VIA PARK & RIDE,0.318
3,9497,6:28:19,6:28:19,CAPITOL SQUARE: VIA PARK & RIDE,0.6331
4,9363,6:30:08,6:30:08,CAPITOL SQUARE: VIA PARK & RIDE,1.0976
5,9871,6:31:19,6:31:19,CAPITOL SQUARE: VIA PARK & RIDE,1.4
6,9164,6:33:00,6:33:00,CAPITOL SQUARE: VIA PARK & RIDE,1.8181
7,9528,6:33:52,6:33:52,CAPITOL SQUARE: VIA PARK & RIDE,2.062
8,9782,6:34:39,6:34:39,CAPITOL SQUARE: VIA PARK & RIDE,2.2796
9,9356,6:36:23,6:36:23,CAPITOL SQUARE: VIA PARK & RIDE,2.7619
10,9490,6:37:25,6:37:25,CAPITOL SQUARE: VIA PARK & RIDE,3.0484
11,9862,6:38:32,6:38:32,CAPITOL SQUARE: VIA PARK & RIDE,3.3622
12,9001,6:40:00,6:40:00,CAPITOL SQUARE: VIA PARK & RIDE,3.7581
13,9810,6:47:00,6:47:00,CAPITOL SQUARE,7.6114
14,9554,6:49:00,6:49:00,CAPITOL SQUARE,8.3767
15,1112,6:54:00,6:54:00,CAPITOL SQUARE,10.273
16,1392,7:01:21,7:01:21,CAPITOL SQUARE,12.1352
17,1618,7:03:23,7:03:23,CAPITOL SQUARE,12.6531
18,1100,7:04:00,7:04:00,DROP OFFS ONLY,12.8039
