stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,47,6:34:00,6:34:00,NORTH TRANSFER: VIA JOHNSON,0.03
2,573,6:34:35,6:34:35,NORTH TRANSFER: VIA JOHNSON,0.1878
3,438,6:35:19,6:35:19,NORTH TRANSFER: VIA JOHNSON,0.3855
4,706,6:35:41,6:35:41,NORTH TRANSFER: VIA JOHNSON,0.4861
5,490,6:36:05,6:36:05,NORTH TRANSFER: VIA JOHNSON,0.5948
6,743,6:36:29,6:36:29,NORTH TRANSFER: VIA JOHNSON,0.7049
7,455,6:37:09,6:37:09,NORTH TRANSFER: VIA JOHNSON,0.8876
8,435,6:37:42,6:37:42,NORTH TRANSFER: VIA JOHNSON,1.0392
9,941,6:38:00,6:38:00,NORTH TRANSFER: VIA JOHNSON,1.12
10,839,6:38:55,6:38:55,NORTH TRANSFER: VIA JOHNSON,1.3686
11,537,6:40:03,6:40:03,NORTH TRANSFER: VIA JOHNSON,1.6722
12,1227,6:40:55,6:40:55,NORTH TRANSFER: VIA JOHNSON,1.9064
13,1831,6:41:33,6:41:33,NORTH TRANSFER: VIA JOHNSON,2.0805
14,1397,6:42:01,6:42:01,NORTH TRANSFER: VIA JOHNSON,2.2061
15,1121,6:42:20,6:42:20,NORTH TRANSFER: VIA JOHNSON,2.2936
16,1151,6:42:56,6:42:56,NORTH TRANSFER: VIA JOHNSON,2.4557
17,1209,6:44:00,6:44:00,NORTH TRANSFER: VIA JOHNSON,2.708
18,1325,6:44:59,6:44:59,NORTH TRANSFER: VIA JOHNSON,2.9572
19,1267,6:45:28,6:45:28,NORTH TRANSFER: VIA JOHNSON,3.0834
20,1333,6:46:22,6:46:22,NORTH TRANSFER: VIA JOHNSON,3.312
21,1843,6:46:51,6:46:51,NORTH TRANSFER: VIA JOHNSON,3.4365
22,1427,6:50:46,6:50:46,NORTH TRANSFER,4.4286
23,1380,6:53:12,6:53:12,NORTH TRANSFER,5.0455
24,5100,6:54:00,6:54:00,DROP OFFS ONLY,5.2358
