stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,5100,16:02:00,16:02:00,U.W. CAMPUS: VIA JOHNSON,0.0088
2,1895,16:03:01,16:03:01,U.W. CAMPUS: VIA JOHNSON,0.2741
3,1278,16:05:29,16:05:29,U.W. CAMPUS: VIA JOHNSON,0.9199
4,1780,16:09:15,16:09:15,U.W. CAMPUS: VIA JOHNSON,1.9007
5,1892,16:09:45,16:09:45,U.W. CAMPUS: VIA JOHNSON,2.0313
6,1798,16:10:28,16:10:28,U.W. CAMPUS: VIA JOHNSON,2.2208
7,1250,16:11:04,16:11:04,U.W. CAMPUS: VIA JOHNSON,2.3781
8,1636,16:12:00,16:12:00,U.W. CAMPUS: VIA JOHNSON,2.6117
9,1834,16:13:02,16:13:02,U.W. CAMPUS: VIA JOHNSON,2.8653
10,1996,16:13:32,16:13:32,U.W. CAMPUS: VIA JOHNSON,2.9875
11,1662,16:14:09,16:14:09,U.W. CAMPUS: VIA JOHNSON,3.1413
12,1138,16:14:32,16:14:32,U.W. CAMPUS: VIA JOHNSON,3.2379
13,752,16:15:12,16:15:12,U.W. CAMPUS: VIA JOHNSON,3.4036
14,914,16:16:11,16:16:11,U.W. CAMPUS: VIA JOHNSON,3.647
15,480,16:17:01,16:17:01,U.W. CAMPUS: VIA JOHNSON,3.8527
16,568,16:18:18,16:18:18,U.W. CAMPUS: VIA JOHNSON,4.1684
17,670,16:18:40,16:18:40,U.W. CAMPUS: VIA JOHNSON,4.2592
18,100,16:19:21,16:19:21,U.W. CAMPUS: VIA JOHNSON,4.4289
19,234,16:19:52,16:19:52,U.W. CAMPUS: VIA JOHNSON,4.5557
20,178,16:20:31,16:20:31,U.W. CAMPUS,4.7148
21,160,16:21:00,16:21:00,U.W. CAMPUS,4.8341
22,47,16:22:00,16:22:00,DROP OFFS ONLY,5.0485
