stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,6:00:00,6:00:00,NORTH TRANSFER: VIA FORDEM,0.0097
2,2925,6:01:02,6:01:02,NORTH TRANSFER: VIA FORDEM,0.3175
3,2401,6:02:12,6:02:12,NORTH TRANSFER: VIA FORDEM,0.6611
4,2249,6:02:55,6:02:55,NORTH TRANSFER: VIA FORDEM,0.8757
5,2669,6:03:32,6:03:32,NORTH TRANSFER: VIA FORDEM,1.0579
6,2201,6:04:04,6:04:04,NORTH TRANSFER: VIA FORDEM,1.2175
7,2121,6:04:59,6:04:59,NORTH TRANSFER: VIA FORDEM,1.4903
8,2175,6:06:00,6:06:00,NORTH TRANSFER: VIA FORDEM,1.7755
9,2101,6:06:56,6:06:56,NORTH TRANSFER: VIA FORDEM,1.9756
10,2395,6:07:32,6:07:32,NORTH TRANSFER: VIA FORDEM,2.1058
11,2752,6:08:05,6:08:05,NORTH TRANSFER: VIA FORDEM,2.2248
12,2501,6:08:55,6:08:55,NORTH TRANSFER: VIA FORDEM,2.404
13,2741,6:09:23,6:09:23,NORTH TRANSFER: VIA FORDEM,2.5073
14,2191,6:10:40,6:10:40,NORTH TRANSFER: VIA FORDEM,2.7851
15,2755,6:11:31,6:11:31,NORTH TRANSFER: VIA FORDEM,2.9684
16,2595,6:12:11,6:12:11,NORTH TRANSFER: VIA FORDEM,3.1119
17,2945,6:13:30,6:13:30,NORTH TRANSFER: VIA FORDEM,3.3975
18,2131,6:15:00,6:15:00,NORTH TRANSFER: VIA FORDEM,3.7033
19,2473,6:16:20,6:16:20,NORTH TRANSFER: VIA FORDEM,3.99
20,2349,6:17:08,6:17:08,NORTH TRANSFER: VIA FORDEM,4.1611
21,2916,6:17:45,6:17:45,NORTH TRANSFER: VIA FORDEM,4.2947
22,2822,6:18:30,6:18:30,NORTH TRANSFER: VIA FORDEM,4.4562
23,2561,6:19:22,6:19:22,NORTH TRANSFER: VIA FORDEM,4.6444
24,2605,6:20:11,6:20:11,NORTH TRANSFER: VIA FORDEM,4.8213
25,2717,6:21:01,6:21:01,NORTH TRANSFER: VIA FORDEM,5.001
26,2921,6:21:54,6:21:54,NORTH TRANSFER: VIA FORDEM,5.1927
27,133,6:23:00,6:23:00,NORTH TRANSFER: VIA FORDEM,5.4109
28,809,6:23:51,6:23:51,NORTH TRANSFER: VIA FORDEM,5.5267
29,581,6:25:48,6:25:48,NORTH TRANSFER: VIA FORDEM,5.7906
30,743,6:26:36,6:26:36,NORTH TRANSFER: VIA FORDEM,5.9006
31,455,6:27:57,6:27:57,NORTH TRANSFER: VIA FORDEM,6.0834
32,435,6:29:04,6:29:04,NORTH TRANSFER: VIA FORDEM,6.235
33,941,6:29:39,6:29:39,NORTH TRANSFER: VIA FORDEM,6.3158
34,839,6:31:29,6:31:29,NORTH TRANSFER: VIA FORDEM,6.5644
35,883,6:32:55,6:32:55,NORTH TRANSFER: VIA FORDEM,6.7583
36,1324,6:33:46,6:33:46,NORTH TRANSFER: VIA FORDEM,6.8739
37,1101,6:35:00,6:35:00,NORTH TRANSFER: VIA FORDEM,7.0288
38,1787,6:35:50,6:35:50,NORTH TRANSFER: VIA FORDEM,7.1827
39,1495,6:36:25,6:36:25,NORTH TRANSFER: VIA FORDEM,7.2926
40,1227,6:37:36,6:37:36,NORTH TRANSFER: VIA FORDEM,7.5128
41,1831,6:38:32,6:38:32,NORTH TRANSFER: VIA FORDEM,7.6868
42,1397,6:39:13,6:39:13,NORTH TRANSFER: VIA FORDEM,7.8124
43,1121,6:39:41,6:39:41,NORTH TRANSFER: VIA FORDEM,7.8999
44,1151,6:40:33,6:40:33,NORTH TRANSFER: VIA FORDEM,8.0621
45,1209,6:42:00,6:42:00,NORTH TRANSFER: VIA FORDEM,8.3143
46,1325,6:42:51,6:42:51,NORTH TRANSFER: VIA FORDEM,8.5636
47,1267,6:43:17,6:43:17,NORTH TRANSFER: VIA FORDEM,8.6898
48,1707,6:44:10,6:44:10,NORTH TRANSFER: VIA FORDEM,8.9512
49,1177,6:44:57,6:44:57,NORTH TRANSFER: VIA FORDEM,9.1814
50,1379,6:46:00,6:46:00,NORTH TRANSFER: VIA FORDEM,9.4787
51,1717,6:46:41,6:46:41,NORTH TRANSFER,9.6521
52,1923,6:47:32,6:47:32,NORTH TRANSFER,9.863999999999999
53,1715,6:48:19,6:48:19,NORTH TRANSFER,10.0604
54,1561,6:48:58,6:48:58,NORTH TRANSFER,10.2226
55,1877,6:49:43,6:49:43,NORTH TRANSFER,10.4115
56,1759,6:50:10,6:50:10,NORTH TRANSFER,10.5258
57,5100,6:51:00,6:51:00,DROP OFFS ONLY,10.718
