stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,5:35:00,5:35:00,NORTH TRANSFER: VIA SHERMAN,0.0097
2,2925,5:36:02,5:36:02,NORTH TRANSFER: VIA SHERMAN,0.3175
3,2401,5:37:12,5:37:12,NORTH TRANSFER: VIA SHERMAN,0.6611
4,2249,5:37:55,5:37:55,NORTH TRANSFER: VIA SHERMAN,0.8757
5,2669,5:38:32,5:38:32,NORTH TRANSFER: VIA SHERMAN,1.0579
6,2201,5:39:04,5:39:04,NORTH TRANSFER: VIA SHERMAN,1.2175
7,2121,5:39:59,5:39:59,NORTH TRANSFER: VIA SHERMAN,1.4903
8,2175,5:41:00,5:41:00,NORTH TRANSFER: VIA SHERMAN,1.7755
9,2101,5:41:56,5:41:56,NORTH TRANSFER: VIA SHERMAN,1.9756
10,2395,5:42:32,5:42:32,NORTH TRANSFER: VIA SHERMAN,2.1058
11,2752,5:43:05,5:43:05,NORTH TRANSFER: VIA SHERMAN,2.2248
12,2501,5:43:55,5:43:55,NORTH TRANSFER: VIA SHERMAN,2.404
13,2741,5:44:23,5:44:23,NORTH TRANSFER: VIA SHERMAN,2.5073
14,2191,5:45:40,5:45:40,NORTH TRANSFER: VIA SHERMAN,2.7851
15,2755,5:46:31,5:46:31,NORTH TRANSFER: VIA SHERMAN,2.9684
16,2595,5:47:11,5:47:11,NORTH TRANSFER: VIA SHERMAN,3.1119
17,2945,5:48:30,5:48:30,NORTH TRANSFER: VIA SHERMAN,3.3975
18,2131,5:50:00,5:50:00,NORTH TRANSFER: VIA SHERMAN,3.7033
19,2473,5:51:20,5:51:20,NORTH TRANSFER: VIA SHERMAN,3.99
20,2349,5:52:08,5:52:08,NORTH TRANSFER: VIA SHERMAN,4.1611
21,2916,5:52:45,5:52:45,NORTH TRANSFER: VIA SHERMAN,4.2947
22,2822,5:53:30,5:53:30,NORTH TRANSFER: VIA SHERMAN,4.4562
23,2561,5:54:22,5:54:22,NORTH TRANSFER: VIA SHERMAN,4.6444
24,2605,5:55:11,5:55:11,NORTH TRANSFER: VIA SHERMAN,4.8213
25,2717,5:56:01,5:56:01,NORTH TRANSFER: VIA SHERMAN,5.001
26,2921,5:56:54,5:56:54,NORTH TRANSFER: VIA SHERMAN,5.1927
27,133,5:58:00,5:58:00,NORTH TRANSFER: VIA SHERMAN,5.4109
28,809,5:58:42,5:58:42,NORTH TRANSFER: VIA SHERMAN,5.5267
29,581,6:00:19,6:00:19,NORTH TRANSFER: VIA SHERMAN,5.7906
30,743,6:00:59,6:00:59,NORTH TRANSFER: VIA SHERMAN,5.9006
31,455,6:02:06,6:02:06,NORTH TRANSFER: VIA SHERMAN,6.0834
32,435,6:03:02,6:03:02,NORTH TRANSFER: VIA SHERMAN,6.235
33,941,6:03:31,6:03:31,NORTH TRANSFER: VIA SHERMAN,6.3158
34,839,6:05:03,6:05:03,NORTH TRANSFER: VIA SHERMAN,6.5644
35,883,6:06:14,6:06:14,NORTH TRANSFER: VIA SHERMAN,6.7583
36,1324,6:06:56,6:06:56,NORTH TRANSFER: VIA SHERMAN,6.8739
37,1101,6:08:00,6:08:00,NORTH TRANSFER: VIA SHERMAN,7.0288
38,1787,6:08:35,6:08:35,NORTH TRANSFER: VIA SHERMAN,7.1827
39,1495,6:09:00,6:09:00,NORTH TRANSFER: VIA SHERMAN,7.2926
40,1227,6:09:51,6:09:51,NORTH TRANSFER: VIA SHERMAN,7.5128
41,1831,6:10:31,6:10:31,NORTH TRANSFER: VIA SHERMAN,7.6868
42,1397,6:11:00,6:11:00,NORTH TRANSFER: VIA SHERMAN,7.8124
43,1121,6:11:20,6:11:20,NORTH TRANSFER: VIA SHERMAN,7.8999
44,1151,6:11:57,6:11:57,NORTH TRANSFER: VIA SHERMAN,8.0621
45,1209,6:13:00,6:13:00,NORTH TRANSFER: VIA SHERMAN,8.3143
46,1767,6:13:49,6:13:49,NORTH TRANSFER: VIA SHERMAN,8.5665
47,1157,6:14:33,6:14:33,NORTH TRANSFER: VIA SHERMAN,8.7937
48,1577,6:15:19,6:15:19,NORTH TRANSFER: VIA SHERMAN,9.032
49,1329,6:16:00,6:16:00,NORTH TRANSFER: VIA SHERMAN,9.2407
50,1533,6:16:59,6:16:59,NORTH TRANSFER: VIA SHERMAN,9.5502
51,1717,6:17:36,6:17:36,NORTH TRANSFER,9.7475
52,1923,6:18:16,6:18:16,NORTH TRANSFER,9.9593
53,1715,6:18:53,6:18:53,NORTH TRANSFER,10.1558
54,1561,6:19:23,6:19:23,NORTH TRANSFER,10.3179
55,1877,6:19:59,6:19:59,NORTH TRANSFER,10.5068
56,1759,6:20:20,6:20:20,NORTH TRANSFER,10.6212
57,5100,6:21:00,6:21:00,DROP OFFS ONLY,10.8134
