stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,5100,5:12:00,5:12:00,WEST TRANSFER: VIA FORDEM,0.0088
2,1504,5:13:12,5:13:12,WEST TRANSFER: VIA FORDEM,0.3425
3,1922,5:13:37,5:13:37,WEST TRANSFER: VIA FORDEM,0.4612
4,1254,5:14:02,5:14:02,WEST TRANSFER: VIA FORDEM,0.5774
5,1122,5:14:34,5:14:34,WEST TRANSFER: VIA FORDEM,0.7259
6,1156,5:15:22,5:15:22,WEST TRANSFER: VIA FORDEM,0.9471
7,1968,5:16:18,5:16:18,WEST TRANSFER: VIA FORDEM,1.2075
8,1692,5:17:00,5:17:00,WEST TRANSFER: VIA FORDEM,1.3896
9,1116,5:17:56,5:17:56,WEST TRANSFER: VIA FORDEM,1.6614
10,1892,5:18:58,5:18:58,WEST TRANSFER: VIA FORDEM,1.9603
11,1798,5:19:37,5:19:37,WEST TRANSFER: VIA FORDEM,2.1497
12,1250,5:20:09,5:20:09,WEST TRANSFER,2.3071
13,1636,5:21:00,5:21:00,WEST TRANSFER,2.5406
14,1834,5:22:26,5:22:26,WEST TRANSFER,2.7942
15,1996,5:23:07,5:23:07,WEST TRANSFER,2.9164
16,1662,5:23:59,5:23:59,WEST TRANSFER,3.0702
17,1138,5:24:32,5:24:32,WEST TRANSFER,3.1669
18,1404,5:25:20,5:25:20,WEST TRANSFER,3.3082
19,1966,5:25:50,5:25:50,WEST TRANSFER,3.3965
20,1100,5:27:00,5:27:00,WEST TRANSFER,3.5939
21,1310,5:27:48,5:27:48,WEST TRANSFER,3.7007
22,1558,5:28:30,5:28:30,WEST TRANSFER,3.7956
23,898,5:29:09,5:29:09,WEST TRANSFER,3.8832
24,252,5:29:48,5:29:48,WEST TRANSFER,3.9702
25,568,5:31:59,5:31:59,WEST TRANSFER,4.2612
26,670,5:32:40,5:32:40,WEST TRANSFER,4.3519
27,100,5:34:00,5:34:00,WEST TRANSFER,4.5216
28,234,5:34:32,5:34:32,WEST TRANSFER,4.6484
29,178,5:35:12,5:35:12,WEST TRANSFER,4.8075
30,160,5:35:42,5:35:42,WEST TRANSFER,4.9268
31,692,5:36:45,5:36:45,WEST TRANSFER,5.1739999999999995
32,2806,5:37:35,5:37:35,WEST TRANSFER,5.3717
33,2146,5:38:23,5:38:23,WEST TRANSFER,5.5634
34,2192,5:39:09,5:39:09,WEST TRANSFER,5.7439
35,2643,5:40:00,5:40:00,WEST TRANSFER,5.9314
36,2393,5:40:24,5:40:24,WEST TRANSFER,6.0285
37,2125,5:41:25,5:41:25,WEST TRANSFER,6.2699
38,2620,5:42:00,5:42:00,WEST TRANSFER,6.409
39,2770,5:42:37,5:42:37,WEST TRANSFER,6.5558
40,2576,5:43:42,5:43:42,WEST TRANSFER,6.8139
41,2698,5:44:12,5:44:12,WEST TRANSFER,6.9352
42,2270,5:45:05,5:45:05,WEST TRANSFER,7.145
43,2712,5:46:16,5:46:16,WEST TRANSFER,7.4293
44,2266,5:46:53,5:46:53,WEST TRANSFER,7.5767
45,2812,5:47:56,5:47:56,WEST TRANSFER,7.8277
46,2362,5:48:37,5:48:37,WEST TRANSFER,7.9936
47,2500,5:49:19,5:49:19,WEST TRANSFER,8.1616
48,2199,5:49:46,5:49:46,WEST TRANSFER,8.2685
49,2184,5:50:30,5:50:30,WEST TRANSFER,8.4448
50,2100,5:51:03,5:51:03,WEST TRANSFER,8.5787
51,2376,5:52:00,5:52:00,WEST TRANSFER,8.7764
52,2138,5:52:54,5:52:54,WEST TRANSFER,9.0965
53,2798,5:53:42,5:53:42,WEST TRANSFER,9.3783
54,2898,5:54:13,5:54:13,WEST TRANSFER,9.5598
55,2684,5:54:39,5:54:39,WEST TRANSFER,9.7158
56,2670,5:55:18,5:55:18,WEST TRANSFER,9.9447
57,2984,5:56:14,5:56:14,WEST TRANSFER,10.2757
58,6100,5:57:00,5:57:00,DROP OFFS ONLY,10.5327
