stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,5100,6:00:00,6:00:00,WEST TRANSFER: VIA SHERMAN,0.0088
2,1504,6:01:10,6:01:10,WEST TRANSFER: VIA SHERMAN,0.3425
3,1922,6:01:35,6:01:35,WEST TRANSFER: VIA SHERMAN,0.4612
4,1254,6:01:59,6:01:59,WEST TRANSFER: VIA SHERMAN,0.5774
5,1122,6:02:30,6:02:30,WEST TRANSFER: VIA SHERMAN,0.7259
6,1156,6:03:16,6:03:16,WEST TRANSFER: VIA SHERMAN,0.9471
7,1968,6:04:11,6:04:11,WEST TRANSFER: VIA SHERMAN,1.2075
8,1296,6:04:38,6:04:38,WEST TRANSFER: VIA SHERMAN,1.3385
9,1838,6:06:00,6:06:00,WEST TRANSFER: VIA SHERMAN,1.7034
10,1354,6:06:53,6:06:53,WEST TRANSFER: VIA SHERMAN,1.9116
11,1936,6:07:52,6:07:52,WEST TRANSFER: VIA SHERMAN,2.1417
12,1250,6:08:58,6:08:58,WEST TRANSFER,2.3974
13,1636,6:10:00,6:10:00,WEST TRANSFER,2.6310000000000002
14,1834,6:11:41,6:11:41,WEST TRANSFER,2.8846
15,1996,6:12:29,6:12:29,WEST TRANSFER,3.0067
16,1662,6:13:30,6:13:30,WEST TRANSFER,3.1605
17,1138,6:14:08,6:14:08,WEST TRANSFER,3.2572
18,1404,6:15:04,6:15:04,WEST TRANSFER,3.3986
19,1966,6:15:39,6:15:39,WEST TRANSFER,3.4869
20,1100,6:17:00,6:17:00,WEST TRANSFER,3.6843
21,1310,6:17:55,6:17:55,WEST TRANSFER,3.7910000000000004
22,1558,6:18:44,6:18:44,WEST TRANSFER,3.886
23,898,6:19:29,6:19:29,WEST TRANSFER,3.9736
24,252,6:20:14,6:20:14,WEST TRANSFER,4.0606
25,568,6:22:44,6:22:44,WEST TRANSFER,4.3515
26,670,6:23:30,6:23:30,WEST TRANSFER,4.4423
27,100,6:25:00,6:25:00,WEST TRANSFER,4.6119
28,234,6:25:37,6:25:37,WEST TRANSFER,4.7387
29,178,6:26:24,6:26:24,WEST TRANSFER,4.8978
30,160,6:26:59,6:26:59,WEST TRANSFER,5.0172
31,692,6:28:12,6:28:12,WEST TRANSFER,5.2644
32,2806,6:29:10,6:29:10,WEST TRANSFER,5.4621
33,2146,6:30:07,6:30:07,WEST TRANSFER,5.6538
34,2192,6:31:00,6:31:00,WEST TRANSFER,5.8343
35,2643,6:32:00,6:32:00,WEST TRANSFER,6.0218
36,2393,6:32:26,6:32:26,WEST TRANSFER,6.1189
37,2125,6:33:32,6:33:32,WEST TRANSFER,6.3603
38,2620,6:34:10,6:34:10,WEST TRANSFER,6.4994
39,2770,6:34:50,6:34:50,WEST TRANSFER,6.6462
40,2576,6:36:00,6:36:00,WEST TRANSFER,6.9042
41,2698,6:36:33,6:36:33,WEST TRANSFER,7.0256
42,2270,6:37:30,6:37:30,WEST TRANSFER,7.2354
43,2712,6:38:47,6:38:47,WEST TRANSFER,7.5197
44,2266,6:39:27,6:39:27,WEST TRANSFER,7.667000000000001
45,2812,6:40:35,6:40:35,WEST TRANSFER,7.9181
46,2362,6:41:20,6:41:20,WEST TRANSFER,8.084
47,2500,6:42:06,6:42:06,WEST TRANSFER,8.252
48,2199,6:42:35,6:42:35,WEST TRANSFER,8.3588
49,2184,6:43:23,6:43:23,WEST TRANSFER,8.5351
50,2100,6:43:59,6:43:59,WEST TRANSFER,8.669
51,2376,6:45:00,6:45:00,WEST TRANSFER,8.8668
52,2138,6:46:05,6:46:05,WEST TRANSFER,9.1869
53,2798,6:47:02,6:47:02,WEST TRANSFER,9.4686
54,2898,6:47:39,6:47:39,WEST TRANSFER,9.6502
55,2684,6:48:10,6:48:10,WEST TRANSFER,9.8061
56,2670,6:48:56,6:48:56,WEST TRANSFER,10.0351
57,2984,6:50:03,6:50:03,WEST TRANSFER,10.366
58,6100,6:51:00,6:51:00,DROP OFFS ONLY,10.6231
