stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,7100,6:15:00,6:15:00,E TOWNE: VIA NAKOOSA,0.0092
2,7169,6:15:44,6:15:44,E TOWNE: VIA NAKOOSA,0.263
3,9629,6:19:36,6:19:36,E TOWNE: VIA NAKOOSA,1.5965
4,9753,6:20:00,6:20:00,E TOWNE: VIA NAKOOSA,1.7287
5,9388,6:20:22,6:20:22,E TOWNE: VIA NAKOOSA,1.8701
6,9778,6:20:56,6:20:56,E TOWNE: VIA NAKOOSA,2.0847
7,9591,6:21:37,6:21:37,E TOWNE: VIA NAKOOSA,2.3438
8,9243,6:22:25,6:22:25,E TOWNE,2.6456
9,9439,6:22:52,6:22:52,E TOWNE,2.8166
10,9137,6:23:11,6:23:11,E TOWNE,2.9392
11,9745,6:23:40,6:23:40,E TOWNE,3.1217
12,9951,6:24:02,6:24:02,E TOWNE,3.2616
13,9645,6:24:24,6:24:24,E TOWNE,3.4012
14,9291,6:24:58,6:24:58,E TOWNE,3.6204
15,9432,6:25:43,6:25:43,E TOWNE,3.9026
16,9719,6:26:40,6:26:40,E TOWNE,4.2645
17,9677,6:27:30,6:27:30,E TOWNE,4.5805
18,9800,6:28:00,6:28:00,DROP OFFS ONLY,4.738
