stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,7100,5:45:00,5:45:00,EAST TRANSFER: VIA SPRECHER,0.0421
2,7169,5:45:48,5:45:48,EAST TRANSFER: VIA SPRECHER,0.2959
3,7167,5:46:29,5:46:29,EAST TRANSFER: VIA SPRECHER,0.515
4,7209,5:47:27,5:47:27,EAST TRANSFER: VIA SPRECHER,0.8225
5,7633,5:47:50,5:47:50,EAST TRANSFER: VIA SPRECHER,0.9432
6,7175,5:48:26,5:48:26,EAST TRANSFER: VIA SPRECHER,1.1358
7,7381,5:49:07,5:49:07,EAST TRANSFER: VIA SPRECHER,1.3534
8,7913,5:49:41,5:49:41,EAST TRANSFER: VIA SPRECHER,1.5324
9,7547,5:50:27,5:50:27,EAST TRANSFER: VIA SPRECHER,1.7748
10,7929,5:52:00,5:52:00,EAST TRANSFER: VIA SPRECHER,2.2435
11,7371,5:52:35,5:52:35,EAST TRANSFER: VIA SPRECHER,2.4133
12,7587,5:53:35,5:53:35,EAST TRANSFER: VIA SPRECHER,2.7049
13,7628,5:56:04,5:56:04,EAST TRANSFER: VIA SPRECHER,3.4308
14,7814,5:56:32,5:56:32,EAST TRANSFER: VIA SPRECHER,3.5669999999999997
15,7128,5:57:02,5:57:02,EAST TRANSFER: VIA SPRECHER,3.7131
16,7940,5:57:36,5:57:36,EAST TRANSFER: VIA SPRECHER,3.8824
17,7258,5:58:06,5:58:06,EAST TRANSFER: VIA SPRECHER,4.0312
18,7526,5:58:35,5:58:35,EAST TRANSFER: VIA SPRECHER,4.1752
19,7778,5:59:12,5:59:12,EAST TRANSFER: VIA SPRECHER,4.3552
20,7334,5:59:32,5:59:32,EAST TRANSFER: VIA SPRECHER,4.4559
21,7540,6:00:44,6:00:44,EAST TRANSFER,4.8061
22,7748,6:01:12,6:01:12,EAST TRANSFER,4.944
23,7418,6:02:00,6:02:00,EAST TRANSFER,5.1529
24,7532,6:02:27,6:02:27,EAST TRANSFER,5.2796
25,7392,6:03:03,6:03:03,EAST TRANSFER,5.4481
26,7608,6:03:44,6:03:44,EAST TRANSFER,5.642
27,7410,6:04:24,6:04:24,EAST TRANSFER,5.8322
28,7398,6:09:04,6:09:04,EAST TRANSFER,7.1402
29,7100,6:10:00,6:10:00,DROP OFFS ONLY,7.3878
